挣,[zhēng] see 掙扎|挣扎[zheng1 zha2]; [zhèng] to struggle to get free; to strive to acquire; to make (money); 
不,[bù] (negative prefix); not; no; 
他,[tā] he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another; 
做,[zuò] to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance; 
全,[Quán] surname Quan; [quán] all; whole; entire; every; complete; 
剩,[shèng] to remain; to be left; to have as remainder; 
量,[liáng] to measure; [liàng] capacity; quantity; amount; to estimate; abbr. for 量詞|量词[liang4 ci2], classifier (in Chinese grammar); measure word; 
说,[shuì] to persuade; [shuō] to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory); 
力,[Lì] surname Li; [lì] power; force; strength; ability; strenuously; 
菜,[cài] dish (type of food); vegetable; cuisine; CL:盤|盘[pan2],道[dao4]; (coll.) (one's) type; 
包,[Bāo] surname Bao; [bāo] to cover; to wrap; to hold; to include; to take charge of; to contract (to or for); package; wrapper; container; bag; to hold or embrace; bundle; packet; CL:個|个[ge4],隻|只[zhi1]; 
多,[duō] many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"; 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
小,[xiǎo] small; tiny; few; young; 
少,[shǎo] few; less; to lack; to be missing; to stop (doing sth); seldom; [shào] young; 
得,[dé] to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished; [de] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; [děi] to have to; must; ought to; to need to; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
花,[Huā] surname Hua; [huā] flower; blossom; CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4]; fancy pattern; florid; to spend (money, time); 
气,[qì] gas; air; smell; weather; to make angry; to annoy; to get angry; vital energy; qi; 
活,[huó] to live; alive; living; work; workmanship; 
爸,[bà] father; dad; pa; papa; 
脏,[zàng] viscera; (anatomy) organ; [zāng] dirty; filthy; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
真,[zhēn] really; truly; indeed; real; true; genuine; 
累,[lěi] to accumulate; to involve or implicate; continuous; repeated; [lèi] tired; weary; to strain; to wear out; to work hard; 
肚,[dǔ] tripe; [dù] belly; 
饭,[fàn] food; cuisine; cooked rice; meal; CL:碗[wan3],頓|顿[dun4]; 
爸爸,[bà ba] (informal) father; CL:個|个[ge4],位[wei4]; 
挣得,[zhèng dé] to earn (income); to make (money); 
力气,[lì qi] strength; CL:把[ba3]; 
剩饭,[shèng fàn] leftover food; 
剩菜,[shèng cài] leftovers (food); 
