是,[shì] is; are; am; yes; to be; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
不,[bù] (negative prefix); not; no; 
题,[Tí] surname Ti; [tí] topic; problem for discussion; exam question; subject; to inscribe; to mention; CL:個|个[ge4],道[dao4]; 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
么,[má] exclamatory final particle; [ma] interrogative final particle; [me] suffix, used to form interrogative 甚麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc; [me] variant of 麼|么[me5]; 
什,[shén] what; [shí] ten (used in fractions, writing checks etc); assorted; miscellaneous; 
除,[chú] to get rid of; to remove; to exclude; to eliminate; to wipe out; to divide; except; not including; 
今,[jīn] today; modern; present; current; this; now; 
问,[wèn] to ask; 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
你,[nǐ] you (informal, as opposed to courteous 您[nin2]); 
全,[Quán] surname Quan; [quán] all; whole; entire; every; complete; 
分,[fēn] to divide; to separate; to distribute; to allocate; to distinguish (good and bad); part or subdivision; fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute; a point (in sports or games); 0.01 yuan (unit of money); [fèn] part; share; ingredient; component; 
办,[bàn] to do; to manage; to handle; to go about; to run; to set up; to deal with; 
通,[tōng] to go through; to know well; (suffix) expert; to connect; to communicate; open; to clear; classifier for letters, telegrams, phone calls etc; [tòng] classifier for an activity, taken in its entirety (tirade of abuse, stint of music playing, bout of drinking etc); 
单,[Shàn] surname Shan; [dān] bill; list; form; single; only; sole; odd number; CL:個|个[ge4]; 
同,[tóng] like; same; similar; together; alike; with; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
呢,[ne] particle indicating that a previously asked question is to be applied to the preceding word ("What about ...?", "And ...?"); particle for inquiring about location ("Where is ...?"); particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board ("ok?", "are you with me?"); (at the end of a declarative sentence) particle indicating continuation of a state or action; particle indicating strong affirmation; [ní] woolen material; 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
回,[huí] to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book); 
起,[qǐ] to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
填,[tián] to fill or stuff; (of a form etc) to fill in; 
天,[tiān] day; sky; heaven; 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
子,[zǐ] son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; [zi] (noun suffix); 
,
家,[Jiā] surname Jia; [jiā] home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]; 
象,[xiàng] elephant; CL:隻|只[zhi1]; shape; form; appearance; to imitate; 
师,[Shī] surname Shi; [shī] teacher; master; expert; model; army division; (old) troops; to dispatch troops; 
庭,[tíng] main hall; front courtyard; law court; 
成,[Chéng] surname Cheng; [chéng] to succeed; to finish; to complete; to accomplish; to become; to turn into; to be all right; OK!; one tenth; 
课,[kè] subject; course; CL:門|门[men2]; class; lesson; CL:堂[tang2],節|节[jie2]; to levy; tax; form of divination; 
我,[wǒ] I; me; my; 
论,[Lún] abbr. for 論語|论语[Lun2 yu3], The Analects (of Confucius); [lùn] opinion; view; theory; doctrine; to discuss; to talk about; to regard; to consider; per; by the (kilometer, hour etc); 
最,[zuì] most; the most; -est (superlative suffix); 
讨,[tǎo] to invite; to provoke; to demand or ask for; to send armed forces to suppress; to denounce or condemn; to marry (a woman); to discuss or study; 
次,[cì] next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time; 
法,[Fǎ] France; French; abbr. for 法國|法国[Fa3 guo2]; Taiwan pr. [Fa4]; [fǎ] law; method; way; Buddhist teaching; Legalist; 
消,[xiāo] to disappear; to vanish; to eliminate; to spend (time); have to; need; 
认,[rèn] to recognize; to know; to admit; 
父,[fù] father; 
要,[yāo] to demand; to request; to coerce; [yào] important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if; 
现,[xiàn] to appear; present; now; existing; current; 
老,[lǎo] prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
目,[mù] eye; item; section; list; catalogue; table of contents; order (taxonomy); goal; name; title; 
知,[zhī] to know; to be aware; 
秋,[Qiū] surname Qiu; [qiū] autumn; fall; harvest time; a swing; 
立,[Lì] surname Li; [lì] to stand; to set up; to establish; to lay down; to draw up; at once; immediately; 
答,[dā] to answer; to agree; [dá] reply; answer; return; respond; echo; 
绩,[jì] variant of 績|绩[ji4]; merit; accomplishment; [jì] to spin (hemp etc); merit; accomplishment; grade; Taiwan pr. [ji1]; 
回答,[huí dá] to reply; to answer; the answer; CL:個|个[ge4]; 
现象,[xiàn xiàng] appearance; phenomenon; CL:個|个[ge4],種|种[zhong3]; 
父子,[fù zǐ] father and son; 
消除,[xiāo chú] to eliminate; to remove; 
认为,[rèn wéi] to believe; to think; to consider; to feel; 
最好,[zuì hǎo] best; (you) had better (do what we suggest); 
讨论,[tǎo lùn] to discuss; to talk over; CL:個|个[ge4]; 
一次,[yī cì] first; first time; once; (math.) linear (of degree one); 
成绩,[chéng jì] achievement; performance records; grades; CL:項|项[xiang4],個|个[ge4]; 
家庭,[jiā tíng] family; household; CL:戶|户[hu4],個|个[ge4]; 
老师,[lǎo shī] teacher; CL:個|个[ge4],位[wei4]; 
起立,[qǐ lì] to stand; Stand up!; 
,
这个,[zhè ge] this; this one; 
办法,[bàn fǎ] means; method; way (of doing sth); CL:條|条[tiao2],個|个[ge4]; 
不和,[bù hé] not to get along well; to be on bad terms; to be at odds; discord; 
今天,[jīn tiān] today; at the present; now; 
问题,[wèn tí] question; problem; issue; topic; CL:個|个[ge4]; 
什么,[shén me] what?; who?; something; anything; 
题目,[tí mù] subject; title; topic; CL:個|个[ge4]; 
通知单,[tōng zhī dān] notification; notice; ticket; receipt; 
