就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
长,[cháng] length; long; forever; always; constantly; [zhǎng] chief; head; elder; to grow; to develop; to increase; to enhance; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
都,[Dū] surname Du; [dōu] all; both; entirely; (used for emphasis) even; already; (not) at all; [dū] capital city; metropolis; 
不,[bù] (negative prefix); not; no; 
东,[Dōng] surname Dong; [dōng] east; host (i.e. sitting on east side of guest); landlord; 
西,[Xī] the West; abbr. for Spain 西班牙[Xi1 ban1 ya2]; Spanish; [xī] west; 
么,[má] exclamatory final particle; [ma] interrogative final particle; [me] suffix, used to form interrogative 甚麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc; [me] variant of 麼|么[me5]; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
什,[shén] what; [shí] ten (used in fractions, writing checks etc); assorted; miscellaneous; 
老,[lǎo] prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough; 
光,[guāng] light; ray; CL:道[dao4]; bright; only; merely; to use up; 
秃,[tū] bald; blunt; 
又,[yòu] (once) again; also; both... and...; and yet; (used for emphasis) anyway; 
地,[de] -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; [dì] earth; ground; field; place; land; CL:片[pian4]; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
块,[kuài] lump (of earth); chunk; piece; classifier for pieces of cloth, cake, soap etc; colloquial word for yuan (or other unit of currency such as Hong Kong or US dollar etc), usually as 塊錢|块钱; 
头,[tóu] head; hair style; the top; end; beginning or end; a stub; remnant; chief; boss; side; aspect; first; leading; classifier for pigs or livestock; CL:個|个[ge4]; [tou] suff. for nouns; 
,
宽,[Kuān] surname Kuan; [kuān] lenient; wide; broad; 
小,[xiǎo] small; tiny; few; young; 
白,[Bái] surname Bai; [bái] white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; 
生,[shēng] to be born; to give birth; life; to grow; raw; uncooked; student; 
片,[piān] disk; sheet; [piàn] thin piece; flake; a slice; film; TV play; to slice; to carve thin; partial; incomplete; one-sided; classifier for slices, tablets, tract of land, area of water; classifier for CDs, movies, DVDs etc; used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc; 
师,[Shī] surname Shi; [shī] teacher; master; expert; model; army division; (old) troops; to dispatch troops; 
我,[wǒ] I; me; my; 
方,[Fāng] surname Fang; [fāng] square; power or involution (mathematics); upright; honest; fair and square; direction; side; party (to a contract, dispute etc); place; method; prescription (medicine); just when; only or just; classifier for square things; abbr. for square or cubic meter; 
明,[Míng] Ming Dynasty (1368-1644); surname Ming; Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God; [míng] bright; opposite: dark 暗[an4]; (of meaning) clear; to understand; next; public or open; wise; generic term for a sacrifice to the gods; 
爸,[bà] father; dad; pa; papa; 
是,[shì] is; are; am; yes; to be; 
沙,[Shā] surname Sha; [shā] granule; hoarse; raspy; sand; powder; CL:粒[li4]; abbr. for Tsar or Tsarist Russia; 
漠,[mò] desert; unconcerned; 
面,[miàn] face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc; 
沙漠,[shā mò] desert; CL:個|个[ge4]; 
爸爸,[bà ba] (informal) father; CL:個|个[ge4],位[wei4]; 
就是,[jiù shì] (emphasizes that sth is precisely or exactly as stated); precisely; exactly; even; if; just like; in the same way as; 
一块,[yī kuài] one block; one piece; one (unit of money); together; in the same place; in company; 
一片,[yī piàn] piece; slice; 
地方,[dì fāng] region; regional (away from the central administration); local; [dì fang] area; place; space; room; territory; CL:處|处[chu4],個|个[ge4],塊|块[kuai4]; 
明白,[míng bai] clear; obvious; unequivocal; to understand; to realize; 
什么,[shén me] what?; who?; something; anything; 
老师,[lǎo shī] teacher; CL:個|个[ge4],位[wei4]; 
东西,[dōng xī] east and west; [dōng xi] thing; stuff; person; CL:個|个[ge4],件[jian4]; 
上面,[shàng mian] on top of; above-mentioned; 
光光,[guāng guāng] bright; shiny; smooth; naked; bald; penniless; 
,
