想,[xiǎng] to think; to believe; to suppose; to wish; to want; to miss (feel wistful about the absence of sb or sth); 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
鼠,[shǔ] rat; mouse; CL:隻|只[zhi1]; 
不,[bù] (negative prefix); not; no; 
两,[liǎng] two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old); 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
乌,[Wū] abbr. for Ukraine 烏克蘭|乌克兰[Wu1 ke4 lan2]; surname Wu; [wū] crow; black; 
黄,[Huáng] surname Huang or Hwang; [huáng] yellow; pornographic; to fall through; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
从,[Cóng] surname Cong; [cōng] lax; yielding; unhurried; [cóng] from; via; passing through; through (a gap); past; ever (followed by negative, meaning never); (formerly pr. [zong4] and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; [zòng] second cousin; 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
伴,[bàn] partner; companion; comrade; associate; to accompany; 
你,[nǐ] you (informal, as opposed to courteous 您[nin2]); 
鹅,[é] variant of 鵝|鹅[e2]; [é] goose; CL:隻|只[zhi1]; [é] variant of 鵝|鹅[e2]; 
俩,[liǎ] two (colloquial equivalent of 兩個|两个); both; some; 
偷,[tōu] to steal; to pilfer; to snatch; thief; stealthily; 
兄,[xiōng] elder brother; 
陪,[péi] to accompany; to keep sb company; to assist; old variant of 賠|赔[pei2]; 
养,[yǎng] to raise (animals); to bring up (children); to keep (pets); to support; to give birth; 
动,[dòng] to use; to act; to move; to change; abbr. for 動詞|动词[dong4 ci2], verb; 
闷,[mēn] stuffy; shut indoors; to smother; to cover tightly; [mèn] bored; depressed; melancholy; sealed; airtight; tightly closed; 
区,[Oū] surname Ou; [qū] area; region; district; small; distinguish; CL:個|个[ge4]; 
只,[zhǐ] only; merely; just; but; 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
可,[kě] can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very; [kè] see 可汗[ke4 han2]; 
走,[zǒu] to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走[che4 zou3]); to change (shape, form, meaning); 
台,[Tái] Taiwan (abbr.); surname Tai; [tái] (classical) you (in letters); variant of 臺|台[tai2]; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
