林,[Lín] surname Lin; [lín] woods; forest; CL:片[pian4]; circle(s) (i.e. specific group of people); a collection (of similar things); 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
么,[má] exclamatory final particle; [ma] interrogative final particle; [me] suffix, used to form interrogative 甚麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc; [me] variant of 麼|么[me5]; 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
儿,[ér] son; [r] non-syllabic diminutive suffix; retroflex final; 
切,[qiē] to cut; to slice; tangent (math); [qiè] definitely; absolutely (not); (scoffing or dismissive interjection) Yeah, right.; Tut!; to grind; close to; eager; to correspond to; see also 反切[fan3 qie4]; 
创,[chuàng] variant of 創|创[chuang4]; [chuàng] variant of 創|创[chuang4]; [chuāng] a wound; cut; injury; trauma; [chuàng] to begin; to initiate; to inaugurate; to start; to create; 
鸟,[diǎo] variant of 屌[diao3]; penis; [niǎo] bird; CL:隻|只[zhi1],群[qun2]; (dialect) to pay attention to; (intensifier) damned; goddam; 
动,[dòng] to use; to act; to move; to change; abbr. for 動詞|动词[dong4 ci2], verb; 
鱼,[Yú] surname Yu; [yú] fish; CL:條|条[tiao2],尾[wei3]; 
去,[qù] to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed; 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
飞,[fēi] to fly; 
啊,[ā] interjection of surprise; Ah!; Oh!; [á] interjection expressing doubt or requiring answer; Eh?; what?; to show realization; to stress; [ǎ] interjection of surprise or doubt; Eh?; My!; what's up?; [à] interjection or grunt of agreement; uhm; Ah, OK; expression of recognition; Oh, it's you!; [a] modal particle ending sentence, showing affirmation, approval, or consent; 
地,[de] -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; [dì] earth; ground; field; place; land; CL:片[pian4]; 
境,[jìng] border; place; condition; boundary; circumstances; territory; 
多,[duō] many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"; 
需,[xū] to require; to need; to want; necessity; need; 
天,[tiān] day; sky; heaven; 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
子,[zǐ] son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; [zi] (noun suffix); 
孩,[hái] child; 
造,[zào] to make; to build; to manufacture; to invent; to fabricate; to go to; party (in a lawsuit or legal agreement); crop; classifier for crops; 
密,[Mì] surname Mi; name of an ancient state; [mì] secret; confidential; close; thick; dense; 
忙,[máng] busy; hurriedly; to hurry; to rush; 
我,[wǒ] I; me; my; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
跑,[páo] (of an animal) to paw (the ground); [pǎo] to run; to run away; to escape; to run around (on errands etc); (of a gas or liquid) to leak or evaporate; (verb complement) away; off; 
森,[sēn] forest; 
谐,[xié] harmonious; 
水,[Shuǐ] surname Shui; [shuǐ] water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes; 
要,[yāo] to demand; to request; to coerce; [yào] important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if; 
清,[Qīng] Qing or Ch'ing dynasty of Imperial China (1644-1911); surname Qing; [qīng] clear; distinct; quiet; just and honest; pure; to settle or clear up; to clean up or purge; 
游,[Yóu] surname You; [yóu] to swim; variant of 遊|游[you2]; [yóu] to walk; to tour; to roam; to travel; 
物,[wù] thing; object; matter; abbr. for physics 物理; 
环,[Huán] surname Huan; [huán] ring; hoop; loop; (chain) link; classifier for scores in archery etc; to surround; to encircle; to hem in; 
蓝,[Lán] surname Lan; [lán] blue; indigo plant; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
空,[kōng] empty; air; sky; in vain; [kòng] to empty; vacant; unoccupied; space; leisure; free time; 
美,[Měi] the Americas; abbr. for 美洲[Mei3 zhou1]; USA; abbr. for 美國|美国[Mei3 guo2]; [měi] beautiful; very satisfactory; good; to be pleased with oneself; 
草,[cǎo] grass; straw; manuscript; draft (of a document); careless; rough; CL:棵[ke1],撮[zuo3],株[zhu1],根[gen1]; [cào] variant of 肏[cao4]; 
孩子,[hái zi] child; 
美好,[měi hǎo] beautiful; fine; 
环境,[huán jìng] environment; circumstances; surroundings; CL:個|个[ge4]; ambient; 
水里,[Shuǐ lǐ] Shuili township in Nantou county 南投縣|南投县[Nan2 tou2 xian4], central Taiwan; 
森林,[sēn lín] forest; CL:片[pian4]; 
一切,[yī qiè] everything; every; all; 
我们,[wǒ men] we; us; ourselves; our; 
草地,[cǎo dì] lawn; meadow; sod; turf; CL:片[pian4]; 
天上,[tiān shàng] celestial; heavenly; 
多么,[duō me] how (wonderful etc); what (a great idea etc); however (difficult it may be etc); (in interrogative sentences) how (much etc); to what extent; 
需要,[xū yào] to need; to want; to demand; to require; requirement; need; 
和谐,[hé xié] harmonious; harmony; (euphemism) to censor; 
动物,[dòng wù] animal; CL:隻|只[zhi1],群[qun2],個|个[ge4]; 
创造,[chuàng zào] to create; to bring about; to produce; to set (a record); 
鸟儿,[niǎo r] bird; 
