是,[shì] is; are; am; yes; to be; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
下,[xià] down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action; 
业,[Yè] surname Ye; [yè] line of business; industry; occupation; job; employment; school studies; enterprise; property; (Buddhism) karma; deed; to engage in; already; 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
丽,[Lí] Korea; [lì] beautiful; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
亮,[liàng] bright; clear; resonant; to shine; to show; to reveal; 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
今,[jīn] today; modern; present; current; this; now; 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
伞,[sǎn] umbrella; parasol; CL:把[ba3]; [sǎn] damask silk; variant of 傘|伞[san3]; 
传,[chuán] to pass on; to spread; to transmit; to infect; to transfer; to circulate; to conduct (electricity); [zhuàn] biography; historical narrative; commentaries; relay station; 
伴,[bàn] partner; companion; comrade; associate; to accompany; 
作,[zuò] to do; to grow; to write or compose; to pretend; to regard as; to feel; writings or works; 
候,[hòu] to wait; to inquire after; to watch; season; climate; (old) period of five days; 
写,[xiě] to write; 
到,[dào] to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action); 
前,[qián] front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly; 
友,[yǒu] friend; 
可,[kě] can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very; [kè] see 可汗[ke4 han2]; 
向,[Xiàng] surname Xiang; [xiàng] towards; to face; to turn towards; direction; to support; to side with; shortly before; formerly; always; all along; 
听,[yǐn] smile (archaic); [tīng] to listen; to hear; to obey; a can (loanword from English "tin"); classifier for canned beverages; [tìng] (literary pronunciation, still advocated in Taiwan) to rule; to sentence; to allow; 
回,[huí] to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book); 
声,[shēng] sound; voice; tone; noise; classifier for sounds; 
外,[wài] outside; in addition; foreign; external; 
天,[tiān] day; sky; heaven; 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
黄,[Huáng] surname Huang or Hwang; [huáng] yellow; pornographic; to fall through; 
它,[tā] it; 
定,[dìng] to set; to fix; to determine; to decide; to order; 
家,[Jiā] surname Jia; [jiā] home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]; 
小,[xiǎo] small; tiny; few; young; 
希,[xī] to hope; to admire; variant of 稀[xi1]; 
得,[dé] to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished; [de] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; [děi] to have to; must; ought to; to need to; 
忙,[máng] busy; hurriedly; to hurry; to rush; 
想,[xiǎng] to think; to believe; to suppose; to wish; to want; to miss (feel wistful about the absence of sb or sth); 
我,[wǒ] I; me; my; 
打,[dá] dozen (loanword); [dǎ] to beat; to strike; to hit; to break; to type; to mix up; to build; to fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to play (a game); since; from; 
撑,[chēng] to support; to prop up; to push or move with a pole; to maintain; to open or unfurl; to fill to bursting point; brace; stay; support; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
晴,[qíng] clear; fine (weather); 
有,[yǒu] to have; there is; there are; to exist; to be; 
朋,[péng] friend; 
朗,[lǎng] clear; bright; 
望,[wàng] full moon; to hope; to expect; to visit; to gaze (into the distance); to look towards; towards; 
来,[lái] to come; to arrive; to come round; ever since; next; 
极,[jí] extremely; pole (geography, physics); utmost; top; 
每,[měi] each; every; 
滴,[dī] a drop; to drip; 
漂,[piāo] to float; to drift; [piǎo] to bleach; [piào] elegant; polished; 
灰,[huī] ash; dust; lime; gray; discouraged; dejected; 
片,[piān] disk; sheet; [piàn] thin piece; flake; a slice; film; TV play; to slice; to carve thin; partial; incomplete; one-sided; classifier for slices, tablets, tract of land, area of water; classifier for CDs, movies, DVDs etc; used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc; 
白,[Bái] surname Bai; [bái] white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; 
