悦,[yuè] pleased; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
鼻,[bí] nose; 
下,[xià] down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action; 
黑,[Hēi] abbr. for Heilongjiang province 黑龍江|黑龙江[Hei1 long2 jiang1]; [hēi] black; dark; sinister; secret; shady; illegal; (loanword) to hack (computing); 
不,[bù] (negative prefix); not; no; 
高,[Gāo] surname Gao; [gāo] high; tall; above average; loud; your (honorific); 
东,[Dōng] surname Dong; [dōng] east; host (i.e. sitting on east side of guest); landlord; 
颗,[kē] classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc; 
两,[liǎng] two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old); 
么,[má] exclamatory final particle; [ma] interrogative final particle; [me] suffix, used to form interrogative 甚麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc; [me] variant of 麼|么[me5]; 
乎,[hū] (classical particle similar to 於|于[yu2]) in; at; from; because; than; (classical final particle similar to 嗎|吗[ma5], 吧[ba5], 呢[ne5], expressing question, doubt or astonishment); 
乐,[Lè] surname Le; [Yuè] surname Yue; [lè] happy; cheerful; to laugh; [yuè] music; 
买,[mǎi] to buy; to purchase; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
亲,[qīn] parent; one's own (flesh and blood); relative; related; marriage; bride; close; intimate; in person; first-hand; in favor of; pro-; to kiss; [qìng] parents-in-law of one's offspring; 
音,[yīn] sound; noise; note (of musical scale); tone; news; syllable; reading (phonetic value of a character); 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
什,[shén] what; [shí] ten (used in fractions, writing checks etc); assorted; miscellaneous; 
雪,[Xuě] surname Xue; [xuě] snow; snowfall; CL:場|场[chang2]; to have the appearance of snow; to wipe away, off or out; to clean; 
今,[jīn] today; modern; present; current; this; now; 
陪,[péi] to accompany; to keep sb company; to assist; old variant of 賠|赔[pei2]; 
从,[Cóng] surname Cong; [cōng] lax; yielding; unhurried; [cóng] from; via; passing through; through (a gap); past; ever (followed by negative, meaning never); (formerly pr. [zong4] and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; [zòng] second cousin; 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
会,[huì] can; to be possible; to be able to; will; to be likely to; to be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is [hui3]); [kuài] to balance an account; accountancy; accounting; 
伴,[bàn] partner; companion; comrade; associate; to accompany; 
体,[tǐ] body; form; style; system; 
你,[nǐ] you (informal, as opposed to courteous 您[nin2]); 
像,[xiàng] to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.); 
全,[Quán] surname Quan; [quán] all; whole; entire; every; complete; 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
兮,[xī] (particle in old Chinese similar to 啊); 
采,[cǎi] to pick; to pluck; to collect; to select; to choose; to gather; [cǎi] color; complexion; looks; variant of 彩[cai3]; variant of 採|采[cai3]; [cài] allotment to a feudal noble; 
兴,[Xīng] surname Xing; [xīng] to rise; to flourish; to become popular; to start; to encourage; to get up; (often used in the negative) to permit or allow (dialect); maybe (dialect); [xìng] feeling or desire to do sth; interest in sth; excitement; 
都,[Dū] surname Du; [dōu] all; both; entirely; (used for emphasis) even; already; (not) at all; [dū] capital city; metropolis; 
具,[jù] tool; device; utensil; equipment; instrument; talent; ability; to possess; to have; to provide; to furnish; to state; classifier for devices, coffins, dead bodies; 
几,[jī] small table; [jī] almost; [jǐ] how much; how many; several; a few; 
连,[Lián] surname Lian; [lián] to link; to join; to connect; continuously; in succession; including; (used with 也, 都 etc) even; company (military); 
出,[chū] to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc; 
前,[qián] front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly; 
动,[dòng] to use; to act; to move; to change; abbr. for 動詞|动词[dong4 ci2], verb; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
