扔,[rēng] to throw; to throw away; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
鲜,[xiǎn] variant of 鮮|鲜[xian3]; [xiǎn] variant of 尟|鲜[xian3]; [xiān] fresh; bright (in color); delicious; tasty; delicacy; aquatic foods; [xiǎn] few; rare; [xiān] fish; old variant of 鮮|鲜[xian1]; [xiǎn] old variant of 鮮|鲜[xian3]; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
面,[miàn] face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc; 
不,[bù] (negative prefix); not; no; 
随,[Suí] surname Sui; [suí] to follow; to comply with; varying according to...; to allow; 
丢,[diū] to lose; to put aside; to throw; 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
中,[Zhōng] China; Chinese; surname Zhong; [zhōng] within; among; in; middle; center; while (doing sth); during; (dialect) OK; all right; [zhòng] to hit (the mark); to be hit by; to suffer; to win (a prize, a lottery); 
间,[jiān] between; among; within a definite time or space; room; section of a room or lateral space between two pairs of pillars; classifier for rooms; [jiàn] gap; to separate; to thin out (seedlings); to sow discontent; 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
乱,[luàn] in confusion or disorder; in a confused state of mind; disorder; upheaval; riot; illicit sexual relations; to throw into disorder; to mix up; indiscriminate; random; arbitrary; 
进,[jìn] to advance; to enter; to come (or go) into; to receive or admit; to eat or drink; to submit or present; (used after a verb) into, in; to score a goal; 
