小,[xiǎo] small; tiny; few; young; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
不,[bù] (negative prefix); not; no; 
高,[Gāo] surname Gao; [gāo] high; tall; above average; loud; your (honorific); 
颊,[jiá] cheeks; 
东,[Dōng] surname Dong; [dōng] east; host (i.e. sitting on east side of guest); landlord; 
陪,[péi] to accompany; to keep sb company; to assist; old variant of 賠|赔[pei2]; 
丢,[diū] to lose; to put aside; to throw; 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
也,[Yě] surname Ye; [yě] also; too; (in Classical Chinese) final particle implying affirmation; 
买,[mǎi] to buy; to purchase; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
于,[Yú] surname Yu; [yú] to go; to take; sentence-final interrogative particle; variant of 於|于[yu2]; [Yú] surname Yu; [yú] in; at; to; from; by; than; out of; 
重,[chóng] to repeat; repetition; again; re-; classifier: layer; [zhòng] heavy; serious; to attach importance to; 
五,[wǔ] five; 5; 
亲,[qīn] parent; one's own (flesh and blood); relative; related; marriage; bride; close; intimate; in person; first-hand; in favor of; pro-; to kiss; [qìng] parents-in-law of one's offspring; 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
今,[jīn] today; modern; present; current; this; now; 
郑,[Zhèng] Zheng state during the Warring States period; surname Zheng; abbr. for 鄭州|郑州[Zheng4 zhou1]; 
以,[Yǐ] abbr. for Israel 以色列[Yi3 se4 lie4]; [yǐ] to use; according to; so as to; by means of; in order to; by; with; because; 
那,[Nā] surname Na; [Nuó] surname Nuo; [nǎ] variant of 哪[na3]; [nà] that; those; then (in that case); commonly pr. [nei4] before a classifier, esp. in Beijing; [nuó] (archaic) many; beautiful; how; old variant of 挪[nuo2]; 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
会,[huì] can; to be possible; to be able to; will; to be likely to; to be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is [hui3]); [kuài] to balance an account; accountancy; accounting; 
余,[Yú] surname Yu; [yú] (archaic) I; me; variant of 餘|余[yu2], surplus; [yú] extra; surplus; remaining; remainder after division; (following numerical value) or more; in excess of (some number); residue (math.); after; I; me; 
你,[nǐ] you (informal, as opposed to courteous 您[nin2]); 
遗,[yí] to lose; to leave behind; to omit; to bequeath; sth lost; involuntary discharge (of urine etc); 
假,[jiǎ] fake; false; artificial; to borrow; if; suppose; [jià] vacation; 
连,[Lián] surname Lian; [lián] to link; to join; to connect; continuously; in succession; including; (used with 也, 都 etc) even; company (military); 
儿,[ér] son; [r] non-syllabic diminutive suffix; retroflex final; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
全,[Quán] surname Quan; [quán] all; whole; entire; every; complete; 
还,[Huán] surname Huan; [hái] still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else; [huán] to pay back; to return; 
兴,[Xīng] surname Xing; [xīng] to rise; to flourish; to become popular; to start; to encourage; to get up; (often used in the negative) to permit or allow (dialect); maybe (dialect); [xìng] feeling or desire to do sth; interest in sth; excitement; 
具,[jù] tool; device; utensil; equipment; instrument; talent; ability; to possess; to have; to provide; to furnish; to state; classifier for devices, coffins, dead bodies; 
再,[zài] again; once more; re-; second; another; then (after sth, and not until then); 
写,[xiě] to write; 
冰,[bīng] ice; CL:塊|块[kuai4]; methamphetamine (slang); 
贴,[tiē] to stick; to paste; to post (e.g. on a blog); to keep close to; to fit snugly; to subsidize; allowance (e.g. money for food or housing); sticker; classifier for sticking plaster: strip; 
冷,[Lěng] surname Leng; [lěng] cold; 
刚,[gāng] hard; firm; strong; just; barely; exactly; 
初,[chū] at first; (at the) beginning; first; junior; basic; 
别,[Bié] surname Bie; [bié] to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin; to stick (sth) in; [biè] to make sb change their ways, opinions etc; 
说,[shuì] to persuade; [shuō] to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory); 
到,[dào] to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action); 
及,[jí] and; to reach; up to; in time for; 
吃,[chī] to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer; to stammer (Taiwan pr. for this sense is [ji2]); 
名,[míng] name; noun (part of speech); place (e.g. among winners); famous; classifier for people; 
诉,[sù] to complain; to sue; to tell; 
后,[Hòu] surname Hou; [hòu] empress; queen; [hòu] back; behind; rear; afterwards; after; later; 
向,[Xiàng] surname Xiang; [xiàng] towards; to face; to turn towards; direction; to support; to side with; shortly before; formerly; always; all along; 
告,[gào] to tell; to inform; to say; 
许,[Xǔ] surname Xu; [xǔ] to allow; to permit; to promise; to praise; somewhat; perhaps; 
品,[pǐn] article; commodity; product; goods; kind; grade; rank; character; disposition; nature; temperament; variety; to taste sth; to sample; to criticize; to comment; to judge; to size up; 
哥,[gē] elder brother; 
让,[ràng] to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc); 
商,[Shāng] the Shang dynasty, 16th to 11th century BC; [shāng] commerce; merchant; dealer; to consult; quotient; 2nd note in pentatonic scale; 
要,[yāo] to demand; to request; to coerce; [yào] important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if; 
回,[huí] to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book); 
西,[Xī] the West; abbr. for Spain 西班牙[Xi1 ban1 ya2]; Spanish; [xī] west; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
场,[cháng] threshing floor; classifier for events and happenings: spell, episode, bout; [chǎng] large place used for a specific purpose; stage; scene (of a play); classifier for sporting or recreational activities; classifier for number of exams; [cháng] variant of 場|场[chang2]; [chǎng] variant of 場|场[chang3]; 
多,[duō] many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"; 
蒸,[zhēng] to evaporate; (of cooking) to steam; torch made from hemp stalks or bamboo (old); finely chopped firewood (old); 
天,[tiān] day; sky; heaven; 
茜,[qiàn] Rubia cordifolia; Indian madder; munjeet; [xī] used in the transliteration of people's names; 
失,[shī] to lose; to miss; to fail; 
奶,[nǎi] breast; milk; to breastfeed; 
自,[zì] from; self; oneself; since; 
她,[tā] she; 
如,[rú] as; as if; such as; 
妈,[mā] ma; mom; mother; 
脸,[liǎn] face; CL:張|张[zhang1],個|个[ge4]; 
子,[zǐ] son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; [zi] (noun suffix); 
字,[zì] letter; symbol; character; word; CL:個|个[ge4]; courtesy or style name traditionally given to males aged 20 in dynastic China; 
孝,[xiào] filial piety or obedience; mourning apparel; 
肚,[dǔ] tripe; [dù] belly; 
,
考,[kǎo] to check; to verify; to test; to examine; to take an exam; to take an entrance exam for; deceased father; 
定,[dìng] to set; to fix; to determine; to decide; to order; 
宣,[Xuān] surname Xuan; [xuān] to declare (publicly); to announce; 
美,[Měi] the Americas; abbr. for 美洲[Mei3 zhou1]; USA; abbr. for 美國|美国[Mei3 guo2]; [měi] beautiful; very satisfactory; good; to be pleased with oneself; 
家,[Jiā] surname Jia; [jiā] home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]; 
给,[gěi] to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle); [jǐ] to supply; to provide; 
级,[jí] level; grade; rank; step (of stairs); CL:個|个[ge4]; classifier: step, level; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
糕,[gāo] cake; 
岁,[suì] variant of 歲|岁[sui4], year; years old; [suì] classifier for years (of age); year; year (of crop harvests); 
布,[bù] cloth; to declare; to announce; to spread; to make known; 
