寞,[mò] lonesome; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
下,[xià] down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action; 
不,[bù] (negative prefix); not; no; 
东,[Dōng] surname Dong; [dōng] east; host (i.e. sitting on east side of guest); landlord; 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
也,[Yě] surname Ye; [yě] also; too; (in Classical Chinese) final particle implying affirmation; 
习,[Xí] surname Xi; [xí] to practice; to study; habit; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
些,[xiē] some; few; several; measure word indicating a small amount or small number (greater than 1); 
京,[Jīng] abbr. for Beijing; surname Jing; Jing ethnic minority; [jīng] capital city of a country; big; algebraic term for a large number (old); artificial mound (old); 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
今,[jīn] today; modern; present; current; this; now; 
他,[tā] he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another; 
以,[Yǐ] abbr. for Israel 以色列[Yi3 se4 lie4]; [yǐ] to use; according to; so as to; by means of; in order to; by; with; because; 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
信,[xìn] letter; mail; CL:封[feng1]; to trust; to believe; to profess faith in; truthful; confidence; trust; at will; at random; 
候,[hòu] to wait; to inquire after; to watch; season; climate; (old) period of five days; 
做,[zuò] to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance; 
儿,[ér] son; [r] non-syllabic diminutive suffix; retroflex final; 
冒,[Mào] surname Mao; [mào] to emit; to give off; to send out (or up, forth); brave; bold; to cover; to act under false pretences; 
出,[chū] to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc; 
到,[dào] to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action); 
北,[běi] north; to be defeated (classical); 
医,[yī] medical; medicine; doctor; to cure; to treat; 
午,[wǔ] 7th earthly branch: 11 a.m.-1 p.m., noon, 5th solar month (6th June-6th July), year of the Horse; 
厉,[Lì] surname Li; [lì] strict; severe; 
去,[qù] to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed; 
友,[yǒu] friend; 
发,[fā] to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds); [fà] hair; Taiwan pr. [fa3]; 
可,[kě] can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very; [kè] see 可汗[ke4 han2]; 
吃,[chī] to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer; to stammer (Taiwan pr. for this sense is [ji2]); 
同,[tóng] like; same; similar; together; alike; with; 
听,[yǐn] smile (archaic); [tīng] to listen; to hear; to obey; a can (loanword from English "tin"); classifier for canned beverages; [tìng] (literary pronunciation, still advocated in Taiwan) to rule; to sentence; to allow; 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
咳,[hāi] sound of sighing; [ké] cough; 
哥,[gē] elder brother; 
喜,[xǐ] to be fond of; to like; to enjoy; to be happy; to feel pleased; happiness; delight; glad; 
嗓,[sǎng] throat; voice; 
嗽,[sòu] cough; 
因,[yīn] cause; reason; because; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
院,[yuàn] courtyard; institution; CL:個|个[ge4]; 
多,[duō] many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"; 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
天,[tiān] day; sky; heaven; 
夫,[fū] husband; man; manual worker; conscripted laborer (old); [fú] (classical) this, that; he, she, they; (exclamatory final particle); (initial particle, introduces an opinion); 
头,[tóu] head; hair style; the top; end; beginning or end; a stub; remnant; chief; boss; side; aspect; first; leading; classifier for pigs or livestock; CL:個|个[ge4]; [tou] suff. for nouns; 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
针,[zhēn] needle; pin; injection; stitch; CL:根[gen1],支[zhi1]; [zhēn] variant of 針|针[zhen1], needle; 
姐,[jiě] older sister; 
子,[zǐ] son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; [zi] (noun suffix); 
,
害,[hài] to do harm to; to cause trouble to; harm; evil; calamity; 
家,[Jiā] surname Jia; [jiā] home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]; 
容,[Róng] surname Rong; [róng] to hold; to contain; to allow; to tolerate; appearance; look; countenance; 
宿,[Sù] surname Su; [sù] lodge for the night; old; former; [xiǔ] night; classifier for nights; [xiù] constellation; 
寂,[jì] silent; solitary; Taiwan pr. [ji2]; 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
面,[miàn] face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc; 
封,[Fēng] surname Feng; [fēng] to confer; to grant; to bestow a title; to seal; classifier for sealed objects, esp. letters; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
师,[Shī] surname Shi; [shī] teacher; master; expert; model; army division; (old) troops; to dispatch troops; 
常,[Cháng] surname Chang; [cháng] always; ever; often; frequently; common; general; constant; 
庆,[qìng] to celebrate; 
床,[chuáng] bed; couch; classifier for beds; CL:張|张[zhang1]; 
开,[kāi] to open; to start; to turn on; to boil; to write out (a prescription, check, invoice etc); to operate (vehicle); abbr. for 開爾文|开尔文 degrees Kelvin; 
弟,[dì] younger brother; junior male; I (modest word in letter); [tì] variant of 悌[ti4]; 
很,[hěn] (adverb of degree); quite; very; awfully; 
得,[dé] to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished; [de] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; [děi] to have to; must; ought to; to need to; 
快,[kuài] rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plain-spoken; gratified; pleased; pleasant; 
想,[xiǎng] to think; to believe; to suppose; to wish; to want; to miss (feel wistful about the absence of sb or sth); 
愉,[yú] pleased; 
感,[gǎn] to feel; to move; to touch; to affect; feeling; emotion; (suffix) sense of ~; 
我,[wǒ] I; me; my; 
所,[suǒ] actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive; CL:個|个[ge4]; 
打,[dá] dozen (loanword); [dǎ] to beat; to strike; to hit; to break; to type; to mix up; to build; to fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to play (a game); since; from; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
