很,[hěn] (adverb of degree); quite; very; awfully; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
面,[miàn] face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
下,[xià] down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action; 
镜,[jìng] mirror; lens; 
不,[bù] (negative prefix); not; no; 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
丽,[Lí] Korea; [lì] beautiful; 
乖,[guāi] (of a child) obedient, well-behaved; clever; shrewd; alert; perverse; contrary to reason; irregular; abnormal; 
也,[Yě] surname Ye; [yě] also; too; (in Classical Chinese) final particle implying affirmation; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
亮,[liàng] bright; clear; resonant; to shine; to show; to reveal; 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
从,[Cóng] surname Cong; [cōng] lax; yielding; unhurried; [cóng] from; via; passing through; through (a gap); past; ever (followed by negative, meaning never); (formerly pr. [zong4] and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; [zòng] second cousin; 
伯,[bà] variant of 霸[ba4]; [bǎi] one hundred (old); [bó] father's elder brother; senior; paternal elder uncle; eldest of brothers; respectful form of address; Count, third of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; 
采,[cǎi] to pick; to pluck; to collect; to select; to choose; to gather; [cǎi] color; complexion; looks; variant of 彩[cai3]; variant of 採|采[cai3]; [cài] allotment to a feudal noble; 
你,[nǐ] you (informal, as opposed to courteous 您[nin2]); 
候,[hòu] to wait; to inquire after; to watch; season; climate; (old) period of five days; 
停,[tíng] to stop; to halt; to park (a car); 
道,[dào] direction; way; road; path; CL:條|条[tiao2],股[gu3]; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; province (of Korea or Japan); 
先,[xiān] early; prior; former; in advance; first; 
兔,[tù] rabbit; 
准,[zhǔn] to allow; to grant; in accordance with; in the light of; [zhǔn] horizontal (old); accurate; standard; definitely; certainly; about to become (bride, son-in-law etc); quasi-; para-; 
退,[tuì] to retreat; to decline; to move back; to withdraw; 
到,[dào] to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action); 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
去,[qù] to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed; 
只,[zhǐ] only; merely; just; but; 
过,[Guò] surname Guo; [guò] (experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; 
叫,[jiào] to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood); 
吓,[hè] to scare; to intimidate; to threaten; (interjection showing disapproval) tut-tut; (interjection showing astonishment); [xià] to frighten; to scare; 
吧,[bā] bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc); (onom.) bang; abbr. for 貼吧|贴吧[tie1 ba1]; [ba] (modal particle indicating suggestion or surmise); ...right?; ...OK?; ...I presume.; 
呀,[ya] (particle equivalent to 啊 after a vowel, expressing surprise or doubt); 
哼,[hēng] to groan; to snort; to hum; to croon; humph!; 
喊,[hǎn] to yell; to shout; to call out for (a person); 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
地,[de] -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; [dì] earth; ground; field; place; land; CL:片[pian4]; 
蹦,[bèng] to jump; to bounce; to hop; 
声,[shēng] sound; voice; tone; noise; classifier for sounds; 
备,[bèi] variant of 備|备[bei4]; [bèi] to prepare; get ready; to provide or equip; 
夏,[Xià] the Xia or Hsia dynasty c. 2000 BC; Xia of the Sixteen Kingdoms (407-432); surname Xia; [xià] summer; 
跳,[tiào] to jump; to hop; to skip over; to bounce; to palpitate; 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
走,[zǒu] to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走[che4 zou3]); to change (shape, form, meaning); 
天,[tiān] day; sky; heaven; 
头,[tóu] head; hair style; the top; end; beginning or end; a stub; remnant; chief; boss; side; aspect; first; leading; classifier for pigs or livestock; CL:個|个[ge4]; [tou] suff. for nouns; 
夸,[kuā] see 夸克[kua1 ke4]; [kuā] to boast; to exaggerate; to praise; 
说,[shuì] to persuade; [shuō] to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory); 
奖,[jiǎng] prize; award; encouragement; CL:個|个[ge4]; 
子,[zǐ] son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; [zi] (noun suffix); 
它,[tā] it; 
完,[wán] to finish; to be over; whole; complete; entire; 
对,[duì] right; correct; couple; pair; towards; at; for; to face; opposite; to treat (sb a certain way); to match together; to adjust; to fit; to suit; to answer; to reply; classifier: couple; 
见,[jiàn] to see; to meet; to appear (to be sth); to interview; [xiàn] to appear; also written 現|现[xian4]; 
小,[xiǎo] small; tiny; few; young; 
要,[yāo] to demand; to request; to coerce; [yào] important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if; 
裙,[qún] skirt; CL:條|条[tiao2]; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
山,[Shān] surname Shan; [shān] mountain; hill; anything that resembles a mountain; CL:座[zuo4]; bundled straw in which silkworms spin cocoons; gable; 
蘑,[mó] mushroom; 
差,[chā] difference; discrepancy; to differ; error; to err; to make a mistake; [chà] to differ from; to fall short of; lacking; wrong; inferior; [chāi] to send; to commission; messenger; mission; 
菇,[gū] mushroom; 
花,[Huā] surname Hua; [huā] flower; blossom; CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4]; fancy pattern; florid; to spend (money, time); 
得,[dé] to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished; [de] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; [děi] to have to; must; ought to; to need to; 
心,[xīn] heart; mind; intention; center; core; CL:顆|颗[ke1],個|个[ge4]; 
您,[nín] you (courteous, as opposed to informal 你[ni3]); 
慢,[màn] slow; 
脚,[jiǎo] foot; leg (of an animal or an object); base (of an object); CL:雙|双[shuang1],隻|只[zhi1]; classifier for kicks; [jué] variant of 角[jue2]; role; 
戴,[Dài] surname Dai; [dài] to put on or wear (glasses, hat, gloves etc); to respect; to bear; to support; 
拄,[zhǔ] to lean on; to prop on; 
拐,[guǎi] to turn; to kidnap; to swindle; to misappropriate; a cane; seven (used as a substitute for 七[qi1]); 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
摔,[shuāi] to throw down; to fall; to drop and break; 
摸,[mō] to feel with the hand; to touch; to stroke; to grope; to steal; to abstract; [mó] variant of 摹[mo2]; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
美,[Měi] the Americas; abbr. for 美洲[Mei3 zhou1]; USA; abbr. for 美國|美国[Mei3 guo2]; [měi] beautiful; very satisfactory; good; to be pleased with oneself; 
杖,[zhàng] a staff; a rod; cane; walking stick; to flog with a stick (old); 
来,[lái] to come; to arrive; to come round; ever since; next; 
树,[shù] tree; CL:棵[ke1]; to cultivate; to set up; 
桥,[qiáo] bridge; CL:座[zuo4]; 
歌,[gē] song; CL:支[zhi1],首[shou3]; to sing; 
步,[Bù] surname Bu; [bù] a step; a pace; walk; march; stages in a process; situation; 
漂,[piāo] to float; to drift; [piǎo] to bleach; [piào] elegant; polished; 
羊,[Yáng] surname Yang; [yáng] sheep; goat; CL:頭|头[tou2],隻|只[zhi1]; 
炎,[yán] flame; inflammation; -itis; 
窄,[zhǎi] narrow; narrow-minded; badly off; 
点,[diǎn] point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; (old) one fifth of a two-hour watch 更[geng1]; dot stroke in Chinese characters; classifier for items; 
热,[rè] to warm up; to heat up; hot (of weather); heat; fervent; 
白,[Bái] surname Bai; [bái] white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
看,[kān] to look after; to take care of; to watch; to guard; [kàn] to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger); 
穿,[chuān] to bore through; to pierce; to perforate; to penetrate; to pass through; to dress; to wear; to put on; to thread; 
真,[zhēn] really; truly; indeed; real; true; genuine; 
眼,[yǎn] eye; small hole; crux (of a matter); CL:隻|只[zhi1],雙|双[shuang1]; classifier for big hollow things (wells, stoves, pots etc); 
着,[zhāo] (chess) move; trick; all right!; (dialect) to add; [zháo] to touch; to come in contact with; to feel; to be affected by; to catch fire; to fall asleep; to burn; [zhe] aspect particle indicating action in progress; [zhuó] to wear (clothes); to contact; to use; to apply; 
鸟,[diǎo] variant of 屌[diao3]; penis; [niǎo] bird; CL:隻|只[zhi1],群[qun2]; (dialect) to pay attention to; (intensifier) damned; goddam; 
眼镜,[yǎn jìng] spectacles; eyeglasses; CL:副[fu4]; 
穿着,[chuān zhuó] attire; clothes; dress; 
炎热,[yán rè] blistering hot; sizzling hot (weather); 
漂亮,[piào liang] pretty; beautiful; 
时候,[shí hou] time; length of time; moment; period; 
美丽,[měi lì] beautiful; 
拐杖,[guǎi zhàng] crutches; crutch; walking stick; 
慢慢,[màn màn] slowly; 
脚步,[jiǎo bù] footstep; step; 
一点,[yī diǎn] a bit; a little; one dot; one point; 
差点,[chà diǎn] almost; nearly; 
山羊,[shān yáng] goat; (gymnastics) small-sized vaulting horse; 
蘑菇,[mó gu] mushroom; to pester; to dawdle; 
小桥,[Xiǎo Qiáo] Xiao Qiao, one of the Two Qiaos, according to Romance of the Three Kingdoms 三國演義|三国演义[San1 guo2 Yan3 yi4], the two great beauties of ancient China; 
看见,[kàn jiàn] to see; to catch sight of; 
小心,[xiǎo xīn] to be careful; to take care; 
对面,[duì miàn] (sitting) opposite; across (the street); directly in front; to be face to face; 
夸奖,[kuā jiǎng] to praise; to applaud; to compliment; 
大声,[dà shēng] loud voice; in a loud voice; loudly; 
夏天,[xià tiān] summer; CL:個|个[ge4]; 
地上,[dì shang] on the ground; on the floor; 
下来,[xià lai] to come down; (after verb of motion, indicates motion down and towards us, also fig.); (indicates continuation from the past towards us); to be harvested (of crops); to be over (of a period of time); to go among the masses (said of leaders); 
只能,[zhǐ néng] can only; obliged to do sth; to have no other choice; 
到了,[dào liǎo] at last; finally; in the end; 
准备,[zhǔn bèi] preparation; to prepare; to intend; to be about to; reserve (fund); 
停下,[tíng xià] to stop; 
伯伯,[bó bo] father's elder brother; uncle; 
裙子,[qún zi] skirt; CL:條|条[tiao2]; 
一个人,[yī gè rén] by oneself (without assistance); alone (without company); 
蹦蹦跳跳,[bèng bèng tiào tiào] bouncing and vivacious; 
