一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
验,[yàn] variant of 驗|验[yan4]; [yàn] to examine; to test; to check; 
非,[Fēi] abbr. for 非洲[Fei1 zhou1], Africa; [fēi] to not be; not; wrong; incorrect; non-; un-; in-; to reproach or blame; (colloquial) to insist on; simply must; 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
九,[jiǔ] nine; 9; 
书,[Shū] abbr. for 書經|书经[Shu1 jing1]; [shū] book; letter; document; CL:本[ben3],冊|册[ce4],部[bu4]; to write; 
二,[èr] two; 2; (Beijing dialect) stupid; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
五,[wǔ] five; 5; 
语,[yǔ] dialect; language; speech; [yù] to tell to; 
老,[lǎo] prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough; 
今,[jīn] today; modern; present; current; this; now; 
经,[Jīng] surname Jing; [jīng] classics; sacred book; scripture; to pass through; to undergo; to bear; to endure; warp (textile); longitude; menstruation; channel (TCM); abbr. for economics 經濟|经济[jing1 ji4]; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
他,[tā] he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another; 
代,[dài] to substitute; to act on behalf of others; to replace; generation; dynasty; age; period; (historical) era; (geological) eon; 
位,[wèi] position; location; place; seat; classifier for people (honorific); classifier for binary bits (e.g. 十六位 16-bit or 2 bytes); 
作,[zuò] to do; to grow; to write or compose; to pretend; to regard as; to feel; writings or works; 
先,[xiān] early; prior; former; in advance; first; 
留,[liú] to leave (a message etc); to retain; to stay; to remain; to keep; to preserve; 
八,[bā] eight; 8; 
出,[chū] to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc; 
男,[nán] male; Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; CL:個|个[ge4]; 
北,[běi] north; to be defeated (classical); 
生,[shēng] to be born; to give birth; life; to grow; raw; uncooked; student; 
十,[shí] ten; 10; 
友,[yǒu] friend; 
号,[háo] roar; cry; CL:個|个[ge4]; [hào] ordinal number; day of a month; mark; sign; business establishment; size; ship suffix; horn (wind instrument); bugle call; assumed name; to take a pulse; classifier used to indicate number of people; 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
四,[sì] four; 4; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
