掏,[tāo] to fish out (from pocket); to scoop; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
鸟,[diǎo] variant of 屌[diao3]; penis; [niǎo] bird; CL:隻|只[zhi1],群[qun2]; (dialect) to pay attention to; (intensifier) damned; goddam; 
马,[Mǎ] surname Ma; abbr. for Malaysia 馬來西亞|马来西亚[Ma3 lai2 xi1 ya4]; [mǎ] horse; CL:匹[pi3]; horse or cavalry piece in Chinese chess; knight in Western chess; 
零,[líng] zero; nought; zero sign; fractional; fragmentary; odd (of numbers); (placed between two numbers to indicate a smaller quantity followed by a larger one); fraction; (in mathematics) remainder (after division); extra; to wither and fall; to wither; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
下,[xià] down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action; 
雪,[Xuě] surname Xue; [xuě] snow; snowfall; CL:場|场[chang2]; to have the appearance of snow; to wipe away, off or out; to clean; 
不,[bù] (negative prefix); not; no; 
长,[cháng] length; long; forever; always; constantly; [zhǎng] chief; head; elder; to grow; to develop; to increase; to enhance; 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
中,[Zhōng] China; Chinese; surname Zhong; [zhōng] within; among; in; middle; center; while (doing sth); during; (dialect) OK; all right; [zhòng] to hit (the mark); to be hit by; to suffer; to win (a prize, a lottery); 
么,[má] exclamatory final particle; [ma] interrogative final particle; [me] suffix, used to form interrogative 甚麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc; [me] variant of 麼|么[me5]; 
也,[Yě] surname Ye; [yě] also; too; (in Classical Chinese) final particle implying affirmation; 
乱,[luàn] in confusion or disorder; in a confused state of mind; disorder; upheaval; riot; illicit sexual relations; to throw into disorder; to mix up; indiscriminate; random; arbitrary; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
什,[shén] what; [shí] ten (used in fractions, writing checks etc); assorted; miscellaneous; 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
从,[Cóng] surname Cong; [cōng] lax; yielding; unhurried; [cóng] from; via; passing through; through (a gap); past; ever (followed by negative, meaning never); (formerly pr. [zong4] and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; [zòng] second cousin; 
醒,[xǐng] to wake up; to be awake; to become aware; to sober up; to come to; 
他,[tā] he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another; 
迹,[jì] footprint; mark; trace; vestige; sign; indication; Taiwan pr. [ji1]; [jì] variant of 跡|迹[ji4]; [jì] variant of 跡|迹[ji4]; 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
件,[jiàn] item; component; classifier for events, things, clothes etc; 
伙,[huǒ] meals (abbr. for 伙食[huo3 shi2]); variant of 夥|伙[huo3]; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
会,[huì] can; to be possible; to be able to; will; to be likely to; to be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is [hui3]); [kuài] to balance an account; accountancy; accounting; 
传,[chuán] to pass on; to spread; to transmit; to infect; to transfer; to circulate; to conduct (electricity); [zhuàn] biography; historical narrative; commentaries; relay station; 
还,[Huán] surname Huan; [hái] still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else; [huán] to pay back; to return; 
伤,[shāng] to injure; injury; wound; 
伴,[bàn] partner; companion; comrade; associate; to accompany; 
位,[wèi] position; location; place; seat; classifier for people (honorific); classifier for binary bits (e.g. 十六位 16-bit or 2 bytes); 
做,[zuò] to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance; 
像,[xiàng] to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.); 
儿,[ér] son; [r] non-syllabic diminutive suffix; retroflex final; 
兔,[tù] rabbit; 
公,[gōng] public; collectively owned; common; international (e.g. high seas, metric system, calendar); make public; fair; just; Duke, highest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; honorable (gentlemen); father-in-law; male (animal); 
再,[zài] again; once more; re-; second; another; then (after sth, and not until then); 
载,[zǎi] to record in writing; to carry (i.e. publish in a newspaper etc); Taiwan pr. [zai4]; year; [zài] to carry; to convey; to load; to hold; to fill up; and; also; as well as; simultaneously; 
出,[chū] to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc; 
躺,[tǎng] to recline; to lie down; 
到,[dào] to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action); 
蹦,[bèng] to jump; to bounce; to hop; 
办,[bàn] to do; to manage; to handle; to go about; to run; to set up; to deal with; 
跳,[tiào] to jump; to hop; to skip over; to bounce; to palpitate; 
印,[Yìn] surname Yin; abbr. for 印度[Yin4 du4]; [yìn] to print; to mark; to engrave; a seal; a print; a stamp; a mark; a trace; image; 
原,[yuán] former; original; primary; raw; level; cause; source; 
起,[qǐ] to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group; 
去,[qù] to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed; 
发,[fā] to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds); [fà] hair; Taiwan pr. [fa3]; 
说,[shuì] to persuade; [shuō] to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory); 
受,[shòu] to receive; to accept; to suffer; subjected to; to bear; to stand; pleasant; (passive marker); 
语,[yǔ] dialect; language; speech; [yù] to tell to; 
口,[kǒu] mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc); classifier for bites or mouthfuls; 
只,[zhǐ] only; merely; just; but; 
言,[yán] words; speech; to say; to talk; 
觉,[jiào] a nap; a sleep; CL:場|场[chang2]; [jué] to feel; to find that; thinking; awake; aware; 
可,[kě] can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very; [kè] see 可汗[ke4 han2]; 
见,[jiàn] to see; to meet; to appear (to be sth); to interview; [xiàn] to appear; also written 現|现[xian4]; 
裳,[cháng] lower garment; skirts; petticoats; garments; 
叹,[tàn] to sigh; to gasp; to exclaim; [tàn] variant of 嘆|叹[tan4]; 
吧,[bā] bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc); (onom.) bang; abbr. for 貼吧|贴吧[tie1 ba1]; [ba] (modal particle indicating suggestion or surmise); ...right?; ...OK?; ...I presume.; 
吵,[chǎo] to quarrel; to make a noise; noisy; to disturb by making a noise; 
袋,[dài] a pouch; bag; sack; pocket; 
呀,[ya] (particle equivalent to 啊 after a vowel, expressing surprise or doubt); 
呢,[ne] particle indicating that a previously asked question is to be applied to the preceding word ("What about ...?", "And ...?"); particle for inquiring about location ("Where is ...?"); particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board ("ok?", "are you with me?"); (at the end of a declarative sentence) particle indicating continuation of a state or action; particle indicating strong affirmation; [ní] woolen material; 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
啊,[ā] interjection of surprise; Ah!; Oh!; [á] interjection expressing doubt or requiring answer; Eh?; what?; to show realization; to stress; [ǎ] interjection of surprise or doubt; Eh?; My!; what's up?; [à] interjection or grunt of agreement; uhm; Ah, OK; expression of recognition; Oh, it's you!; [a] modal particle ending sentence, showing affirmation, approval, or consent; 
啦,[lā] (onom.) sound of singing, cheering etc; (phonetic); (dialect) to chat; [la] sentence-final particle, contraction of 了啊, indicating exclamation; particle placed after each item in a list of examples; 
喷,[pēn] to puff; to spout; to spray; to spurt; [pèn] (of a smell) strong; peak season (of a crop); (classifier for the ordinal number of a crop, in the context of multiple harvests); 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
地,[de] -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; [dì] earth; ground; field; place; land; CL:片[pian4]; 
衣,[yī] clothes; CL:件[jian4]; [yì] to dress; to wear; to put on (clothes); 
场,[cháng] threshing floor; classifier for events and happenings: spell, episode, bout; [chǎng] large place used for a specific purpose; stage; scene (of a play); classifier for sporting or recreational activities; classifier for number of exams; [cháng] variant of 場|场[chang2]; [chǎng] variant of 場|场[chang3]; 
声,[shēng] sound; voice; tone; noise; classifier for sounds; 
外,[wài] outside; in addition; foreign; external; 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
蒲,[Pú] surname Pu; old place name; [pú] refers to various monocotyledonous flowering plants including Acorus calamus and Typha orientalis; common cattail; bullrush; 
奇,[jī] odd (number); [qí] strange; odd; weird; wonderful; surprisingly; unusually; 
