悔,[huǐ] to regret; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
随,[Suí] surname Sui; [suí] to follow; to comply with; varying according to...; to allow; 
不,[bù] (negative prefix); not; no; 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
东,[Dōng] surname Dong; [dōng] east; host (i.e. sitting on east side of guest); landlord; 
都,[Dū] surname Du; [dōu] all; both; entirely; (used for emphasis) even; already; (not) at all; [dū] capital city; metropolis; 
丢,[diū] to lose; to put aside; to throw; 
邻,[lín] neighbor; adjacent; close to; [lín] variant of 鄰|邻[lin2]; 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
主,[zhǔ] owner; master; host; individual or party concerned; God; Lord; main; to indicate or signify; trump card (in card games); 
那,[Nā] surname Na; [Nuó] surname Nuo; [nǎ] variant of 哪[na3]; [nà] that; those; then (in that case); commonly pr. [nei4] before a classifier, esp. in Beijing; [nuó] (archaic) many; beautiful; how; old variant of 挪[nuo2]; 
么,[má] exclamatory final particle; [ma] interrogative final particle; [me] suffix, used to form interrogative 甚麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc; [me] variant of 麼|么[me5]; 
也,[Yě] surname Ye; [yě] also; too; (in Classical Chinese) final particle implying affirmation; 
乱,[luàn] in confusion or disorder; in a confused state of mind; disorder; upheaval; riot; illicit sexual relations; to throw into disorder; to mix up; indiscriminate; random; arbitrary; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
二,[èr] two; 2; (Beijing dialect) stupid; 
于,[Yú] surname Yu; [yú] to go; to take; sentence-final interrogative particle; variant of 於|于[yu2]; [Yú] surname Yu; [yú] in; at; to; from; by; than; out of; 
造,[zào] to make; to build; to manufacture; to invent; to fabricate; to go to; party (in a lawsuit or legal agreement); crop; classifier for crops; 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
他,[tā] he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another; 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
伙,[huǒ] meals (abbr. for 伙食[huo3 shi2]); variant of 夥|伙[huo3]; 
便,[biàn] ordinary; plain; convenient; as convenient; when the chance arises; handy; easy; informal; simple; so; thus; to relieve oneself; to urinate; to defecate; equivalent to 就[jiu4]: then; in that case; even if; soon afterwards; [pián] advantageous; cheap; 
