一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
鸣,[míng] to cry (of birds, animals and insects); 
不,[bù] (negative prefix); not; no; 
骨,[gǔ] bone; 
馆,[guǎn] variant of 館|馆[guan3]; [guǎn] building; shop; term for certain service establishments; embassy or consulate; schoolroom (old); CL:家[jia1]; 
与,[yú] variant of 歟|欤[yu2]; [yǔ] and; to give; together with; [yù] to take part in; 
东,[Dōng] surname Dong; [dōng] east; host (i.e. sitting on east side of guest); landlord; 
音,[yīn] sound; noise; note (of musical scale); tone; news; syllable; reading (phonetic value of a character); 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
中,[Zhōng] China; Chinese; surname Zhong; [zhōng] within; among; in; middle; center; while (doing sth); during; (dialect) OK; all right; [zhòng] to hit (the mark); to be hit by; to suffer; to win (a prize, a lottery); 
之,[zhī] (possessive particle, literary equivalent of 的[de5]); him; her; it; 
乎,[hū] (classical particle similar to 於|于[yu2]) in; at; from; because; than; (classical final particle similar to 嗎|吗[ma5], 吧[ba5], 呢[ne5], expressing question, doubt or astonishment); 
也,[Yě] surname Ye; [yě] also; too; (in Classical Chinese) final particle implying affirmation; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
互,[hù] mutual; 
京,[Jīng] abbr. for Beijing; surname Jing; Jing ethnic minority; [jīng] capital city of a country; big; algebraic term for a large number (old); artificial mound (old); 
亮,[liàng] bright; clear; resonant; to shine; to show; to reveal; 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
静,[jìng] still; calm; quiet; not moving; 
从,[Cóng] surname Cong; [cōng] lax; yielding; unhurried; [cóng] from; via; passing through; through (a gap); past; ever (followed by negative, meaning never); (formerly pr. [zong4] and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; [zòng] second cousin; 
霓,[ní] secondary rainbow; 
他,[tā] he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another; 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
似,[sì] to seem; to appear; to resemble; similar; -like; pseudo-; (more) than; 
除,[chú] to get rid of; to remove; to exclude; to eliminate; to wipe out; to divide; except; not including; 
像,[xiàng] to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.); 
儿,[ér] son; [r] non-syllabic diminutive suffix; retroflex final; 
到,[dào] to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action); 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
动,[dòng] to use; to act; to move; to change; abbr. for 動詞|动词[dong4 ci2], verb; 
北,[běi] north; to be defeated (classical); 
都,[Dū] surname Du; [dōu] all; both; entirely; (used for emphasis) even; already; (not) at all; [dū] capital city; metropolis; 
区,[Oū] surname Ou; [qū] area; region; district; small; distinguish; CL:個|个[ge4]; 
去,[qù] to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed; 
