换,[huàn] to exchange; to change (clothes etc); to substitute; to switch; to convert (currency); 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
不,[bù] (negative prefix); not; no; 
两,[liǎng] two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old); 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
么,[má] exclamatory final particle; [ma] interrogative final particle; [me] suffix, used to form interrogative 甚麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc; [me] variant of 麼|么[me5]; 
乐,[Lè] surname Le; [Yuè] surname Yue; [lè] happy; cheerful; to laugh; [yuè] music; 
也,[Yě] surname Ye; [yě] also; too; (in Classical Chinese) final particle implying affirmation; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
他,[tā] he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another; 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
作,[zuò] to do; to grow; to write or compose; to pretend; to regard as; to feel; writings or works; 
你,[nǐ] you (informal, as opposed to courteous 您[nin2]); 
保,[Bǎo] Bulgaria; Bulgarian; abbr. for 保加利亞|保加利亚[Bao3 jia1 li4 ya4]; [bǎo] to defend; to protect; to keep; to guarantee; to ensure; 
候,[hòu] to wait; to inquire after; to watch; season; climate; (old) period of five days; 
做,[zuò] to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance; 
偷,[tōu] to steal; to pilfer; to snatch; thief; stealthily; 
先,[xiān] early; prior; former; in advance; first; 
再,[zài] again; once more; re-; second; another; then (after sth, and not until then); 
写,[xiě] to write; 
别,[Bié] surname Bie; [bié] to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin; to stick (sth) in; [biè] to make sb change their ways, opinions etc; 
