手,[shǒu] hand; (formal) to hold; person engaged in certain types of work; person skilled in certain types of work; personal(ly); convenient; classifier for skill; CL:雙|双[shuang1],隻|只[zhi1]; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
鼓,[gǔ] drum; CL:通[tong4],面[mian4]; to drum; to strike; to rouse; to bulge; to swell; 
黑,[Hēi] abbr. for Heilongjiang province 黑龍江|黑龙江[Hei1 long2 jiang1]; [hēi] black; dark; sinister; secret; shady; illegal; (loanword) to hack (computing); 
鸡,[jī] fowl; chicken; CL:隻|只[zhi1]; (slang) prostitute; 
首,[shǒu] head; chief; first (occasion, thing etc); classifier for poems, songs etc; 
饿,[è] to be hungry; hungry; 
飞,[fēi] to fly; 
风,[fēng] wind; news; style; custom; manner; CL:陣|阵[zhen4],絲|丝[si1]; 
丈,[zhàng] ten feet; 
顽,[wán] mischievous; obstinate; to play; stupid; stubborn; naughty; 
三,[Sān] surname San; [sān] three; 3; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
霹,[pī] clap of thunder; 
露,[Lù] surname Lu; [lòu] to show; to reveal; to betray; to expose; [lù] dew; syrup; nectar; outdoors (not under cover); to show; to reveal; to betray; to expose; 
下,[xià] down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action; 
霜,[shuāng] frost; white powder or cream spread over a surface; frosting; (skin) cream; 
不,[bù] (negative prefix); not; no; 
,
雪,[Xuě] surname Xue; [xuě] snow; snowfall; CL:場|场[chang2]; to have the appearance of snow; to wipe away, off or out; to clean; 
雨,[yǔ] rain; CL:陣|阵[zhen4],場|场[chang2]; [yù] to rain; (of rain, snow etc) to fall; to precipitate; to wet; 
难,[nán] difficult (to...); problem; difficulty; difficult; not good; [nàn] disaster; distress; to scold; 
与,[yú] variant of 歟|欤[yu2]; [yǔ] and; to give; together with; [yù] to take part in; 
随,[Suí] surname Sui; [suí] to follow; to comply with; varying according to...; to allow; 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
险,[xiǎn] danger; dangerous; rugged; 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
院,[yuàn] courtyard; institution; CL:個|个[ge4]; 
丽,[Lí] Korea; [lì] beautiful; 
么,[má] exclamatory final particle; [ma] interrogative final particle; [me] suffix, used to form interrogative 甚麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc; [me] variant of 麼|么[me5]; 
之,[zhī] (possessive particle, literary equivalent of 的[de5]); him; her; it; 
也,[Yě] surname Ye; [yě] also; too; (in Classical Chinese) final particle implying affirmation; 
书,[Shū] abbr. for 書經|书经[Shu1 jing1]; [shū] book; letter; document; CL:本[ben3],冊|册[ce4],部[bu4]; to write; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
事,[shì] matter; thing; item; work; affair; CL:件[jian4],樁|桩[zhuang1]; 
阵,[zhèn] disposition of troops; wave; spate; burst; spell; short period of time; classifier for events or states of short duration; 
于,[Yú] surname Yu; [yú] to go; to take; sentence-final interrogative particle; variant of 於|于[yu2]; [Yú] surname Yu; [yú] in; at; to; from; by; than; out of; 
交,[jiāo] to hand over; to deliver; to pay (money); to turn over; to make friends; to intersect (lines); 
阴,[Yīn] surname Yin; [yīn] overcast (weather); cloudy; shady; Yin (the negative principle of Yin and Yang); negative (electric.); feminine; moon; implicit; hidden; genitalia; [yīn] variant of 陰|阴[yin1]; 
产,[chǎn] to give birth; to reproduce; to produce; product; resource; estate; property; 
队,[duì] squadron; team; group; CL:個|个[ge4]; 
亲,[qīn] parent; one's own (flesh and blood); relative; related; marriage; bride; close; intimate; in person; first-hand; in favor of; pro-; to kiss; [qìng] parents-in-law of one's offspring; 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
他,[tā] he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another; 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
似,[sì] to seem; to appear; to resemble; similar; -like; pseudo-; (more) than; 
但,[dàn] but; yet; however; only; merely; still; 
你,[nǐ] you (informal, as opposed to courteous 您[nin2]); 
闯,[chuǎng] to rush; to charge; to dash; to break through; to temper oneself (through battling hardships); 
俩,[liǎ] two (colloquial equivalent of 兩個|两个); both; some; 
倒,[dǎo] to fall; to collapse; to topple; to fail; to go bankrupt; to change (trains or buses); to move around; to sell; to speculate (buying and selling, also 搗|捣); profiteer; [dào] to place upside down; to invert; to pour; to throw out; to move backwards; however; actually; as a matter of fact; contrary to expectation; 
候,[hòu] to wait; to inquire after; to watch; season; climate; (old) period of five days; 
做,[zuò] to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance; 
问,[wèn] to ask; 
儿,[ér] son; [r] non-syllabic diminutive suffix; retroflex final; 
入,[rù] to enter; to go into; to join; to become a member of; to confirm or agree with; abbr. for 入聲|入声[ru4 sheng1]; 
兵,[bīng] soldiers; a force; an army; weapons; arms; military; warlike; CL:個|个[ge4]; 
其,[qí] his; her; its; their; that; such; it (refers to sth preceding it); 
再,[zài] again; once more; re-; second; another; then (after sth, and not until then); 
长,[cháng] length; long; forever; always; constantly; [zhǎng] chief; head; elder; to grow; to develop; to increase; to enhance; 
准,[zhǔn] to allow; to grant; in accordance with; in the light of; [zhǔn] horizontal (old); accurate; standard; definitely; certainly; about to become (bride, son-in-law etc); quasi-; para-; 
