手,[shǒu] hand; (formal) to hold; person engaged in certain types of work; person skilled in certain types of work; personal(ly); convenient; classifier for skill; CL:雙|双[shuang1],隻|只[zhi1]; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
鹏,[Péng] Peng, large fabulous bird; roc; 
鸟,[diǎo] variant of 屌[diao3]; penis; [niǎo] bird; CL:隻|只[zhi1],群[qun2]; (dialect) to pay attention to; (intensifier) damned; goddam; 
,
饿,[è] to be hungry; hungry; 
飞,[fēi] to fly; 
七,[qī] seven; 7; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
飘,[piāo] variant of 飄|飘[piao1]; [piāo] to float; 
须,[xū] must; to have to; to wait; [xū] beard; mustache; feeler (of an insect etc); tassel; 
下,[xià] down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action; 
面,[miàn] face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc; 
不,[bù] (negative prefix); not; no; 
靠,[kào] to lean against or on; to stand by the side of; to come near to; to depend on; to trust; to fuck (vulgar); traditional military costume drama where the performers wear armor (old); 
需,[xū] to require; to need; to want; necessity; need; 
隙,[xì] crack; crevice; gap or interval; loophole; discord; rift; 
附,[fù] to add; to attach; to be close to; to be attached; 
世,[Shì] surname Shi; [shì] life; age; generation; era; world; lifetime; epoch; descendant; noble; 
阳,[yáng] positive (electric.); sun; male principle (Taoism); Yang, opposite: 陰|阴[yin1] ☯; 
两,[liǎng] two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old); 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
久,[jiǔ] (long) time; (long) duration of time; 
问,[wèn] to ask; 
么,[má] exclamatory final particle; [ma] interrogative final particle; [me] suffix, used to form interrogative 甚麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc; [me] variant of 麼|么[me5]; 
之,[zhī] (possessive particle, literary equivalent of 的[de5]); him; her; it; 
也,[Yě] surname Ye; [yě] also; too; (in Classical Chinese) final particle implying affirmation; 
