有,[yǒu] to have; there is; there are; to exist; to be; 
不,[bù] (negative prefix); not; no; 
与,[yú] variant of 歟|欤[yu2]; [yǔ] and; to give; together with; [yù] to take part in; 
么,[má] exclamatory final particle; [ma] interrogative final particle; [me] suffix, used to form interrogative 甚麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc; [me] variant of 麼|么[me5]; 
习,[Xí] surname Xi; [xí] to practice; to study; habit; 
错,[Cuò] surname Cuo; [cuò] mistake; wrong; bad; interlocking; complex; to grind; to polish; to alternate; to stagger; to miss; to let slip; to evade; to inlay with gold or silver; 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
什,[shén] what; [shí] ten (used in fractions, writing checks etc); assorted; miscellaneous; 
道,[dào] direction; way; road; path; CL:條|条[tiao2],股[gu3]; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; province (of Korea or Japan); 
会,[huì] can; to be possible; to be able to; will; to be likely to; to be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is [hui3]); [kuài] to balance an account; accountancy; accounting; 
你,[nǐ] you (informal, as opposed to courteous 您[nin2]); 
全,[Quán] surname Quan; [quán] all; whole; entire; every; complete; 
再,[zài] again; once more; re-; second; another; then (after sth, and not until then); 
到,[dào] to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action); 
却,[què] old variant of 卻|却[que4]; [què] but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though; 
又,[yòu] (once) again; also; both... and...; and yet; (used for emphasis) anyway; 
变,[biàn] to change; to become different; to transform; to vary; rebellion; 
同,[tóng] like; same; similar; together; alike; with; 
迷,[mí] to bewilder; crazy about; fan; enthusiast; lost; confused; 
名,[míng] name; noun (part of speech); place (e.g. among winners); famous; classifier for people; 
地,[de] -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; [dì] earth; ground; field; place; land; CL:片[pian4]; 
城,[chéng] city walls; city; town; CL:座[zuo4],道[dao4],個|个[ge4]; 
远,[yuǎn] far; distant; remote; [yuàn] to distance oneself from (classical); 
安,[An1] surname An; [ān] content; calm; still; quiet; safe; secure; in good health; to find a place for; to install; to fix; to fit; to bring (a charge against sb); to pacify; security; safety; peace; ampere; 
过,[Guò] surname Guo; [guò] (experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; 
宫,[Gōng] surname Gong; [gōng] palace; temple; castration (as corporal punishment); first note in pentatonic scale; 
容,[Róng] surname Rong; [róng] to hold; to contain; to allow; to tolerate; appearance; look; countenance; 
寂,[jì] silent; solitary; Taiwan pr. [ji2]; 
路,[Lù] surname Lu; [lù] road; CL:條|条[tiao2]; journey; route; line (bus etc); sort; kind; 
寞,[mò] lonesome; 
尚,[Shàng] surname Shang; [shàng] still; yet; to value; to esteem; 
市,[shì] market; city; CL:個|个[ge4]; 
惯,[guàn] accustomed to; used to; indulge; to spoil (a child); 
感,[gǎn] to feel; to move; to touch; to affect; feeling; emotion; (suffix) sense of ~; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
走,[zǒu] to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走[che4 zou3]); to change (shape, form, meaning); 
景,[Jǐng] surname Jing; [jǐng] bright; circumstance; scenery; 
资,[zī] resources; capital; to provide; to supply; to support; money; expense; 
,
让,[ràng] to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc); 
样,[yàng] manner; pattern; way; appearance; shape; CL:個|个[ge4]; 
永,[yǒng] forever; always; perpetual; 
莫,[Mò] surname Mo; [mò] do not; there is none who; 
活,[huó] to live; alive; living; work; workmanship; 
物,[wù] thing; object; matter; abbr. for physics 物理; 
生,[shēng] to be born; to give birth; life; to grow; raw; uncooked; student; 
般,[bān] sort; kind; class; way; manner; [pán] see 般樂|般乐[pan2 le4]; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
目,[mù] eye; item; section; list; catalogue; table of contents; order (taxonomy); goal; name; title; 
而,[ér] and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast); 
相,[Xiāng] surname Xiang; [xiāng] each other; one another; mutually; [xiàng] appearance; portrait; picture; government minister; (physics) phase; 
美,[Měi] the Americas; abbr. for 美洲[Mei3 zhou1]; USA; abbr. for 美國|美国[Mei3 guo2]; [měi] beautiful; very satisfactory; good; to be pleased with oneself; 
看,[kān] to look after; to take care of; to watch; to guard; [kàn] to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger); 
知,[zhī] to know; to be aware; 
线,[xiàn] variant of 線|线[xian4]; [xiàn] thread; string; wire; line; CL:條|条[tiao2],股[gu3],根[gen1]; 
种,[zhǒng] seed; species; kind; type; classifier: type, kind, sort; [zhòng] to plant; to grow; to cultivate; 
资讯,[zī xùn] information; 
知道,[zhī dào] to know; to become aware of; also pr. [zhi1 dao5]; 
美容,[měi róng] to improve one's appearance (using cosmetics or cosmetic surgery); to make oneself more attractive; to beautify; 
习惯,[xí guàn] habit; custom; usual practice; to be used to; CL:個|个[ge4]; 
生活,[shēng huó] life; activity; to live; livelihood; 
永远,[yǒng yuǎn] forever; eternal; 
莫名,[mò míng] indescribable; ineffable; 
有种,[yǒu zhǒng] to have guts; to have courage; to be brave; 
不再,[bù zài] no more; no longer; 
景物,[jǐng wù] scenery; 
相同,[xiāng tóng] identical; same; 
时尚,[shí shàng] fashion; fad; fashionable; 
寂寞,[jì mò] lonely; lonesome; (of a place) quiet; silent; 
路线,[lù xiàn] itinerary; route; political line (e.g. right revisionist road); CL:條|条[tiao2]; 
什么,[shén me] what?; who?; something; anything; 
城市,[chéng shì] city; town; CL:座[zuo4]; 
同样,[tóng yàng] same; equal; equivalent; 
迷宫,[mí gōng] maze; labyrinth; 
错过,[cuò guò] to miss (train, opportunity etc); 
安全感,[ān quán gǎn] sense of security; 
目的地,[mù dì dì] destination (location); 
