开,[kāi] to open; to start; to turn on; to boil; to write out (a prescription, check, invoice etc); to operate (vehicle); abbr. for 開爾文|开尔文 degrees Kelvin; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
高,[Gāo] surname Gao; [gāo] high; tall; above average; loud; your (honorific); 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
不,[bù] (negative prefix); not; no; 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
丽,[Lí] Korea; [lì] beautiful; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
五,[wǔ] five; 5; 
香,[xiāng] fragrant; sweet smelling; aromatic; savory or appetizing; (to eat) with relish; (of sleep) sound; perfume or spice; joss or incense stick; CL:根[gen1]; 
今,[jīn] today; modern; present; current; this; now; 
颜,[Yán] surname Yan; [yán] color; face; countenance; [yán] Japanese variant of 顏|颜[yan2]; 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
会,[huì] can; to be possible; to be able to; will; to be likely to; to be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is [hui3]); [kuài] to balance an account; accountancy; accounting; 
儿,[ér] son; [r] non-syllabic diminutive suffix; retroflex final; 
六,[liù] six; 6; 
兴,[Xīng] surname Xing; [xīng] to rise; to flourish; to become popular; to start; to encourage; to get up; (often used in the negative) to permit or allow (dialect); maybe (dialect); [xìng] feeling or desire to do sth; interest in sth; excitement; 
冲,[chōng] (of water) to dash against; to mix with water; to infuse; to rinse; to flush; to develop (a film); to rise in the air; to clash; to collide with; [chōng] thoroughfare; to go straight ahead; to rush; to clash; [chòng] powerful; vigorous; pungent; towards; in view of; 
险,[xiǎn] danger; dangerous; rugged; 
几,[jī] small table; [jī] almost; [jǐ] how much; how many; several; a few; 
出,[chū] to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc; 
危,[Wēi] surname Wei; [wēi] danger; to endanger; Taiwan pr. [wei2]; 
边,[biān] side; edge; margin; border; boundary; CL:個|个[ge4]; simultaneously; [bian] suffix of a noun of locality; 
口,[kǒu] mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc); classifier for bites or mouthfuls; 
只,[zhǐ] only; merely; just; but; 
后,[Hòu] surname Hou; [hòu] empress; queen; [hòu] back; behind; rear; afterwards; after; later; 
吸,[xī] to breathe; to suck in; to absorb; to inhale; 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
喷,[pēn] to puff; to spout; to spray; to spurt; [pèn] (of a smell) strong; peak season (of a crop); (classifier for the ordinal number of a crop, in the context of multiple harvests); 
起,[qǐ] to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group; 
回,[huí] to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book); 
苗,[Miáo] Hmong or Miao ethnic group of southwest China; surname Miao; [miáo] sprout; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
地,[de] -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; [dì] earth; ground; field; place; land; CL:片[pian4]; 
天,[tiān] day; sky; heaven; 
太,[tài] highest; greatest; too (much); very; extremely; 
妈,[mā] ma; mom; mother; 
花,[Huā] surname Hua; [huā] flower; blossom; CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4]; fancy pattern; florid; to spend (money, time); 
始,[shǐ] to begin; to start; then; only then; 
完,[wán] to finish; to be over; whole; complete; entire; 
