暗,[àn] dark; gloomy; hidden; secret; muddled; obscure; in the dark; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
不,[bù] (negative prefix); not; no; 
黑,[Hēi] abbr. for Heilongjiang province 黑龍江|黑龙江[Hei1 long2 jiang1]; [hēi] black; dark; sinister; secret; shady; illegal; (loanword) to hack (computing); 
丽,[Lí] Korea; [lì] beautiful; 
之,[zhī] (possessive particle, literary equivalent of 的[de5]); him; her; it; 
也,[Yě] surname Ye; [yě] also; too; (in Classical Chinese) final particle implying affirmation; 
会,[huì] can; to be possible; to be able to; will; to be likely to; to be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is [hui3]); [kuài] to balance an account; accountancy; accounting; 
你,[nǐ] you (informal, as opposed to courteous 您[nin2]); 
使,[shǐ] to make; to cause; to enable; to use; to employ; to send; to instruct sb to do sth; envoy; messenger; 
出,[chū] to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc; 
加,[Jiā] abbr. for Canada 加拿大[Jia1 na2 da4]; [jiā] to add; plus; (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned); to apply (restrictions etc) to (sb); to give (support, consideration etc) to (sth); 
匙,[chí] spoon; 
受,[shòu] to receive; to accept; to suffer; subjected to; to bear; to stand; pleasant; (passive marker); 
变,[biàn] to change; to become different; to transform; to vary; rebellion; 
风,[fēng] wind; news; style; custom; manner; CL:陣|阵[zhen4],絲|丝[si1]; 
后,[Hòu] surname Hou; [hòu] empress; queen; [hòu] back; behind; rear; afterwards; after; later; 
命,[mìng] life; fate; order or command; to assign a name, title etc; 
困,[kùn] to trap; to surround; hard-pressed; stranded; destitute; 
顺,[shùn] to obey; to follow; to arrange; to make reasonable; along; favorable; 
坚,[jiān] strong; solid; firm; unyielding; resolute; 
雨,[yǔ] rain; CL:陣|阵[zhen4],場|场[chang2]; [yù] to rain; (of rain, snow etc) to fall; to precipitate; to wet; 
埋,[mái] to bury; [mán] to blame; 
