头,[tóu] head; hair style; the top; end; beginning or end; a stub; remnant; chief; boss; side; aspect; first; leading; classifier for pigs or livestock; CL:個|个[ge4]; [tou] suff. for nouns; 
不,[bù] (negative prefix); not; no; 
衣,[yī] clothes; CL:件[jian4]; [yì] to dress; to wear; to put on (clothes); 
从,[Cóng] surname Cong; [cōng] lax; yielding; unhurried; [cóng] from; via; passing through; through (a gap); past; ever (followed by negative, meaning never); (formerly pr. [zong4] and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; [zòng] second cousin; 
红,[Hóng] surname Hong; [hóng] red; popular; revolutionary; bonus; 
吊,[diào] to suspend; to hang up; to hang a person; 
欢,[huān] variant of 歡|欢[huan1]; [huān] joyous; happy; pleased; [huān] hubbub; clamor; variant of 歡|欢[huan1]; [huān] a breed of horse; variant of 歡|欢[huan1]; 
唱,[chàng] to sing; to call loudly; to chant; 
来,[lái] to come; to arrive; to come round; ever since; next; 
喜,[xǐ] to be fond of; to like; to enjoy; to be happy; to feel pleased; happiness; delight; glad; 
披,[pī] to drape over one's shoulders; to open; to unroll; to split open; to spread out; 
嗓,[sǎng] throat; voice; 
五,[wǔ] five; 5; 
子,[zǐ] son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; [zi] (noun suffix); 
帽,[mào] hat; cap; 
戴,[Dài] surname Dai; [dài] to put on or wear (glasses, hat, gloves etc); to respect; to bear; to support; 
彩,[cǎi] (bright) color; variety; applause; applaud; lottery prize; 
戏,[xì] variant of 戲|戏[xi4]; [xì] trick; drama; play; show; CL:出[chu1],場|场[chang3],臺|台[tai2]; 
身,[shēn] body; life; oneself; personally; one's morality and conduct; the main part of a structure or body; pregnant; classifier for sets of clothes: suit, twinset; Kangxi radical 158; 
帽子,[mào zi] hat; cap; (fig.) label; bad name; CL:頂|顶[ding3]; 
喜欢,[xǐ huan] to like; to be fond of; 
唱戏,[chàng xì] to perform in opera; 
五彩,[wǔ cǎi] five (main) colors (white, black, red, yellow, and blue); multicolored; 
吊嗓子,[diào sǎng zi] voice training (for Chinese opera); 
从来不,[cóng lái bù] never; 
