煮,[zhǔ] to cook; to boil; 
不,[bù] (negative prefix); not; no; 
青,[Qīng] abbr. for 青海[Qing1 hai3], Qinghai Province; [qīng] nature's color; green or blue; greenish black; youth; young (of people); 
云,[yún] (classical) to say; [Yún] surname Yun; abbr. for Yunnan Province 雲南省|云南省[Yun2 nan2 Sheng3]; [yún] cloud; CL:朵[duo3]; 
卖,[mài] to sell; to betray; to spare no effort; to show off or flaunt; 
叶,[xié] to be in harmony; [Yè] surname Ye; [yè] leaf; page; lobe; (historical) period; 
吃,[chī] to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer; to stammer (Taiwan pr. for this sense is [ji2]); 
是,[shì] is; are; am; yes; to be; 
晒,[shài] variant of 曬|晒[shai4]; [shài] (of the sun) to shine on; to bask in (the sunshine); to dry (clothes, grain etc) in the sun; (fig.) to expose and share (one's experiences and thoughts) on the Web (loanword from "share"); (coll.) to give the cold shoulder to; 
有,[yǒu] to have; there is; there are; to exist; to be; 
雾,[wù] fog; mist; CL:場|场[chang2],陣|阵[zhen4]; 
来,[lái] to come; to arrive; to come round; ever since; next; 
枝,[zhī] branch; classifier for sticks, rods, pencils etc; 
烤,[kǎo] to roast; to bake; to broil; 
烧,[shāo] to burn; to cook; to stew; to bake; to roast; to boil (tea, water etc); fever; 
锅,[guō] pot; pan; boiler; CL:口[kou3],隻|只[zhi1]; 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
熟,[shú] cooked (of food); ripe (of fruit); mature (of seeds); familiar; skilled; done; also pr. [shou2]; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
着,[zhāo] (chess) move; trick; all right!; (dialect) to add; [zháo] to touch; to come in contact with; to feel; to be affected by; to catch fire; to fall asleep; to burn; [zhe] aspect particle indicating action in progress; [zhuó] to wear (clothes); to contact; to use; to apply; 
绿,[lù:] green; 
菜,[cài] dish (type of food); vegetable; cuisine; CL:盤|盘[pan2],道[dao4]; (coll.) (one's) type; 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
腾,[téng] to soar; to gallop; to prance; to turn over; to vacate; to clear; 
驾,[Jià] surname Jia; [jià] to harness; to draw (a cart etc); to drive; to pilot; to sail; to ride; your good self; prefixed word denoting respect (polite 敬辞); 
绿叶,[lù: yè] actor playing a supporting role; 
煮熟,[zhǔ shóu] boil; 
不是,[bú shi] fault; blame; [bù shì] no; is not; not; 
有的,[yǒu de] (there are) some (who are...); some (exist); 
不能,[bù néng] cannot; must not; should not; 
