横,[héng] horizontal; across; (horizontal character stroke); [hèng] harsh and unreasonable; unexpected; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
鲜,[xiǎn] variant of 鮮|鲜[xian3]; [xiǎn] variant of 尟|鲜[xian3]; [xiān] fresh; bright (in color); delicious; tasty; delicacy; aquatic foods; [xiǎn] few; rare; [xiān] fish; old variant of 鮮|鲜[xian1]; [xiǎn] old variant of 鮮|鲜[xian3]; 
中,[Zhōng] China; Chinese; surname Zhong; [zhōng] within; among; in; middle; center; while (doing sth); during; (dialect) OK; all right; [zhòng] to hit (the mark); to be hit by; to suffer; to win (a prize, a lottery); 
事,[shì] matter; thing; item; work; affair; CL:件[jian4],樁|桩[zhuang1]; 
高,[Gāo] surname Gao; [gāo] high; tall; above average; loud; your (honorific); 
亲,[qīn] parent; one's own (flesh and blood); relative; related; marriage; bride; close; intimate; in person; first-hand; in favor of; pro-; to kiss; [qìng] parents-in-law of one's offspring; 
从,[Cóng] surname Cong; [cōng] lax; yielding; unhurried; [cóng] from; via; passing through; through (a gap); past; ever (followed by negative, meaning never); (formerly pr. [zong4] and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; [zòng] second cousin; 
他,[tā] he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another; 
仿,[fǎng] to imitate; to copy; 
飞,[fēi] to fly; 
何,[Hé] surname He; [hé] what; how; why; which; carry; 
风,[fēng] wind; news; style; custom; manner; CL:陣|阵[zhen4],絲|丝[si1]; 
佛,[Fó] Buddha; Buddhism; 
作,[zuò] to do; to grow; to write or compose; to pretend; to regard as; to feel; writings or works; 
候,[hòu] to wait; to inquire after; to watch; season; climate; (old) period of five days; 
儿,[ér] son; [r] non-syllabic diminutive suffix; retroflex final; 
动,[dòng] to use; to act; to move; to change; abbr. for 動詞|动词[dong4 ci2], verb; 
静,[jìng] still; calm; quiet; not moving; 
受,[shòu] to receive; to accept; to suffer; subjected to; to bear; to stand; pleasant; (passive marker); 
,
那,[Nā] surname Na; [Nuó] surname Nuo; [nǎ] variant of 哪[na3]; [nà] that; those; then (in that case); commonly pr. [nei4] before a classifier, esp. in Beijing; [nuó] (archaic) many; beautiful; how; old variant of 挪[nuo2]; 
各,[gè] each; every; 
逆,[nì] contrary; opposite; backwards; to go against; to oppose; to betray; to rebel; 
后,[Hòu] surname Hou; [hòu] empress; queen; [hòu] back; behind; rear; afterwards; after; later; 
远,[yuǎn] far; distant; remote; [yuàn] to distance oneself from (classical); 
边,[biān] side; edge; margin; border; boundary; CL:個|个[ge4]; simultaneously; [bian] suffix of a noun of locality; 
