一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
高,[Gāo] surname Gao; [gāo] high; tall; above average; loud; your (honorific); 
风,[fēng] wind; news; style; custom; manner; CL:陣|阵[zhen4],絲|丝[si1]; 
题,[Tí] surname Ti; [tí] topic; problem for discussion; exam question; subject; to inscribe; to mention; CL:個|个[ge4],道[dao4]; 
面,[miàn] face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc; 
非,[Fēi] abbr. for 非洲[Fei1 zhou1], Africa; [fēi] to not be; not; wrong; incorrect; non-; un-; in-; to reproach or blame; (colloquial) to insist on; simply must; 
雨,[yǔ] rain; CL:陣|阵[zhen4],場|场[chang2]; [yù] to rain; (of rain, snow etc) to fall; to precipitate; to wet; 
三,[Sān] surname San; [sān] three; 3; 
院,[yuàn] courtyard; institution; CL:個|个[ge4]; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
附,[fù] to add; to attach; to be close to; to be attached; 
下,[xià] down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action; 
不,[bù] (negative prefix); not; no; 
阴,[Yīn] surname Yin; [yīn] overcast (weather); cloudy; shady; Yin (the negative principle of Yin and Yang); negative (electric.); feminine; moon; implicit; hidden; genitalia; [yīn] variant of 陰|阴[yin1]; 
闻,[Wén] surname Wen; [wén] to hear; news; well-known; famous; reputation; fame; to smell; to sniff at; 
问,[wèn] to ask; 
且,[qiě] and; moreover; yet; for the time being; to be about to; both (... and...); 
业,[Yè] surname Ye; [yè] line of business; industry; occupation; job; employment; school studies; enterprise; property; (Buddhism) karma; deed; to engage in; already; 
东,[Dōng] surname Dong; [dōng] east; host (i.e. sitting on east side of guest); landlord; 
锻,[duàn] to forge; to discipline; wrought; 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
两,[liǎng] two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old); 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
那,[Nā] surname Na; [Nuó] surname Nuo; [nǎ] variant of 哪[na3]; [nà] that; those; then (in that case); commonly pr. [nei4] before a classifier, esp. in Beijing; [nuó] (archaic) many; beautiful; how; old variant of 挪[nuo2]; 
中,[Zhōng] China; Chinese; surname Zhong; [zhōng] within; among; in; middle; center; while (doing sth); during; (dialect) OK; all right; [zhòng] to hit (the mark); to be hit by; to suffer; to win (a prize, a lottery); 
道,[dào] direction; way; road; path; CL:條|条[tiao2],股[gu3]; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; province (of Korea or Japan); 
远,[yuǎn] far; distant; remote; [yuàn] to distance oneself from (classical); 
进,[jìn] to advance; to enter; to come (or go) into; to receive or admit; to eat or drink; to submit or present; (used after a verb) into, in; to score a goal; 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
么,[má] exclamatory final particle; [ma] interrogative final particle; [me] suffix, used to form interrogative 甚麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc; [me] variant of 麼|么[me5]; 
九,[jiǔ] nine; 9; 
还,[Huán] surname Huan; [hái] still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else; [huán] to pay back; to return; 
也,[Yě] surname Ye; [yě] also; too; (in Classical Chinese) final particle implying affirmation; 
书,[Shū] abbr. for 書經|书经[Shu1 jing1]; [shū] book; letter; document; CL:本[ben3],冊|册[ce4],部[bu4]; to write; 
近,[jìn] near; close to; approximately; 
