一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
题,[Tí] surname Ti; [tí] topic; problem for discussion; exam question; subject; to inscribe; to mention; CL:個|个[ge4],道[dao4]; 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
亏,[kuī] deficiency; deficit; luckily; 
难,[nán] difficult (to...); problem; difficulty; difficult; not good; [nàn] disaster; distress; to scold; 
亲,[qīn] parent; one's own (flesh and blood); relative; related; marriage; bride; close; intimate; in person; first-hand; in favor of; pro-; to kiss; [qìng] parents-in-law of one's offspring; 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
会,[huì] can; to be possible; to be able to; will; to be likely to; to be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is [hui3]); [kuài] to balance an account; accountancy; accounting; 
儿,[ér] son; [r] non-syllabic diminutive suffix; retroflex final; 
兆,[Zhào] surname Zhao; [zhào] omen; to foretell; million; mega-; trillion; tera-; billion (old); 
入,[rù] to enter; to go into; to join; to become a member of; to confirm or agree with; abbr. for 入聲|入声[ru4 sheng1]; 
关,[Guān] surname Guan; [guān] mountain pass; to close; to shut; to turn off; to concern; to involve; 
切,[qiē] to cut; to slice; tangent (math); [qiè] definitely; absolutely (not); (scoffing or dismissive interjection) Yeah, right.; Tut!; to grind; close to; eager; to correspond to; see also 反切[fan3 qie4]; 
别,[Bié] surname Bie; [bié] to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin; to stick (sth) in; [biè] to make sb change their ways, opinions etc; 
降,[jiàng] to drop; to fall; to come down; to descend; [xiáng] to surrender; to capitulate; to subdue; to tame; 
力,[Lì] surname Li; [lì] power; force; strength; ability; strenuously; 
功,[gōng] meritorious deed or service; achievement; result; service; accomplishment; work (physics); 
加,[Jiā] abbr. for Canada 加拿大[Jia1 na2 da4]; [jiā] to add; plus; (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned); to apply (restrictions etc) to (sb); to give (support, consideration etc) to (sth); 
问,[wèn] to ask; 
努,[nǔ] to exert; to strive; 
门,[Mén] surname Men; [mén] gate; door; CL:扇[shan4]; gateway; doorway; CL:個|个[ge4]; opening; valve; switch; way to do something; knack; family; house; (religious) sect; school (of thought); class; category; phylum or division (taxonomy); classifier for large guns; classifier for lessons, subjects, branches of technology; (suffix) -gate (i.e. scandal; derived from Watergate); 
化,[huā] variant of 花[hua1]; [huà] to make into; to change into; -ization; to ... -ize; to transform; abbr. for 化學|化学[hua4 xue2]; 
重,[chóng] to repeat; repetition; again; re-; classifier: layer; [zhòng] heavy; serious; to attach importance to; 
去,[qù] to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed; 
吉,[Jí] surname Ji; abbr. for Jilin Province 吉林省[Ji2 lin2 Sheng3]; [jí] lucky; giga- (meaning billion or 10^9); 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
都,[Dū] surname Du; [dōu] all; both; entirely; (used for emphasis) even; already; (not) at all; [dū] capital city; metropolis; 
商,[Shāng] the Shang dynasty, 16th to 11th century BC; [shāng] commerce; merchant; dealer; to consult; quotient; 2nd note in pentatonic scale; 
进,[jìn] to advance; to enter; to come (or go) into; to receive or admit; to eat or drink; to submit or present; (used after a verb) into, in; to score a goal; 
困,[kùn] to trap; to surround; hard-pressed; stranded; destitute; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
坐,[Zuò] surname Zuo; [zuò] to sit; to take a seat; to take (a bus, airplane etc); to bear fruit; variant of 座[zuo4]; 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
夫,[fū] husband; man; manual worker; conscripted laborer (old); [fú] (classical) this, that; he, she, they; (exclamatory final particle); (initial particle, introduces an opinion); 
过,[Guò] surname Guo; [guò] (experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; 
妇,[fù] woman; [fù] old variant of 婦|妇[fu4]; 
妻,[qī] wife; [qì] to marry off (a daughter); 
跨,[kuà] to step across; to stride over; to straddle; to span; 
