就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
不,[bù] (negative prefix); not; no; 
首,[shǒu] head; chief; first (occasion, thing etc); classifier for poems, songs etc; 
需,[xū] to require; to need; to want; necessity; need; 
与,[yú] variant of 歟|欤[yu2]; [yǔ] and; to give; together with; [yù] to take part in; 
中,[Zhōng] China; Chinese; surname Zhong; [zhōng] within; among; in; middle; center; while (doing sth); during; (dialect) OK; all right; [zhòng] to hit (the mark); to be hit by; to suffer; to win (a prize, a lottery); 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
难,[nán] difficult (to...); problem; difficulty; difficult; not good; [nàn] disaster; distress; to scold; 
之,[zhī] (possessive particle, literary equivalent of 的[de5]); him; her; it; 
陌,[mò] raised path; street; 
间,[jiān] between; among; within a definite time or space; room; section of a room or lateral space between two pairs of pillars; classifier for rooms; [jiàn] gap; to separate; to thin out (seedlings); to sow discontent; 
量,[liáng] to measure; [liàng] capacity; quantity; amount; to estimate; abbr. for 量詞|量词[liang4 ci2], classifier (in Chinese grammar); measure word; 
乐,[Lè] surname Le; [Yuè] surname Yue; [lè] happy; cheerful; to laugh; [yuè] music; 
也,[Yě] surname Ye; [yě] also; too; (in Classical Chinese) final particle implying affirmation; 
争,[zhēng] to strive for; to vie for; to argue or debate; deficient or lacking (dialect); how or what (literary); 
重,[chóng] to repeat; repetition; again; re-; classifier: layer; [zhòng] heavy; serious; to attach importance to; 
事,[shì] matter; thing; item; work; affair; CL:件[jian4],樁|桩[zhuang1]; 
于,[Yú] surname Yu; [yú] to go; to take; sentence-final interrogative particle; variant of 於|于[yu2]; [Yú] surname Yu; [yú] in; at; to; from; by; than; out of; 
些,[xiē] some; few; several; measure word indicating a small amount or small number (greater than 1); 
交,[jiāo] to hand over; to deliver; to pay (money); to turn over; to make friends; to intersect (lines); 
都,[Dū] surname Du; [dōu] all; both; entirely; (used for emphasis) even; already; (not) at all; [dū] capital city; metropolis; 
亲,[qīn] parent; one's own (flesh and blood); relative; related; marriage; bride; close; intimate; in person; first-hand; in favor of; pro-; to kiss; [qìng] parents-in-law of one's offspring; 
那,[Nā] surname Na; [Nuó] surname Nuo; [nǎ] variant of 哪[na3]; [nà] that; those; then (in that case); commonly pr. [nei4] before a classifier, esp. in Beijing; [nuó] (archaic) many; beautiful; how; old variant of 挪[nuo2]; 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
起,[qǐ] to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group; 
他,[tā] he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another; 
以,[Yǐ] abbr. for Israel 以色列[Yi3 se4 lie4]; [yǐ] to use; according to; so as to; by means of; in order to; by; with; because; 
貌,[mào] appearance; 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
会,[huì] can; to be possible; to be able to; will; to be likely to; to be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is [hui3]); [kuài] to balance an account; accountancy; accounting; 
但,[dàn] but; yet; however; only; merely; still; 
该,[gāi] should; ought to; probably; must be; to deserve; to owe; to be sb's turn to do sth; that; the above-mentioned; 
住,[zhù] to live; to dwell; to stay; to reside; to stop; (suffix indicating firmness, steadiness, or coming to a halt); 
你,[nǐ] you (informal, as opposed to courteous 您[nin2]); 
使,[shǐ] to make; to cause; to enable; to use; to employ; to send; to instruct sb to do sth; envoy; messenger; 
信,[xìn] letter; mail; CL:封[feng1]; to trust; to believe; to profess faith in; truthful; confidence; trust; at will; at random; 
先,[xiān] early; prior; former; in advance; first; 
共,[gòng] common; general; to share; together; total; altogether; abbr. for 共產黨|共产党[Gong4 chan3 dang3], Communist party; 
诚,[chéng] honest; sincere; true; 
关,[Guān] surname Guan; [guān] mountain pass; to close; to shut; to turn off; to concern; to involve; 
论,[Lún] abbr. for 論語|论语[Lun2 yu3], The Analects (of Confucius); [lùn] opinion; view; theory; doctrine; to discuss; to talk about; to regard; to consider; per; by the (kilometer, hour etc); 
记,[jì] to record; to note; to remember; mark; sign; classifier for blows, kicks, shots; 
其,[qí] his; her; its; their; that; such; it (refers to sth preceding it); 
讨,[tǎo] to invite; to provoke; to demand or ask for; to send armed forces to suppress; to denounce or condemn; to marry (a woman); to discuss or study; 
决,[jué] to decide; to determine; to execute (sb); (of a dam etc) to breach or burst; definitely; certainly; 
见,[jiàn] to see; to meet; to appear (to be sth); to interview; [xiàn] to appear; also written 現|现[xian4]; 
分,[fēn] to divide; to separate; to distribute; to allocate; to distinguish (good and bad); part or subdivision; fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute; a point (in sports or games); 0.01 yuan (unit of money); [fèn] part; share; ingredient; component; 
要,[yāo] to demand; to request; to coerce; [yào] important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if; 
切,[qiē] to cut; to slice; tangent (math); [qiè] definitely; absolutely (not); (scoffing or dismissive interjection) Yeah, right.; Tut!; to grind; close to; eager; to correspond to; see also 反切[fan3 qie4]; 
利,[Lì] surname Li; [lì] sharp; favorable; advantage; benefit; profit; interest; to do good to; to benefit; 
自,[zì] from; self; oneself; since; 
别,[Bié] surname Bie; [bié] to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin; to stick (sth) in; [biè] to make sb change their ways, opinions etc; 
背,[bēi] to be burdened; to carry on the back or shoulder; [bèi] the back of a body or object; to turn one's back; to hide something from; to learn by heart; to recite from memory; unlucky (slang); hard of hearing; 
到,[dào] to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action); 
助,[zhù] to help; to assist; 
危,[Wēi] surname Wei; [wēi] danger; to endanger; Taiwan pr. [wei2]; 
肯,[kěn] to agree; to consent; to be ready (to do sth); willing; 
而,[ér] and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast); 
友,[yǒu] friend; 
置,[zhì] to install; to place; to put; to buy; 
取,[qǔ] to take; to get; to choose; to fetch; 
只,[zhǐ] only; merely; just; but; 
给,[gěi] to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle); [jǐ] to supply; to provide; 
可,[kě] can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very; [kè] see 可汗[ke4 han2]; 
笑,[xiào] laugh; smile; CL:個|个[ge4]; 
后,[Hòu] surname Hou; [hòu] empress; queen; [hòu] back; behind; rear; afterwards; after; later; 
吵,[chǎo] to quarrel; to make a noise; noisy; to disturb by making a noise; 
呢,[ne] particle indicating that a previously asked question is to be applied to the preceding word ("What about ...?", "And ...?"); particle for inquiring about location ("Where is ...?"); particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board ("ok?", "are you with me?"); (at the end of a declarative sentence) particle indicating continuation of a state or action; particle indicating strong affirmation; [ní] woolen material; 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
商,[Shāng] the Shang dynasty, 16th to 11th century BC; [shāng] commerce; merchant; dealer; to consult; quotient; 2nd note in pentatonic scale; 
离,[lí] mythical beast (archaic); [Lí] surname Li; [lí] to leave; to part from; to be away from; (in giving distances) from; without (sth); independent of; one of the Eight Trigrams 八卦[ba1 gua4], symbolizing fire; ☲; 
善,[shàn] good (virtuous); benevolent; well-disposed; good at sth; to improve or perfect; 
困,[kùn] to trap; to surround; hard-pressed; stranded; destitute; 
真,[zhēn] really; truly; indeed; real; true; genuine; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
多,[duō] many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"; 
头,[tóu] head; hair style; the top; end; beginning or end; a stub; remnant; chief; boss; side; aspect; first; leading; classifier for pigs or livestock; CL:個|个[ge4]; [tou] suff. for nouns; 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
相,[Xiāng] surname Xiang; [xiāng] each other; one another; mutually; [xiàng] appearance; portrait; picture; government minister; (physics) phase; 
益,[Yì] surname Yi; [yì] benefit; profit; advantage; beneficial; to increase; to add; all the more; 
定,[dìng] to set; to fix; to determine; to decide; to order; 
对,[duì] right; correct; couple; pair; towards; at; for; to face; opposite; to treat (sb a certain way); to match together; to adjust; to fit; to suit; to answer; to reply; classifier: couple; 
