松,[Sōng] surname Song; [sōng] pine; CL:棵[ke1]; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
鼓,[gǔ] drum; CL:通[tong4],面[mian4]; to drum; to strike; to rouse; to bulge; to swell; 
香,[xiāng] fragrant; sweet smelling; aromatic; savory or appetizing; (to eat) with relish; (of sleep) sound; perfume or spice; joss or incense stick; CL:根[gen1]; 
饿,[è] to be hungry; hungry; 
饱,[bǎo] to eat till full; satisfied; 
食,[shí] to eat; food; animal feed; eclipse; [sì] to feed; 
面,[miàn] face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
长,[cháng] length; long; forever; always; constantly; [zhǎng] chief; head; elder; to grow; to develop; to increase; to enhance; 
下,[xià] down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action; 
不,[bù] (negative prefix); not; no; 
错,[Cuò] surname Cuo; [cuò] mistake; wrong; bad; interlocking; complex; to grind; to polish; to alternate; to stagger; to miss; to let slip; to evade; to inlay with gold or silver; 
铺,[pù] variant of 鋪|铺[pu4]; store; [pū] to spread; to display; to set up; (old) holder for door-knocker; [pù] plank bed; place to sleep; shop; store; (old) relay station; 
东,[Dōng] surname Dong; [dōng] east; host (i.e. sitting on east side of guest); landlord; 
铅,[qiān] old variant of 鉛|铅[qian1]; [qiān] lead (chemistry); 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
丰,[fēng] luxuriant; buxom; variant of 豐|丰[feng1]; variant of 風|风[feng1]; appearance; charm; [Fēng] surname Feng; [fēng] abundant; plentiful; fertile; plump; great; 
么,[má] exclamatory final particle; [ma] interrogative final particle; [me] suffix, used to form interrogative 甚麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc; [me] variant of 麼|么[me5]; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
于,[Yú] surname Yu; [yú] to go; to take; sentence-final interrogative particle; variant of 於|于[yu2]; [Yú] surname Yu; [yú] in; at; to; from; by; than; out of; 
什,[shén] what; [shí] ten (used in fractions, writing checks etc); assorted; miscellaneous; 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
仁,[rén] humane; kernel; 
都,[Dū] surname Du; [dōu] all; both; entirely; (used for emphasis) even; already; (not) at all; [dū] capital city; metropolis; 
仓,[cāng] barn; granary; storehouse; cabin; hold (in ship); 
道,[dào] direction; way; road; path; CL:條|条[tiao2],股[gu3]; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; province (of Korea or Japan); 
以,[Yǐ] abbr. for Israel 以色列[Yi3 se4 lie4]; [yǐ] to use; according to; so as to; by means of; in order to; by; with; because; 
伸,[shēn] to stretch; to extend; 
通,[tōng] to go through; to know well; (suffix) expert; to connect; to communicate; open; to clear; classifier for letters, telegrams, phone calls etc; [tòng] classifier for an activity, taken in its entirety (tirade of abuse, stint of music playing, bout of drinking etc); 
住,[zhù] to live; to dwell; to stay; to reside; to stop; (suffix indicating firmness, steadiness, or coming to a halt); 
你,[nǐ] you (informal, as opposed to courteous 您[nin2]); 
像,[xiàng] to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.); 
光,[guāng] light; ray; CL:道[dao4]; bright; only; merely; to use up; 
全,[Quán] surname Quan; [quán] all; whole; entire; every; complete; 
再,[zài] again; once more; re-; second; another; then (after sth, and not until then); 
几,[jī] small table; [jī] almost; [jǐ] how much; how many; several; a few; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
刚,[gāng] hard; firm; strong; just; barely; exactly; 
到,[dào] to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action); 
还,[Huán] surname Huan; [hái] still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else; [huán] to pay back; to return; 
前,[qián] front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly; 
包,[Bāo] surname Bao; [bāo] to cover; to wrap; to hold; to include; to take charge of; to contract (to or for); package; wrapper; container; bag; to hold or embrace; bundle; packet; CL:個|个[ge4],隻|只[zhi1]; 
厚,[hòu] thick; deep or profound; kind; generous; rich or strong in flavor; to favor; to stress; 
又,[yòu] (once) again; also; both... and...; and yet; (used for emphasis) anyway; 
口,[kǒu] mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc); classifier for bites or mouthfuls; 
只,[zhǐ] only; merely; just; but; 
叫,[jiào] to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood); 
可,[kě] can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very; [kè] see 可汗[ke4 han2]; 
过,[Guò] surname Guo; [guò] (experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; 
软,[ruǎn] soft; flexible; [ruǎn] variant of 軟|软[ruan3]; 
吃,[chī] to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer; to stammer (Taiwan pr. for this sense is [ji2]); 
身,[shēn] body; life; oneself; personally; one's morality and conduct; the main part of a structure or body; pregnant; classifier for sets of clothes: suit, twinset; Kangxi radical 158; 
跳,[tiào] to jump; to hop; to skip over; to bounce; to palpitate; 
吞,[tūn] to swallow; to take; 
呀,[ya] (particle equivalent to 啊 after a vowel, expressing surprise or doubt); 
味,[wèi] taste; smell; classifier for drugs (in TCM); 
命,[mìng] life; fate; order or command; to assign a name, title etc; 
