一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
高,[Gāo] surname Gao; [gāo] high; tall; above average; loud; your (honorific); 
验,[yàn] variant of 驗|验[yan4]; [yàn] to examine; to test; to check; 
不,[bù] (negative prefix); not; no; 
面,[miàn] face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc; 
震,[zhèn] to shake; to vibrate; to jolt; to quake; excited; shocked; one of the Eight Trigrams 八卦[ba1 gua4], symbolizing thunder; ☳; 
世,[Shì] surname Shi; [shì] life; age; generation; era; world; lifetime; epoch; descendant; noble; 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
丽,[Lí] Korea; [lì] beautiful; 
之,[zhī] (possessive particle, literary equivalent of 的[de5]); him; her; it; 
乎,[hū] (classical particle similar to 於|于[yu2]) in; at; from; because; than; (classical final particle similar to 嗎|吗[ma5], 吧[ba5], 呢[ne5], expressing question, doubt or astonishment); 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
二,[èr] two; 2; (Beijing dialect) stupid; 
于,[Yú] surname Yu; [yú] to go; to take; sentence-final interrogative particle; variant of 於|于[yu2]; [Yú] surname Yu; [yú] in; at; to; from; by; than; out of; 
些,[xiē] some; few; several; measure word indicating a small amount or small number (greater than 1); 
产,[chǎn] to give birth; to reproduce; to produce; product; resource; estate; property; 
都,[Dū] surname Du; [dōu] all; both; entirely; (used for emphasis) even; already; (not) at all; [dū] capital city; metropolis; 
亮,[liàng] bright; clear; resonant; to shine; to show; to reveal; 
远,[yuǎn] far; distant; remote; [yuàn] to distance oneself from (classical); 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
从,[Cóng] surname Cong; [cōng] lax; yielding; unhurried; [cóng] from; via; passing through; through (a gap); past; ever (followed by negative, meaning never); (formerly pr. [zong4] and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; [zòng] second cousin; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
他,[tā] he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another; 
以,[Yǐ] abbr. for Israel 以色列[Yi3 se4 lie4]; [yǐ] to use; according to; so as to; by means of; in order to; by; with; because; 
过,[Guò] surname Guo; [guò] (experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; 
路,[Lù] surname Lu; [lù] road; CL:條|条[tiao2]; journey; route; line (bus etc); sort; kind; 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
价,[jià] price; value; valence (on an atom); [jie] great; good; middleman; servant; 
起,[qǐ] to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group; 
传,[chuán] to pass on; to spread; to transmit; to infect; to transfer; to circulate; to conduct (electricity); [zhuàn] biography; historical narrative; commentaries; relay station; 
象,[xiàng] elephant; CL:隻|只[zhi1]; shape; form; appearance; to imitate; 
但,[dàn] but; yet; however; only; merely; still; 
谓,[Wèi] surname Wei; [wèi] to speak; to say; to name; to designate; meaning; sense; 
位,[wèi] position; location; place; seat; classifier for people (honorific); classifier for binary bits (e.g. 十六位 16-bit or 2 bytes); 
低,[dī] low; beneath; to lower (one's head); to let droop; to hang down; to incline; 
觉,[jiào] a nap; a sleep; CL:場|场[chang2]; [jué] to feel; to find that; thinking; awake; aware; 
作,[zuò] to do; to grow; to write or compose; to pretend; to regard as; to feel; writings or works; 
览,[lǎn] to look at; to view; to read; 
便,[biàn] ordinary; plain; convenient; as convenient; when the chance arises; handy; easy; informal; simple; so; thus; to relieve oneself; to urinate; to defecate; equivalent to 就[jiu4]: then; in that case; even if; soon afterwards; [pián] advantageous; cheap; 
视,[shì] variant of 視|视[shi4]; variant of 示[shi4]; [shì] old variant of 視|视[shi4]; [shì] to look at; to regard; to inspect; 
像,[xiàng] to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.); 
