料,[liào] material; stuff; grain; feed; to expect; to anticipate; to guess; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
下,[xià] down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action; 
不,[bù] (negative prefix); not; no; 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
中,[Zhōng] China; Chinese; surname Zhong; [zhōng] within; among; in; middle; center; while (doing sth); during; (dialect) OK; all right; [zhòng] to hit (the mark); to be hit by; to suffer; to win (a prize, a lottery); 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
之,[zhī] (possessive particle, literary equivalent of 的[de5]); him; her; it; 
也,[Yě] surname Ye; [yě] also; too; (in Classical Chinese) final particle implying affirmation; 
买,[mǎi] to buy; to purchase; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
些,[xiē] some; few; several; measure word indicating a small amount or small number (greater than 1); 
他,[tā] he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another; 
代,[dài] to substitute; to act on behalf of others; to replace; generation; dynasty; age; period; (historical) era; (geological) eon; 
以,[Yǐ] abbr. for Israel 以色列[Yi3 se4 lie4]; [yǐ] to use; according to; so as to; by means of; in order to; by; with; because; 
份,[fèn] classifier for gifts, newspaper, magazine, papers, reports, contracts etc; variant of 分[fen4]; 
作,[zuò] to do; to grow; to write or compose; to pretend; to regard as; to feel; writings or works; 
使,[shǐ] to make; to cause; to enable; to use; to employ; to send; to instruct sb to do sth; envoy; messenger; 
倒,[dǎo] to fall; to collapse; to topple; to fail; to go bankrupt; to change (trains or buses); to move around; to sell; to speculate (buying and selling, also 搗|捣); profiteer; [dào] to place upside down; to invert; to pour; to throw out; to move backwards; however; actually; as a matter of fact; contrary to expectation; 
候,[hòu] to wait; to inquire after; to watch; season; climate; (old) period of five days; 
做,[zuò] to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance; 
克,[kè] to be able to; to subdue; to restrain; to overcome; gram; Tibetan unit of land area, about 6 ares; 
入,[rù] to enter; to go into; to join; to become a member of; to confirm or agree with; abbr. for 入聲|入声[ru4 sheng1]; 
关,[Guān] surname Guan; [guān] mountain pass; to close; to shut; to turn off; to concern; to involve; 
其,[qí] his; her; its; their; that; such; it (refers to sth preceding it); 
内,[nèi] inside; inner; internal; within; interior; 
再,[zài] again; once more; re-; second; another; then (after sth, and not until then); 
冷,[Lěng] surname Leng; [lěng] cold; 
准,[zhǔn] to allow; to grant; in accordance with; in the light of; [zhǔn] horizontal (old); accurate; standard; definitely; certainly; about to become (bride, son-in-law etc); quasi-; para-; 
凉,[Liáng] the five Liang of the Sixteen Kingdoms, namely: Former Liang 前涼|前凉 (314-376), Later Liang 後涼|后凉 (386-403), Northern Liang 北涼|北凉 (398-439), Southern Liang 南涼|南凉 (397-414), Western Liang 西涼|西凉 (400-421); [liáng] cool; cold; 
几,[jī] small table; [jī] almost; [jǐ] how much; how many; several; a few; 
出,[chū] to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc; 
分,[fēn] to divide; to separate; to distribute; to allocate; to distinguish (good and bad); part or subdivision; fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute; a point (in sports or games); 0.01 yuan (unit of money); [fèn] part; share; ingredient; component; 
则,[zé] conjunction used to express contrast with a previous sentence or clause; standard; norm; rule; to imitate; to follow; then; principle; classifier for written items (such as an official statement); 
到,[dào] to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action); 
制,[zhì] system; to control; to regulate; variant of 製|制[zhi4]; [zhì] to manufacture; to make; 
刷,[shuā] to brush; to paint; to daub; to paste up; to skip class (of students); to fire from a job; [shuà] to select; 
加,[Jiā] abbr. for Canada 加拿大[Jia1 na2 da4]; [jiā] to add; plus; (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned); to apply (restrictions etc) to (sb); to give (support, consideration etc) to (sth); 
勺,[sháo] spoon; ladle; CL:把[ba3]; abbr. for 公勺[gong1 shao2], centiliter (unit of volume); 
匀,[yún] even; well-distributed; uniform; to distribute evenly; to share; 
匙,[chí] spoon; 
升,[shēng] to ascend; to rise to the rank of; to promote; to hoist; liter; measure for dry grain equal to one-tenth dou 斗[dou3]; 
却,[què] old variant of 卻|却[que4]; [què] but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though; 
去,[qù] to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed; 
叉,[chā] fork; pitchfork; prong; pick; cross; intersect; "X"; [chá] to cross; be stuck; [chǎ] to diverge; to open (as legs); 
反,[fǎn] contrary; in reverse; inside out or upside down; to reverse; to return; to oppose; opposite; against; anti-; to rebel; to use analogy; instead; abbr. for 反切[fan3 qie4] phonetic system; 
发,[fā] to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds); [fà] hair; Taiwan pr. [fa3]; 
取,[qǔ] to take; to get; to choose; to fetch; 
另,[lìng] other; another; separate; separately; 
可,[kě] can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very; [kè] see 可汗[ke4 han2]; 
合,[gě] 100 ml; one-tenth of a peck; measure for dry grain equal to one-tenth of sheng 升 or liter, or one-hundredth dou 斗; [hé] to close; to join; to fit; to be equal to; whole; together; round (in battle); conjunction (astronomy); 1st note of pentatonic scale; old variant of 盒[he2]; 
同,[tóng] like; same; similar; together; alike; with; 
后,[Hòu] surname Hou; [hòu] empress; queen; [hòu] back; behind; rear; afterwards; after; later; 
否,[fǒu] to negate; to deny; not; [pǐ] clogged; evil; 
味,[wèi] taste; smell; classifier for drugs (in TCM); 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
黄,[Huáng] surname Huang or Hwang; [huáng] yellow; pornographic; to fall through; 
均,[jūn] equal; even; all; uniform; 
塑,[sù] to model (a figure) in clay; 
壁,[bì] wall; rampart; 
备,[bèi] variant of 備|备[bei4]; [bèi] to prepare; get ready; to provide or equip; 
外,[wài] outside; in addition; foreign; external; 
多,[duō] many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"; 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
奶,[nǎi] breast; milk; to breastfeed; 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
如,[rú] as; as if; such as; 
子,[zǐ] son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; [zi] (noun suffix); 
完,[wán] to finish; to be over; whole; complete; entire; 
宝,[bǎo] variant of 寶|宝[bao3]; [bǎo] jewel; gem; treasure; precious; 
室,[Shì] surname Shi; [shì] room; work unit; grave; scabbard; family or clan; one of the 28 constellations of Chinese astronomy; 
将,[jiāng] will; shall; to use; to take; to checkmate; just a short while ago; [jiàng] general; commander-in-chief (military); king (chess piece); to command; to lead; [qiāng] to desire; to invite; to request; 
小,[xiǎo] small; tiny; few; young; 
