打,[dá] dozen (loanword); [dǎ] to beat; to strike; to hit; to break; to type; to mix up; to build; to fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to play (a game); since; from; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
不,[bù] (negative prefix); not; no; 
面,[miàn] face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc; 
与,[yú] variant of 歟|欤[yu2]; [yǔ] and; to give; together with; [yù] to take part in; 
业,[Yè] surname Ye; [yè] line of business; industry; occupation; job; employment; school studies; enterprise; property; (Buddhism) karma; deed; to engage in; already; 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
需,[xū] to require; to need; to want; necessity; need; 
临,[lín] to face; to overlook; to arrive; to be (just) about to; just before; 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
随,[Suí] surname Sui; [suí] to follow; to comply with; varying according to...; to allow; 
他,[tā] he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another; 
限,[xiàn] limit; bound; to set a limit (on); 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
会,[huì] can; to be possible; to be able to; will; to be likely to; to be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is [hui3]); [kuài] to balance an account; accountancy; accounting; 
位,[wèi] position; location; place; seat; classifier for people (honorific); classifier for binary bits (e.g. 十六位 16-bit or 2 bytes); 
体,[tǐ] body; form; style; system; 
作,[zuò] to do; to grow; to write or compose; to pretend; to regard as; to feel; writings or works; 
使,[shǐ] to make; to cause; to enable; to use; to employ; to send; to instruct sb to do sth; envoy; messenger; 
例,[lì] example; precedent; rule; case; instance; 
促,[cù] urgent; hurried; to urge; to promote; to urge haste; close; intimate; 
问,[wèn] to ask; 
全,[Quán] surname Quan; [quán] all; whole; entire; every; complete; 
其,[qí] his; her; its; their; that; such; it (refers to sth preceding it); 
内,[nèi] inside; inner; internal; within; interior; 
量,[liáng] to measure; [liàng] capacity; quantity; amount; to estimate; abbr. for 量詞|量词[liang4 ci2], classifier (in Chinese grammar); measure word; 
冲,[chōng] (of water) to dash against; to mix with water; to infuse; to rinse; to flush; to develop (a film); to rise in the air; to clash; to collide with; [chōng] thoroughfare; to go straight ahead; to rush; to clash; [chòng] powerful; vigorous; pungent; towards; in view of; 
重,[chóng] to repeat; repetition; again; re-; classifier: layer; [zhòng] heavy; serious; to attach importance to; 
决,[jué] to decide; to determine; to execute (sb); (of a dam etc) to breach or burst; definitely; certainly; 
遭,[zāo] to meet by chance (usually with misfortune); classifier for events: time, turn, incident; 
击,[jī] to hit; to strike; to break; Taiwan pr. [ji2]; 
别,[Bié] surname Bie; [bié] to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin; to stick (sth) in; [biè] to make sb change their ways, opinions etc; 
到,[dào] to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action); 
制,[zhì] system; to control; to regulate; variant of 製|制[zhi4]; [zhì] to manufacture; to make; 
前,[qián] front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly; 
力,[Lì] surname Li; [lì] power; force; strength; ability; strenuously; 
进,[jìn] to advance; to enter; to come (or go) into; to receive or admit; to eat or drink; to submit or present; (used after a verb) into, in; to score a goal; 
务,[wù] affair; business; matter; 
努,[nǔ] to exert; to strive; 
警,[jǐng] to alert; to warn; police; 
区,[Oū] surname Ou; [qū] area; region; district; small; distinguish; CL:個|个[ge4]; 
升,[shēng] to ascend; to rise to the rank of; to promote; to hoist; liter; measure for dry grain equal to one-tenth dou 斗[dou3]; 
占,[zhàn] variant of 占[zhan4]; [zhān] to observe; to divine; [zhàn] to take possession of; to occupy; to take up; 
参,[cān] to take part in; to participate; to join; to attend; to counsel; unequal; varied; irregular; uneven; not uniform; abbr. for 參議院|参议院 Senate, Upper House; [shēn] ginseng; one of the 28 constellations; [cān] old variant of 參|参[can1]; [shēn] variant of 參|参[shen1]; [shēn] variant of 參|参[shen1]; 
角,[Jué] surname Jue; [jiǎo] angle; corner; horn; horn-shaped; unit of money equal to 0.1 yuan; CL:個|个[ge4]; [jué] role (theater); to compete; ancient three legged wine vessel; third note of pentatonic scale; 
双,[Shuāng] surname Shuang; [shuāng] two; double; pair; both; 
