押,[yā] to mortgage; to pawn; to detain in custody; to escort and protect; (literary) to sign; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
两,[liǎng] two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old); 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
于,[Yú] surname Yu; [yú] to go; to take; sentence-final interrogative particle; variant of 於|于[yu2]; [Yú] surname Yu; [yú] in; at; to; from; by; than; out of; 
交,[jiāo] to hand over; to deliver; to pay (money); to turn over; to make friends; to intersect (lines); 
享,[xiǎng] to enjoy; to benefit; to have the use of; 
京,[Jīng] abbr. for Beijing; surname Jing; Jing ethnic minority; [jīng] capital city of a country; big; algebraic term for a large number (old); artificial mound (old); 
什,[shén] what; [shí] ten (used in fractions, writing checks etc); assorted; miscellaneous; 
齐,[Qí] (name of states and dynasties at several different periods); surname Qi; [qí] neat; even; level with; identical; simultaneous; all together; to even sth out; 
付,[Fù] surname Fu; [fù] to pay; to hand over to; 
代,[dài] to substitute; to act on behalf of others; to replace; generation; dynasty; age; period; (historical) era; (geological) eon; 
价,[jià] price; value; valence (on an atom); [jie] great; good; middleman; servant; 
位,[wèi] position; location; place; seat; classifier for people (honorific); classifier for binary bits (e.g. 十六位 16-bit or 2 bytes); 
低,[dī] low; beneath; to lower (one's head); to let droop; to hang down; to incline; 
住,[zhù] to live; to dwell; to stay; to reside; to stop; (suffix indicating firmness, steadiness, or coming to a halt); 
侧,[cè] the side; to incline towards; to lean; inclined; lateral; side; [zhāi] lean on one side; 
保,[Bǎo] Bulgaria; Bulgarian; abbr. for 保加利亞|保加利亚[Bao3 jia1 li4 ya4]; [bǎo] to defend; to protect; to keep; to guarantee; to ensure; 
修,[Xiū] surname Xiu; [xiū] to decorate; to embellish; to repair; to build; to write; to cultivate; to study; to take (a class); 
元,[Yuán] surname Yuan; the Yuan or Mongol dynasty (1279-1368); [yuán] unit of money (in PRC: Chinese yuan, in USA: dollar, etc); primary; first; 
入,[rù] to enter; to go into; to join; to become a member of; to confirm or agree with; abbr. for 入聲|入声[ru4 sheng1]; 
全,[Quán] surname Quan; [quán] all; whole; entire; every; complete; 
公,[gōng] public; collectively owned; common; international (e.g. high seas, metric system, calendar); make public; fair; just; Duke, highest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; honorable (gentlemen); father-in-law; male (animal); 
具,[jù] tool; device; utensil; equipment; instrument; talent; ability; to possess; to have; to provide; to furnish; to state; classifier for devices, coffins, dead bodies; 
冰,[bīng] ice; CL:塊|块[kuai4]; methamphetamine (slang); 
况,[kuàng] moreover; situation; 
出,[chū] to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc; 
刹,[chà] Buddhist monastery, temple or shrine (abbr. for 剎多羅, Sanskrit ksetra); [shā] to brake; 
前,[qián] front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly; 
包,[Bāo] surname Bao; [bāo] to cover; to wrap; to hold; to include; to take charge of; to contract (to or for); package; wrapper; container; bag; to hold or embrace; bundle; packet; CL:個|个[ge4],隻|只[zhi1]; 
化,[huā] variant of 花[hua1]; [huà] to make into; to change into; -ization; to ... -ize; to transform; abbr. for 化學|化学[hua4 xue2]; 
北,[běi] north; to be defeated (classical); 
区,[Oū] surname Ou; [qū] area; region; district; small; distinguish; CL:個|个[ge4]; 
华,[Huá] abbr. for China; [Huà] Mt Hua 華山|华山 in Shaanxi; surname Hua; [huā] old variant of 花[hua1]; flower; [huá] magnificent; splendid; flowery; 
单,[Shàn] surname Shan; [dān] bill; list; form; single; only; sole; odd number; CL:個|个[ge4]; 
卖,[mài] to sell; to betray; to spare no effort; to show off or flaunt; 
南,[Nán] surname Nan; [nán] south; 
卫,[Wèi] surname Wei; vassal state during the Zhou Dynasty (1066-221 BC), located in present day Henan and Hebei Provinces; [wèi] to guard; to protect; to defend; abbr. for 衛生|卫生, hygiene; health; abbr. for 衛生間|卫生间, toilet; 
厅,[tīng] (reception) hall; living room; office; provincial government department; 
厨,[chú] old variant of 廚|厨[chu2]; [chú] kitchen; 
受,[shòu] to receive; to accept; to suffer; subjected to; to bear; to stand; pleasant; (passive marker); 
可,[kě] can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very; [kè] see 可汗[ke4 han2]; 
合,[gě] 100 ml; one-tenth of a peck; measure for dry grain equal to one-tenth of sheng 升 or liter, or one-hundredth dou 斗; [hé] to close; to join; to fit; to be equal to; whole; together; round (in battle); conjunction (astronomy); 1st note of pentatonic scale; old variant of 盒[he2]; 
向,[Xiàng] surname Xiang; [xiàng] towards; to face; to turn towards; direction; to support; to side with; shortly before; formerly; always; all along; 
周,[Zhōu] surname Zhou; Zhou Dynasty (1046-256 BC); [zhōu] to make a circuit; to circle; circle; circumference; lap; cycle; complete; all; all over; thorough; to help financially; 
味,[wèi] taste; smell; classifier for drugs (in TCM); 
品,[pǐn] article; commodity; product; goods; kind; grade; rank; character; disposition; nature; temperament; variety; to taste sth; to sample; to criticize; to comment; to judge; to size up; 
器,[qì] device; tool; utensil; CL:臺|台[tai2]; 
四,[sì] four; 4; 
园,[Yuán] surname Yuan; [yuán] land used for growing plants; site used for public recreation; 
图,[tú] diagram; picture; drawing; chart; map; CL:張|张[zhang1]; to plan; to scheme; to attempt; to pursue; to seek; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
地,[de] -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; [dì] earth; ground; field; place; land; CL:片[pian4]; 
场,[cháng] threshing floor; classifier for events and happenings: spell, episode, bout; [chǎng] large place used for a specific purpose; stage; scene (of a play); classifier for sporting or recreational activities; classifier for number of exams; [cháng] variant of 場|场[chang2]; [chǎng] variant of 場|场[chang3]; 
址,[zhǐ] location; site; 
型,[xíng] model; type (e.g. blood type); 
城,[chéng] city walls; city; town; CL:座[zuo4],道[dao4],個|个[ge4]; 
域,[yù] field; region; area; domain (taxonomy); 
境,[jìng] border; place; condition; boundary; circumstances; territory; 
多,[duō] many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"; 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
高,[Gāo] surname Gao; [gāo] high; tall; above average; loud; your (honorific); 
天,[tiān] day; sky; heaven; 
套,[tào] cover; sheath; to encase; a case; to overlap; to interleave; bend (of a river or mountain range, in place names); harness; classifier for sets, collections; tau (Greek letter Ττ); 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
宅,[zhái] residence; (coll.) to stay in at home; to hang around at home; 
安,[An1] surname An; [ān] content; calm; still; quiet; safe; secure; in good health; to find a place for; to install; to fix; to fit; to bring (a charge against sb); to pacify; security; safety; peace; ampere; 
实,[shí] real; true; honest; really; solid; fruit; seed; definitely; 
室,[Shì] surname Shi; [shì] room; work unit; grave; scabbard; family or clan; one of the 28 constellations of Chinese astronomy; 
家,[Jiā] surname Jia; [jiā] home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]; 
宽,[Kuān] surname Kuan; [kuān] lenient; wide; broad; 
小,[xiǎo] small; tiny; few; young; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
层,[céng] layer; stratum; laminated; floor (of a building); storey; classifier for layers; repeated; sheaf (math.); 
居,[Jū] surname Ju; [jī] (archaic) sentence-final particle expressing a doubting attitude; [jū] to reside; to be (in a certain position); to store up; to be at a standstill; residence; house; restaurant; classifier for bedrooms; 
屋,[wū] house; room; CL:間|间[jian1],個|个[ge4]; 
屏,[bīng] see 屏營|屏营[bing1 ying2]; [bǐng] to get rid of; to put aside; to reject; to keep control; to hold (one's breath); [píng] (standing) screen; 
