掩,[yǎn] to cover up; to close; to surprise; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
黝,[yǒu] black; dark green; 
下,[xià] down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action; 
黑,[Hēi] abbr. for Heilongjiang province 黑龍江|黑龙江[Hei1 long2 jiang1]; [hēi] black; dark; sinister; secret; shady; illegal; (loanword) to hack (computing); 
不,[bù] (negative prefix); not; no; 
高,[Gāo] surname Gao; [gāo] high; tall; above average; loud; your (honorific); 
风,[fēng] wind; news; style; custom; manner; CL:陣|阵[zhen4],絲|丝[si1]; 
丘,[Qiū] surname Qiu; [qiū] mound; hillock; grave; classifier for fields; 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
中,[Zhōng] China; Chinese; surname Zhong; [zhōng] within; among; in; middle; center; while (doing sth); during; (dialect) OK; all right; [zhòng] to hit (the mark); to be hit by; to suffer; to win (a prize, a lottery); 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
乌,[Wū] abbr. for Ukraine 烏克蘭|乌克兰[Wu1 ke4 lan2]; surname Wu; [wū] crow; black; 
顶,[dǐng] apex; crown of the head; top; roof; most; to carry on the head; to push to the top; to go against; to replace; to substitute; to be subjected to (an aerial bombing, hailstorm etc); (slang) to "bump" a forum thread to raise its profile; classifier for headwear, hats, veils etc; 
也,[Yě] surname Ye; [yě] also; too; (in Classical Chinese) final particle implying affirmation; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
于,[Yú] surname Yu; [yú] to go; to take; sentence-final interrogative particle; variant of 於|于[yu2]; [Yú] surname Yu; [yú] in; at; to; from; by; than; out of; 
云,[yún] (classical) to say; [Yún] surname Yun; abbr. for Yunnan Province 雲南省|云南省[Yun2 nan2 Sheng3]; [yún] cloud; CL:朵[duo3]; 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
从,[Cóng] surname Cong; [cōng] lax; yielding; unhurried; [cóng] from; via; passing through; through (a gap); past; ever (followed by negative, meaning never); (formerly pr. [zong4] and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; [zòng] second cousin; 
以,[Yǐ] abbr. for Israel 以色列[Yi3 se4 lie4]; [yǐ] to use; according to; so as to; by means of; in order to; by; with; because; 
会,[huì] can; to be possible; to be able to; will; to be likely to; to be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is [hui3]); [kuài] to balance an account; accountancy; accounting; 
低,[dī] low; beneath; to lower (one's head); to let droop; to hang down; to incline; 
面,[miàn] face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc; 
候,[hòu] to wait; to inquire after; to watch; season; climate; (old) period of five days; 
像,[xiàng] to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.); 
光,[guāng] light; ray; CL:道[dao4]; bright; only; merely; to use up; 
需,[xū] to require; to need; to want; necessity; need; 
全,[Quán] surname Quan; [quán] all; whole; entire; every; complete; 
共,[gòng] common; general; to share; together; total; altogether; abbr. for 共產黨|共产党[Gong4 chan3 dang3], Communist party; 
雹,[báo] hail; 
农,[Nóng] surname Nong; [nóng] peasant; to farm; agriculture; diligent (old); government field official (old); [nóng] variant of 農|农[nong2]; 
雷,[Léi] surname Lei; [léi] thunder; mine (weapon); (Internet slang) terrifying; terrific; 
冰,[bīng] ice; CL:塊|块[kuai4]; methamphetamine (slang); 
零,[líng] zero; nought; zero sign; fractional; fragmentary; odd (of numbers); (placed between two numbers to indicate a smaller quantity followed by a larger one); fraction; (in mathematics) remainder (after division); extra; to wither and fall; to wither; 
几,[jī] small table; [jī] almost; [jǐ] how much; how many; several; a few; 
雨,[yǔ] rain; CL:陣|阵[zhen4],場|场[chang2]; [yù] to rain; (of rain, snow etc) to fall; to precipitate; to wet; 
发,[fā] to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds); [fà] hair; Taiwan pr. [fa3]; 
际,[jì] border; edge; boundary; interval; between; inter-; to meet; time; occasion; to meet with (circumstances); 
只,[zhǐ] only; merely; just; but; 
附,[fù] to add; to attach; to be close to; to be attached; 
同,[tóng] like; same; similar; together; alike; with; 
向,[Xiàng] surname Xiang; [xiàng] towards; to face; to turn towards; direction; to support; to side with; shortly before; formerly; always; all along; 
铁,[Tiě] surname Tie; [tiě] iron (metal); arms; weapons; hard; strong; violent; unshakeable; determined; close; tight (slang); 
吸,[xī] to breathe; to suck in; to absorb; to inhale; 
钉,[dīng] nail; to follow closely; to keep at sb (to do sth); variant of 盯[ding1]; [dìng] to join things together by fixing them in place at one or more points; to nail; to pin; to staple; to sew on; 
周,[Zhōu] surname Zhou; Zhou Dynasty (1046-256 BC); [zhōu] to make a circuit; to circle; circle; circumference; lap; cycle; complete; all; all over; thorough; to help financially; 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
四,[sì] four; 4; 
围,[Wéi] surname Wei; [wéi] to encircle; to surround; all around; to wear by wrapping around (scarf, shawl); 
圈,[juān] to confine; to lock up; to pen in; [juàn] pen (pig); a fold; [quān] circle; ring; loop; classifier for loops, orbits, laps of race etc; CL:個|个[ge4]; to surround; to circle; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
地,[de] -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; [dì] earth; ground; field; place; land; CL:片[pian4]; 
都,[Dū] surname Du; [dōu] all; both; entirely; (used for emphasis) even; already; (not) at all; [dū] capital city; metropolis; 
坏,[huài] bad; spoiled; broken; to break down; (suffix) to the utmost; 
块,[kuài] lump (of earth); chunk; piece; classifier for pieces of cloth, cake, soap etc; colloquial word for yuan (or other unit of currency such as Hong Kong or US dollar etc), usually as 塊錢|块钱; 
埋,[mái] to bury; [mán] to blame; 
堪,[kān] to endure; may; can; 
塔,[tǎ] pagoda; tower; minaret; stupa (abbr. loanword from Sanskrit tapo); CL:座[zuo4]; 
墙,[qiáng] variant of 牆|墙[qiang2], wall; [qiáng] wall; CL:面[mian4],堵[du3]; 
处,[chǔ] to reside; to live; to dwell; to be in; to be situated at; to stay; to get along with; to be in a position of; to deal with; to discipline; to punish; [chù] place; location; spot; point; office; department; bureau; respect; classifier for locations or items of damage: spot, point; 
夏,[Xià] the Xia or Hsia dynasty c. 2000 BC; Xia of the Sixteen Kingdoms (407-432); surname Xia; [xià] summer; 
那,[Nā] surname Na; [Nuó] surname Nuo; [nǎ] variant of 哪[na3]; [nà] that; those; then (in that case); commonly pr. [nei4] before a classifier, esp. in Beijing; [nuó] (archaic) many; beautiful; how; old variant of 挪[nuo2]; 
外,[wài] outside; in addition; foreign; external; 
远,[yuǎn] far; distant; remote; [yuàn] to distance oneself from (classical); 
多,[duō] many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"; 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
天,[tiān] day; sky; heaven; 
还,[Huán] surname Huan; [hái] still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else; [huán] to pay back; to return; 
