志,[zhì] aspiration; ambition; the will; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
驾,[Jià] surname Jia; [jià] to harness; to draw (a cart etc); to drive; to pilot; to sail; to ride; your good self; prefixed word denoting respect (polite 敬辞); 
与,[yú] variant of 歟|欤[yu2]; [yǔ] and; to give; together with; [yù] to take part in; 
专,[zhuān] for a particular person, occasion, purpose; focused on one thing; special; expert; particular (to sth); concentrated; specialized; [zhuān] variant of 專|专[zhuan1]; 
驶,[shǐ] to gallop; speedily; to proceed to; to pilot (ship, plane etc); to sail; 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
马,[Mǎ] surname Ma; abbr. for Malaysia 馬來西亞|马来西亚[Ma3 lai2 xi1 ya4]; [mǎ] horse; CL:匹[pi3]; horse or cavalry piece in Chinese chess; knight in Western chess; 
举,[jǔ] variant of 舉|举[ju3]; [jǔ] to lift; to hold up; to cite; to enumerate; to act; to raise; to choose; to elect; act; move; deed; 
首,[shǒu] head; chief; first (occasion, thing etc); classifier for poems, songs etc; 
乘,[Chéng] surname Cheng; [chéng] to ride; to mount; to make use of; to avail oneself of; to take advantage of; to multiply (mathematics); Buddhist sect or creed; [shèng] four horse military chariot (archaic); four (archaic); generic term for history books; 
风,[fēng] wind; news; style; custom; manner; CL:陣|阵[zhen4],絲|丝[si1]; 
项,[Xiàng] surname Xiang; [xiàng] back of neck; item; thing; term (in a mathematical formula); sum (of money); classifier for principles, items, clauses, tasks, research projects etc; 
也,[Yě] surname Ye; [yě] also; too; (in Classical Chinese) final particle implying affirmation; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
亚,[yà] Asia; Asian; second; next to; inferior; sub-; Taiwan pr. [ya3]; 
些,[xiē] some; few; several; measure word indicating a small amount or small number (greater than 1); 
交,[jiāo] to hand over; to deliver; to pay (money); to turn over; to make friends; to intersect (lines); 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
他,[tā] he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another; 
以,[Yǐ] abbr. for Israel 以色列[Yi3 se4 lie4]; [yǐ] to use; according to; so as to; by means of; in order to; by; with; because; 
顶,[dǐng] apex; crown of the head; top; roof; most; to carry on the head; to push to the top; to go against; to replace; to substitute; to be subjected to (an aerial bombing, hailstorm etc); (slang) to "bump" a forum thread to raise its profile; classifier for headwear, hats, veils etc; 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
伊,[Yī] surname Yi; abbr. for 伊拉克[Yi1 la1 ke4], Iraq; abbr. for 伊朗[Yi1 lang3], Iran; [yī] he; she; 
隆,[Lóng] surname Long; short for 吉隆坡[Ji2 long2 po1], Kuala Lumpur; [lōng] sound of drums; [lóng] grand; intense; prosperous; to swell; to bulge; 
