一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
龄,[líng] age; length of experience, membership etc; 
马,[Mǎ] surname Ma; abbr. for Malaysia 馬來西亞|马来西亚[Ma3 lai2 xi1 ya4]; [mǎ] horse; CL:匹[pi3]; horse or cavalry piece in Chinese chess; knight in Western chess; 
颗,[kē] classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc; 
专,[zhuān] for a particular person, occasion, purpose; focused on one thing; special; expert; particular (to sth); concentrated; specialized; [zhuān] variant of 專|专[zhuan1]; 
预,[yù] to advance; in advance; beforehand; to prepare; 
世,[Shì] surname Shi; [shì] life; age; generation; era; world; lifetime; epoch; descendant; noble; 
部,[bù] ministry; department; section; part; division; troops; board; classifier for works of literature, films, machines etc; 
亚,[yà] Asia; Asian; second; next to; inferior; sub-; Taiwan pr. [ya3]; 
交,[jiāo] to hand over; to deliver; to pay (money); to turn over; to make friends; to intersect (lines); 
亮,[liàng] bright; clear; resonant; to shine; to show; to reveal; 
运,[yùn] to move; to transport; to use; to apply; fortune; luck; fate; 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
迎,[yíng] to welcome; to meet; to face; to forge ahead (esp. in the face of difficulties); 
他,[tā] he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another; 
辆,[liàng] classifier for vehicles; 
会,[huì] can; to be possible; to be able to; will; to be likely to; to be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is [hui3]); [kuài] to balance an account; accountancy; accounting; 
伦,[lún] human relationship; order; coherence; 
车,[Chē] surname Che; [chē] car; vehicle; CL:輛|辆[liang4]; machine; to shape with a lathe; [jū] war chariot (archaic); rook (in Chinese chess); rook (in chess); 
住,[zhù] to live; to dwell; to stay; to reside; to stop; (suffix indicating firmness, steadiness, or coming to a halt); 
保,[Bǎo] Bulgaria; Bulgarian; abbr. for 保加利亞|保加利亚[Bao3 jia1 li4 ya4]; [bǎo] to defend; to protect; to keep; to guarantee; to ensure; 
信,[xìn] letter; mail; CL:封[feng1]; to trust; to believe; to profess faith in; truthful; confidence; trust; at will; at random; 
出,[chū] to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc; 
调,[diào] to transfer; to move (troops or cadres); to investigate; to enquire into; accent; view; argument; key (in music); mode (music); tune; tone; melody; [tiáo] to harmonize; to reconcile; to blend; to suit well; to season (food); to provoke; to incite; 
千,[qiān] thousand; 
发,[fā] to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds); [fà] hair; Taiwan pr. [fa3]; 
要,[yāo] to demand; to request; to coerce; [yào] important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if; 
受,[shòu] to receive; to accept; to suffer; subjected to; to bear; to stand; pleasant; (passive marker); 
西,[Xī] the West; abbr. for Spain 西班牙[Xi1 ban1 ya2]; Spanish; [xī] west; 
变,[biàn] to change; to become different; to transform; to vary; rebellion; 
街,[jiē] street; CL:條|条[tiao2]; 
国,[Guó] surname Guo; [guó] country; nation; state; national; CL:個|个[ge4]; 
外,[wài] outside; in addition; foreign; external; 
英,[Yīng] United Kingdom; British; England; English; abbr. for 英國|英国[Ying1 guo2]; [yīng] brave; 
够,[gòu] to reach; to be enough; 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
头,[tóu] head; hair style; the top; end; beginning or end; a stub; remnant; chief; boss; side; aspect; first; leading; classifier for pigs or livestock; CL:個|个[ge4]; [tou] suff. for nouns; 
奥,[Aò] Austria; Austrian; abbr. for 奧地利|奥地利[Ao4 di4 li4]; Olympic; Olympics; abbr. for 奧林匹克|奥林匹克[Ao4 lin2 pi3 ke4]; [ào] obscure; mysterious; 
者,[zhě] (after a verb or adjective) one who (is) ...; (after a noun) person involved in ...; -er; -ist; (used after a number or 後|后[hou4] or 前[qian2] to refer to sth mentioned previously); (used after a term, to mark a pause before defining the term); (old) (used at the end of a command); (old) this; 
女,[nǔ:] female; woman; daughter; [rǔ] archaic variant of 汝[ru3]; 
老,[lǎo] prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough; 
美,[Měi] the Americas; abbr. for 美洲[Mei3 zhou1]; USA; abbr. for 美國|美国[Mei3 guo2]; [měi] beautiful; very satisfactory; good; to be pleased with oneself; 
