才,[cái] ability; talent; sb of a certain type; a capable individual; only; only then; just now; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
题,[Tí] surname Ti; [tí] topic; problem for discussion; exam question; subject; to inscribe; to mention; CL:個|个[ge4],道[dao4]; 
颅,[lú] forehead; skull; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
不,[bù] (negative prefix); not; no; 
露,[Lù] surname Lu; [lòu] to show; to reveal; to betray; to expose; [lù] dew; syrup; nectar; outdoors (not under cover); to show; to reveal; to betray; to expose; 
两,[liǎng] two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old); 
雄,[xióng] male; staminate; grand; imposing; powerful; mighty; person or state having great power and influence; 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
中,[Zhōng] China; Chinese; surname Zhong; [zhōng] within; among; in; middle; center; while (doing sth); during; (dialect) OK; all right; [zhòng] to hit (the mark); to be hit by; to suffer; to win (a prize, a lottery); 
阅,[yuè] to inspect; to review; to read; to peruse; to go through; to experience; 
长,[cháng] length; long; forever; always; constantly; [zhǎng] chief; head; elder; to grow; to develop; to increase; to enhance; 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
主,[zhǔ] owner; master; host; individual or party concerned; God; Lord; main; to indicate or signify; trump card (in card games); 
义,[yì] justice; righteousness; meaning; 
之,[zhī] (possessive particle, literary equivalent of 的[de5]); him; her; it; 
习,[Xí] surname Xi; [xí] to practice; to study; habit; 
书,[Shū] abbr. for 書經|书经[Shu1 jing1]; [shū] book; letter; document; CL:本[ben3],冊|册[ce4],部[bu4]; to write; 
钱,[Qián] surname Qian; [qián] coin; money; CL:筆|笔[bi3]; unit of weight, one tenth of a tael 兩|两[liang3]; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
争,[zhēng] to strive for; to vie for; to argue or debate; deficient or lacking (dialect); how or what (literary); 
野,[yě] field; plain; open space; limit; boundary; rude; feral; 
五,[wǔ] five; 5; 
那,[Nā] surname Na; [Nuó] surname Nuo; [nǎ] variant of 哪[na3]; [nà] that; those; then (in that case); commonly pr. [nei4] before a classifier, esp. in Beijing; [nuó] (archaic) many; beautiful; how; old variant of 挪[nuo2]; 
些,[xiē] some; few; several; measure word indicating a small amount or small number (greater than 1); 
亲,[qīn] parent; one's own (flesh and blood); relative; related; marriage; bride; close; intimate; in person; first-hand; in favor of; pro-; to kiss; [qìng] parents-in-law of one's offspring; 
遍,[biàn] everywhere; all over; classifier for actions: one time; 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
今,[jīn] today; modern; present; current; this; now; 
遇,[Yù] surname Yu; [yù] to meet; to encounter; to treat; to receive; opportunity; chance; 
他,[tā] he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another; 
远,[yuǎn] far; distant; remote; [yuàn] to distance oneself from (classical); 
以,[Yǐ] abbr. for Israel 以色列[Yi3 se4 lie4]; [yǐ] to use; according to; so as to; by means of; in order to; by; with; because; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
伟,[wěi] big; large; great; 
运,[yùn] to move; to transport; to use; to apply; fortune; luck; fate; 
佑,[yòu] to assist; to protect; 
你,[nǐ] you (informal, as opposed to courteous 您[nin2]); 
保,[Bǎo] Bulgaria; Bulgarian; abbr. for 保加利亞|保加利亚[Bao3 jia1 li4 ya4]; [bǎo] to defend; to protect; to keep; to guarantee; to ensure; 
过,[Guò] surname Guo; [guò] (experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; 
做,[zuò] to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance; 
健,[jiàn] healthy; to invigorate; to strengthen; to be good at; to be strong in; 
边,[biān] side; edge; margin; border; boundary; CL:個|个[ge4]; simultaneously; [bian] suffix of a noun of locality; 
像,[xiàng] to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.); 
儿,[ér] son; [r] non-syllabic diminutive suffix; retroflex final; 
身,[shēn] body; life; oneself; personally; one's morality and conduct; the main part of a structure or body; pregnant; classifier for sets of clothes: suit, twinset; Kangxi radical 158; 
光,[guāng] light; ray; CL:道[dao4]; bright; only; merely; to use up; 
养,[yǎng] to raise (animals); to bring up (children); to keep (pets); to support; to give birth; 
军,[jūn] army; military; arms; CL:個|个[ge4]; 
冠,[Guàn] surname Guan; [guān] hat; crown; crest; cap; [guàn] to put on a hat; to be first; to dub; 
起,[qǐ] to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group; 
