断,[duàn] to break; to snap; to cut off; to give up or abstain from sth; to judge; (usu. used in the negative) absolutely; definitely; decidedly; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
不,[bù] (negative prefix); not; no; 
业,[Yè] surname Ye; [yè] line of business; industry; occupation; job; employment; school studies; enterprise; property; (Buddhism) karma; deed; to engage in; already; 
高,[Gāo] surname Gao; [gāo] high; tall; above average; loud; your (honorific); 
两,[liǎng] two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old); 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
之,[zhī] (possessive particle, literary equivalent of 的[de5]); him; her; it; 
首,[shǒu] head; chief; first (occasion, thing etc); classifier for poems, songs etc; 
京,[Jīng] abbr. for Beijing; surname Jing; Jing ethnic minority; [jīng] capital city of a country; big; algebraic term for a large number (old); artificial mound (old); 
今,[jīn] today; modern; present; current; this; now; 
需,[xū] to require; to need; to want; necessity; need; 
付,[Fù] surname Fu; [fù] to pay; to hand over to; 
会,[huì] can; to be possible; to be able to; will; to be likely to; to be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is [hui3]); [kuài] to balance an account; accountancy; accounting; 
保,[Bǎo] Bulgaria; Bulgarian; abbr. for 保加利亞|保加利亚[Bao3 jia1 li4 ya4]; [bǎo] to defend; to protect; to keep; to guarantee; to ensure; 
集,[jí] to gather; to collect; collected works; classifier for sections of a TV series etc: episode; 
全,[Quán] surname Quan; [quán] all; whole; entire; every; complete; 
闻,[Wén] surname Wen; [wén] to hear; news; well-known; famous; reputation; fame; to smell; to sniff at; 
刷,[shuā] to brush; to paint; to daub; to paste up; to skip class (of students); to fire from a job; [shuà] to select; 
间,[jiān] between; among; within a definite time or space; room; section of a room or lateral space between two pairs of pillars; classifier for rooms; [jiàn] gap; to separate; to thin out (seedlings); to sow discontent; 
务,[wù] affair; business; matter; 
北,[běi] north; to be defeated (classical); 
银,[yín] silver; silver-colored; relating to money or currency; 
南,[Nán] surname Nan; [nán] south; 
铁,[Tiě] surname Tie; [tiě] iron (metal); arms; weapons; hard; strong; violent; unshakeable; determined; close; tight (slang); 
卡,[kǎ] to stop; to block; card; CL:張|张[zhang1],片[pian4]; calorie; cassette; (computing) (coll.) slow; [qiǎ] to block; to be stuck; to be wedged; customs station; a clip; a fastener; a checkpost; Taiwan pr. [ka3]; 
发,[fā] to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds); [fà] hair; Taiwan pr. [fa3]; 
口,[kǒu] mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc); classifier for bites or mouthfuls; 
召,[Shào] surname Shao; name of an ancient state that existed in what is now Shaanxi Province; [zhào] to call together; to summon; to convene; temple or monastery (used in place names in Inner Mongolia); 
都,[Dū] surname Du; [dōu] all; both; entirely; (used for emphasis) even; already; (not) at all; [dū] capital city; metropolis; 
启,[Qǐ] Qi son of Yu the Great 禹[Yu3], reported founder of the Xia Dynasty 夏朝[Xia4 Chao2] (c. 2070-c. 1600 BC); [qǐ] to open; to start; to initiate; to enlighten or awaken; to state; to inform; 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
售,[shòu] to sell; to make or carry out (a plan or intrigue etc); 
部,[bù] ministry; department; section; part; division; troops; board; classifier for works of literature, films, machines etc; 
团,[tuán] round; lump; ball; to roll into a ball; to gather; regiment; group; society; [tuán] dumpling; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
场,[cháng] threshing floor; classifier for events and happenings: spell, episode, bout; [chǎng] large place used for a specific purpose; stage; scene (of a play); classifier for sporting or recreational activities; classifier for number of exams; [cháng] variant of 場|场[chang2]; [chǎng] variant of 場|场[chang3]; 
处,[chǔ] to reside; to live; to dwell; to be in; to be situated at; to stay; to get along with; to be in a position of; to deal with; to discipline; to punish; [chù] place; location; spot; point; office; department; bureau; respect; classifier for locations or items of damage: spot, point; 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
安,[An1] surname An; [ān] content; calm; still; quiet; safe; secure; in good health; to find a place for; to install; to fix; to fit; to bring (a charge against sb); to pacify; security; safety; peace; ampere; 
实,[shí] real; true; honest; really; solid; fruit; seed; definitely; 
郑,[Zhèng] Zheng state during the Warring States period; surname Zheng; abbr. for 鄭州|郑州[Zheng4 zhou1]; 
客,[kè] customer; visitor; guest; 
小,[xiǎo] small; tiny; few; young; 
道,[dào] direction; way; road; path; CL:條|条[tiao2],股[gu3]; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; province (of Korea or Japan); 
局,[jú] office; situation; classifier for games: match, set, round etc; 
展,[Zhǎn] surname Zhan; [zhǎn] to spread out; to open up; to exhibit; to put into effect; to postpone; to prolong; exhibition; 
峰,[fēng] (of a mountain) high and tapered peak or summit; mountain-like in appearance; highest level; classifier for camels; 
州,[zhōu] prefecture; (old) province; (old) administrative division; state (e.g. of US); oblast (Russia); canton (Switzerland); 
布,[bù] cloth; to declare; to announce; to spread; to make known; 
年,[Nián] surname Nian; [nián] year; CL:個|个[ge4]; 
