抚,[fǔ] to comfort; to console; to stroke; to caress; an old term for province or provincial governor; 
万,[Mò] see 万俟[Mo4 qi2]; [Wàn] surname Wan; [wàn] ten thousand; a great number; 
事,[shì] matter; thing; item; work; affair; CL:件[jian4],樁|桩[zhuang1]; 
金,[Jīn] surname Jin; surname Kim (Korean); Jurchen Jin dynasty (1115-1234); [jīn] gold; chemical element Au; generic term for lustrous and ductile metals; money; golden; highly respected; one of the eight ancient musical instruments 八音[ba1 yin1]; 
亡,[wáng] to die; to lose; to be gone; to flee; deceased; 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
件,[jiàn] item; component; classifier for events, things, clothes etc; 
众,[Zhòng] abbr. for 眾議院|众议院[Zhong4 yi4 yuan4], House of Representatives; [zhòng] many; numerous; crowd; multitude; [zhòng] variant of 眾|众[zhong4]; 
伤,[shāng] to injure; injury; wound; 
重,[chóng] to repeat; repetition; again; re-; classifier: layer; [zhòng] heavy; serious; to attach importance to; 
位,[wèi] position; location; place; seat; classifier for people (honorific); classifier for binary bits (e.g. 十六位 16-bit or 2 bytes); 
供,[gōng] to provide; to supply; [gòng] sacrificial offering; to confess; 
信,[xìn] letter; mail; CL:封[feng1]; to trust; to believe; to profess faith in; truthful; confidence; trust; at will; at random; 
邦,[bāng] country; nation; state; 
偿,[cháng] to repay; to compensate for; to recompense; to fulfill (hopes etc); 
元,[Yuán] surname Yuan; the Yuan or Mongol dynasty (1279-1368); [yuán] unit of money (in PRC: Chinese yuan, in USA: dollar, etc); primary; first; 
决,[jué] to decide; to determine; to execute (sb); (of a dam etc) to breach or burst; definitely; certainly; 
遇,[Yù] surname Yu; [yù] to meet; to encounter; to treat; to receive; opportunity; chance; 
前,[qián] front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly; 
加,[Jiā] abbr. for Canada 加拿大[Jia1 na2 da4]; [jiā] to add; plus; (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned); to apply (restrictions etc) to (sb); to give (support, consideration etc) to (sth); 
动,[dòng] to use; to act; to move; to change; abbr. for 動詞|动词[dong4 ci2], verb; 
南,[Nán] surname Nan; [nán] south; 
卢,[Lú] surname Lu; abbr. for Luxembourg 盧森堡|卢森堡[Lu2 sen1 bao3]; [lú] (old) rice vessel; black; old variant of 廬|庐[lu2]; (Taiwan slang) troublesome; fussy; 
造,[zào] to make; to build; to manufacture; to invent; to fabricate; to go to; party (in a lawsuit or legal agreement); crop; classifier for crops; 
印,[Yìn] surname Yin; abbr. for 印度[Yin4 du4]; [yìn] to print; to mark; to engrave; a seal; a print; a stamp; a mark; a trace; image; 
返,[fǎn] to return (to); 
辛,[Xīn] surname Xin; [xīn] (of taste) hot or pungent; hard; laborious; suffering; eighth in order; eighth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; letter "H" or roman "VIII" in list "A, B, C", or "I, II, III" etc; octa; 
参,[cān] to take part in; to participate; to join; to attend; to counsel; unequal; varied; irregular; uneven; not uniform; abbr. for 參議院|参议院 Senate, Upper House; [shēn] ginseng; one of the 28 constellations; [cān] old variant of 參|参[can1]; [shēn] variant of 參|参[shen1]; [shēn] variant of 參|参[shen1]; 
踩,[cǎi] to step on; to tread; to stamp; to press a pedal; to pedal (a bike); 
发,[fā] to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds); [fà] hair; Taiwan pr. [fa3]; 
踏,[tā] see 踏實|踏实[ta1 shi5]; [tà] to tread; to stamp; to step on; to press a pedal; to investigate on the spot; 
合,[gě] 100 ml; one-tenth of a peck; measure for dry grain equal to one-tenth of sheng 升 or liter, or one-hundredth dou 斗; [hé] to close; to join; to fit; to be equal to; whole; together; round (in battle); conjunction (astronomy); 1st note of pentatonic scale; old variant of 盒[he2]; 
后,[Hòu] surname Hou; [hòu] empress; queen; [hòu] back; behind; rear; afterwards; after; later; 
喀,[kā] (onom.) sound of coughing or vomiting; 
西,[Xī] the West; abbr. for Spain 西班牙[Xi1 ban1 ya2]; Spanish; [xī] west; 
回,[huí] to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book); 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
定,[dìng] to set; to fix; to determine; to decide; to order; 
家,[Jiā] surname Jia; [jiā] home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]; 
