意,[Yì] Italy; Italian; abbr. for 意大利[Yi4 da4 li4]; [yì] idea; meaning; thought; to think; wish; desire; intention; to expect; to anticipate; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
高,[Gāo] surname Gao; [gāo] high; tall; above average; loud; your (honorific); 
饭,[fàn] food; cuisine; cooked rice; meal; CL:碗[wan3],頓|顿[dun4]; 
非,[Fēi] abbr. for 非洲[Fei1 zhou1], Africa; [fēi] to not be; not; wrong; incorrect; non-; un-; in-; to reproach or blame; (colloquial) to insist on; simply must; 
三,[Sān] surname San; [sān] three; 3; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
阀,[fá] powerful individual, family or group; clique; (loanword) valve; 
下,[xià] down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action; 
不,[bù] (negative prefix); not; no; 
锅,[guō] pot; pan; boiler; CL:口[kou3],隻|只[zhi1]; 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
中,[Zhōng] China; Chinese; surname Zhong; [zhōng] within; among; in; middle; center; while (doing sth); during; (dialect) OK; all right; [zhòng] to hit (the mark); to be hit by; to suffer; to win (a prize, a lottery); 
么,[má] exclamatory final particle; [ma] interrogative final particle; [me] suffix, used to form interrogative 甚麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc; [me] variant of 麼|么[me5]; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
事,[shì] matter; thing; item; work; affair; CL:件[jian4],樁|桩[zhuang1]; 
钟,[Zhōng] surname Zhong; [zhōng] handleless cup; goblet; to concentrate; variant of 鐘|钟[zhong1]; [zhōng] clock; o'clock; time as measured in hours and minutes; bell; CL:架[jia4],座[zuo4]; 
五,[wǔ] five; 5; 
享,[xiǎng] to enjoy; to benefit; to have the use of; 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
他,[tā] he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another; 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
份,[fèn] classifier for gifts, newspaper, magazine, papers, reports, contracts etc; variant of 分[fen4]; 
伴,[bàn] partner; companion; comrade; associate; to accompany; 
但,[dàn] but; yet; however; only; merely; still; 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
使,[shǐ] to make; to cause; to enable; to use; to employ; to send; to instruct sb to do sth; envoy; messenger; 
配,[pèi] to join; to fit; to mate; to mix; to match; to deserve; to make up (a prescription); 
依,[yī] to depend on; to comply with or listen to sb; according to; in the light of; 
道,[dào] direction; way; road; path; CL:條|条[tiao2],股[gu3]; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; province (of Korea or Japan); 
倒,[dǎo] to fall; to collapse; to topple; to fail; to go bankrupt; to change (trains or buses); to move around; to sell; to speculate (buying and selling, also 搗|捣); profiteer; [dào] to place upside down; to invert; to pour; to throw out; to move backwards; however; actually; as a matter of fact; contrary to expectation; 
做,[zuò] to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance; 
儿,[ér] son; [r] non-syllabic diminutive suffix; retroflex final; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
先,[xiān] early; prior; former; in advance; first; 
