己,[jǐ] self; oneself; sixth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; sixth in order; letter "F" or roman "VI" in list "A, B, C", or "I, II, III" etc; hexa; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
业,[Yè] surname Ye; [yè] line of business; industry; occupation; job; employment; school studies; enterprise; property; (Buddhism) karma; deed; to engage in; already; 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
中,[Zhōng] China; Chinese; surname Zhong; [zhōng] within; among; in; middle; center; while (doing sth); during; (dialect) OK; all right; [zhòng] to hit (the mark); to be hit by; to suffer; to win (a prize, a lottery); 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
也,[Yě] surname Ye; [yě] also; too; (in Classical Chinese) final particle implying affirmation; 
书,[Shū] abbr. for 書經|书经[Shu1 jing1]; [shū] book; letter; document; CL:本[ben3],冊|册[ce4],部[bu4]; to write; 
高,[Gāo] surname Gao; [gāo] high; tall; above average; loud; your (honorific); 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
争,[zhēng] to strive for; to vie for; to argue or debate; deficient or lacking (dialect); how or what (literary); 
交,[jiāo] to hand over; to deliver; to pay (money); to turn over; to make friends; to intersect (lines); 
亲,[qīn] parent; one's own (flesh and blood); relative; related; marriage; bride; close; intimate; in person; first-hand; in favor of; pro-; to kiss; [qìng] parents-in-law of one's offspring; 
仅,[jǐn] barely; only; merely; 
从,[Cóng] surname Cong; [cōng] lax; yielding; unhurried; [cóng] from; via; passing through; through (a gap); past; ever (followed by negative, meaning never); (formerly pr. [zong4] and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; [zòng] second cousin; 
以,[Yǐ] abbr. for Israel 以色列[Yi3 se4 lie4]; [yǐ] to use; according to; so as to; by means of; in order to; by; with; because; 
众,[Zhòng] abbr. for 眾議院|众议院[Zhong4 yi4 yuan4], House of Representatives; [zhòng] many; numerous; crowd; multitude; [zhòng] variant of 眾|众[zhong4]; 
风,[fēng] wind; news; style; custom; manner; CL:陣|阵[zhen4],絲|丝[si1]; 
会,[huì] can; to be possible; to be able to; will; to be likely to; to be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is [hui3]); [kuài] to balance an account; accountancy; accounting; 
你,[nǐ] you (informal, as opposed to courteous 您[nin2]); 
像,[xiàng] to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.); 
党,[Dǎng] surname Dang; [dǎng] party; association; club; society; CL:個|个[ge4]; 
其,[qí] his; her; its; their; that; such; it (refers to sth preceding it); 
冷,[Lěng] surname Leng; [lěng] cold; 
出,[chū] to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc; 
到,[dào] to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action); 
剧,[jù] drama; play; show; severe; 
动,[dòng] to use; to act; to move; to change; abbr. for 動詞|动词[dong4 ci2], verb; 
化,[huā] variant of 花[hua1]; [huà] to make into; to change into; -ization; to ... -ize; to transform; abbr. for 化學|化学[hua4 xue2]; 
十,[shí] ten; 10; 
却,[què] old variant of 卻|却[que4]; [què] but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though; 
变,[biàn] to change; to become different; to transform; to vary; rebellion; 
只,[zhǐ] only; merely; just; but; 
否,[fǒu] to negate; to deny; not; [pǐ] clogged; evil; 
呆,[dāi] foolish; stupid; expressionless; blank; to stay; 
哥,[gē] elder brother; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
塌,[tā] to collapse; to droop; to settle down; 
多,[duō] many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"; 
头,[tóu] head; hair style; the top; end; beginning or end; a stub; remnant; chief; boss; side; aspect; first; leading; classifier for pigs or livestock; CL:個|个[ge4]; [tou] suff. for nouns; 
女,[nǔ:] female; woman; daughter; [rǔ] archaic variant of 汝[ru3]; 
妈,[mā] ma; mom; mother; 
始,[shǐ] to begin; to start; then; only then; 
子,[zǐ] son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; [zi] (noun suffix); 
,
孩,[hái] child; 
完,[wán] to finish; to be over; whole; complete; entire; 
实,[shí] real; true; honest; really; solid; fruit; seed; definitely; 
