一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
馨,[xīn] fragrant; 
风,[fēng] wind; news; style; custom; manner; CL:陣|阵[zhen4],絲|丝[si1]; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
不,[bù] (negative prefix); not; no; 
面,[miàn] face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc; 
世,[Shì] surname Shi; [shì] life; age; generation; era; world; lifetime; epoch; descendant; noble; 
非,[Fēi] abbr. for 非洲[Fei1 zhou1], Africa; [fēi] to not be; not; wrong; incorrect; non-; un-; in-; to reproach or blame; (colloquial) to insist on; simply must; 
业,[Yè] surname Ye; [yè] line of business; industry; occupation; job; employment; school studies; enterprise; property; (Buddhism) karma; deed; to engage in; already; 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
中,[Zhōng] China; Chinese; surname Zhong; [zhōng] within; among; in; middle; center; while (doing sth); during; (dialect) OK; all right; [zhòng] to hit (the mark); to be hit by; to suffer; to win (a prize, a lottery); 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
隐,[yǐn] secret; hidden; concealed; (prefix) crypto-; [yìn] to lean upon; 
主,[zhǔ] owner; master; host; individual or party concerned; God; Lord; main; to indicate or signify; trump card (in card games); 
陷,[xiàn] pitfall; trap; to get stuck; to sink; to cave in; to frame (false charge); to capture (a city in battle); to fall (to the enemy); defect; 
丽,[Lí] Korea; [lì] beautiful; 
久,[jiǔ] (long) time; (long) duration of time; 
么,[má] exclamatory final particle; [ma] interrogative final particle; [me] suffix, used to form interrogative 甚麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc; [me] variant of 麼|么[me5]; 
也,[Yě] surname Ye; [yě] also; too; (in Classical Chinese) final particle implying affirmation; 
习,[Xí] surname Xi; [xí] to practice; to study; habit; 
乡,[xiāng] country or countryside; native place; home village or town; township (PRC administrative unit); 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
事,[shì] matter; thing; item; work; affair; CL:件[jian4],樁|桩[zhuang1]; 
陌,[mò] raised path; street; 
二,[èr] two; 2; (Beijing dialect) stupid; 
阁,[gé] pavilion (usu. two-storied); cabinet (politics); boudoir; woman's chamber; rack; shelf; 
于,[Yú] surname Yu; [yú] to go; to take; sentence-final interrogative particle; variant of 於|于[yu2]; [Yú] surname Yu; [yú] in; at; to; from; by; than; out of; 
亚,[yà] Asia; Asian; second; next to; inferior; sub-; Taiwan pr. [ya3]; 
交,[jiāo] to hand over; to deliver; to pay (money); to turn over; to make friends; to intersect (lines); 
闭,[bì] to close; to stop up; to shut; to obstruct; 
亮,[liàng] bright; clear; resonant; to shine; to show; to reveal; 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
长,[cháng] length; long; forever; always; constantly; [zhǎng] chief; head; elder; to grow; to develop; to increase; to enhance; 
从,[Cóng] surname Cong; [cōng] lax; yielding; unhurried; [cóng] from; via; passing through; through (a gap); past; ever (followed by negative, meaning never); (formerly pr. [zong4] and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; [zòng] second cousin; 
重,[chóng] to repeat; repetition; again; re-; classifier: layer; [zhòng] heavy; serious; to attach importance to; 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
令,[Líng] see 令狐[Ling2 hu2]; [líng] see 脊令[ji2 ling2]; [lǐng] classifier for a ream of paper; [lìng] to order; to command; an order; warrant; writ; to cause; to make sth happen; virtuous; honorific title; season; government position (old); 
部,[bù] ministry; department; section; part; division; troops; board; classifier for works of literature, films, machines etc; 
以,[Yǐ] abbr. for Israel 以色列[Yi3 se4 lie4]; [yǐ] to use; according to; so as to; by means of; in order to; by; with; because; 
那,[Nā] surname Na; [Nuó] surname Nuo; [nǎ] variant of 哪[na3]; [nà] that; those; then (in that case); commonly pr. [nei4] before a classifier, esp. in Beijing; [nuó] (archaic) many; beautiful; how; old variant of 挪[nuo2]; 
邂,[xiè] to meet unexpectedly; 
会,[huì] can; to be possible; to be able to; will; to be likely to; to be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is [hui3]); [kuài] to balance an account; accountancy; accounting; 
作,[zuò] to do; to grow; to write or compose; to pretend; to regard as; to feel; writings or works; 
依,[yī] to depend on; to comply with or listen to sb; according to; in the light of; 
遭,[zāo] to meet by chance (usually with misfortune); classifier for events: time, turn, incident; 
信,[xìn] letter; mail; CL:封[feng1]; to trust; to believe; to profess faith in; truthful; confidence; trust; at will; at random; 
遗,[yí] to lose; to leave behind; to omit; to bequeath; sth lost; involuntary discharge (of urine etc); 
光,[guāng] light; ray; CL:道[dao4]; bright; only; merely; to use up; 
遇,[Yù] surname Yu; [yù] to meet; to encounter; to treat; to receive; opportunity; chance; 
逅,[hòu] to meet unexpectedly; 
克,[kè] to be able to; to subdue; to restrain; to overcome; gram; Tibetan unit of land area, about 6 ares; 
入,[rù] to enter; to go into; to join; to become a member of; to confirm or agree with; abbr. for 入聲|入声[ru4 sheng1]; 
全,[Quán] surname Quan; [quán] all; whole; entire; every; complete; 
逃,[táo] to escape; to run away; to flee; 
公,[gōng] public; collectively owned; common; international (e.g. high seas, metric system, calendar); make public; fair; just; Duke, highest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; honorable (gentlemen); father-in-law; male (animal); 
关,[Guān] surname Guan; [guān] mountain pass; to close; to shut; to turn off; to concern; to involve; 
述,[shù] to state; to tell; to narrate; to relate; 
远,[yuǎn] far; distant; remote; [yuàn] to distance oneself from (classical); 
划,[huá] to row; to paddle; profitable; worth (the effort); it pays (to do sth); [huá] to cut; to slash; to scratch (cut into the surface of sth); to strike (a match); [huà] to delimit; to transfer; to assign; to plan; to draw (a line); stroke of a Chinese character; 
到,[dào] to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action); 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
前,[qián] front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly; 
返,[fǎn] to return (to); 
力,[Lì] surname Li; [lì] power; force; strength; ability; strenuously; 
功,[gōng] meritorious deed or service; achievement; result; service; accomplishment; work (physics); 
努,[nǔ] to exert; to strive; 
近,[jìn] near; close to; approximately; 
十,[shí] ten; 10; 
单,[Shàn] surname Shan; [dān] bill; list; form; single; only; sole; odd number; CL:個|个[ge4]; 
危,[Wēi] surname Wei; [wēi] danger; to endanger; Taiwan pr. [wei2]; 
运,[yùn] to move; to transport; to use; to apply; fortune; luck; fate; 
却,[què] old variant of 卻|却[que4]; [què] but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though; 
厄,[è] distressed; 
过,[Guò] surname Guo; [guò] (experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; 
历,[lì] old variant of 曆|历[li4]; old variant of 歷|历[li4]; [lì] calendar; [lì] old variant of 歷|历[li4]; [lì] to experience; to undergo; to pass through; all; each; every; history; 
辛,[Xīn] surname Xin; [xīn] (of taste) hot or pungent; hard; laborious; suffering; eighth in order; eighth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; letter "H" or roman "VIII" in list "A, B, C", or "I, II, III" etc; octa; 
双,[Shuāng] surname Shuang; [shuāng] two; double; pair; both; 
输,[shū] to lose; to transport; to donate; to enter (a password); 
发,[fā] to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds); [fà] hair; Taiwan pr. [fa3]; 
轻,[qīng] light; easy; gentle; soft; reckless; unimportant; frivolous; small in number; unstressed; neutral; to disparage; 
变,[biàn] to change; to become different; to transform; to vary; rebellion; 
叛,[pàn] to betray; to rebel; to revolt; 
另,[lìng] other; another; separate; separately; 
转,[zhuǎn] to convey; to forward (mail); to transfer; to turn; to shift; [zhuàn] to revolve; to turn; to circle about; to walk about; classifier for revolutions (per minute etc): revs, rpm; classifier for repeated actions; 
只,[zhǐ] only; merely; just; but; 
命,[mìng] life; fate; order or command; to assign a name, title etc; 
身,[shēn] body; life; oneself; personally; one's morality and conduct; the main part of a structure or body; pregnant; classifier for sets of clothes: suit, twinset; Kangxi radical 158; 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
唯,[wéi] -ism; only; alone; [wěi] yes; 
足,[jù] excessive; [zú] foot; to be sufficient; ample; 
喜,[xǐ] to be fond of; to like; to enjoy; to be happy; to feel pleased; happiness; delight; glad; 
起,[qǐ] to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group; 
因,[yīn] cause; reason; because; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
赢,[yíng] to beat; to win; to profit; 
场,[cháng] threshing floor; classifier for events and happenings: spell, episode, bout; [chǎng] large place used for a specific purpose; stage; scene (of a play); classifier for sporting or recreational activities; classifier for number of exams; [cháng] variant of 場|场[chang2]; [chǎng] variant of 場|场[chang3]; 
埋,[mái] to bury; [mán] to blame; 
赛,[sài] to compete; competition; match; to surpass; better than; superior to; to excel; 
外,[wài] outside; in addition; foreign; external; 
多,[duō] many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"; 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
她,[tā] she; 
妹,[mèi] younger sister; 
姐,[jiě] older sister; 
赔,[péi] to compensate for loss; to indemnify; to suffer a financial loss; 
论,[Lún] abbr. for 論語|论语[Lun2 yu3], The Analects (of Confucius); [lùn] opinion; view; theory; doctrine; to discuss; to talk about; to regard; to consider; per; by the (kilometer, hour etc); 
嫁,[jià] (of a woman) to marry; to marry off a daughter; to shift (blame etc); 
嫉,[jí] jealousy; to be jealous of; 
讲,[jiǎng] to speak; to explain; to negotiate; to emphasise; to be particular about; as far as sth is concerned; speech; lecture; 
存,[cún] to exist; to deposit; to store; to keep; to survive; 
让,[ràng] to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc); 
,
角,[Jué] surname Jue; [jiǎo] angle; corner; horn; horn-shaped; unit of money equal to 0.1 yuan; CL:個|个[ge4]; [jué] role (theater); to compete; ancient three legged wine vessel; third note of pentatonic scale; 
孩,[hái] child; 
它,[tā] it; 
实,[shí] real; true; honest; really; solid; fruit; seed; definitely; 
规,[guī] variant of 規|规[gui1]; [guī] compass; a rule; regulation; to admonish; to plan; to scheme; 
宠,[chǒng] to love; to pamper; to spoil; to favor; 
要,[yāo] to demand; to request; to coerce; [yào] important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if; 
密,[Mì] surname Mi; name of an ancient state; [mì] secret; confidential; close; thick; dense; 
对,[duì] right; correct; couple; pair; towards; at; for; to face; opposite; to treat (sb a certain way); to match together; to adjust; to fit; to suit; to answer; to reply; classifier: couple; 
,
封,[Fēng] surname Feng; [fēng] to confer; to grant; to bestow a title; to seal; classifier for sealed objects, esp. letters; 
尘,[chén] dust; dirt; earth; 
袭,[xí] to attack; to inherit; classifier for suits (esp. of funeral robes); 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
工,[gōng] work; worker; skill; profession; trade; craft; labor; 
藏,[Zàng] Tibet; Xizang 西藏; [cáng] to conceal; to hide away; to harbor; to store; to collect; [zàng] storehouse; depository; Buddhist or Taoist scripture; 
己,[jǐ] self; oneself; sixth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; sixth in order; letter "F" or roman "VI" in list "A, B, C", or "I, II, III" etc; hexa; 
年,[Nián] surname Nian; [nián] year; CL:個|个[ge4]; 
并,[bìng] and; furthermore; also; together with; (not) at all; simultaneously; to combine; to join; to merge; [bìng] to combine; to amalgamate; [bìng] variant of 並|并[bing4]; 
葛,[Gě] surname Ge; [gé] kudzu (Pueraria lobata); hemp cloth; 
幸,[Xìng] surname Xing; [xìng] fortunate; lucky; 
获,[huò] to catch; to obtain; to capture; [huò] to reap; to harvest; 
当,[dāng] (onom.) dong; ding dong (bell); [dāng] to be; to act as; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at; [dàng] at or in the very same...; suitable; adequate; fitting; proper; to replace; to regard as; to think; to pawn; (coll.) to fail (a student); 
芒,[máng] awn (of cereals); arista (of grain); tip (of a blade); Miscanthus sinensis (type of grass); variant of 邙, Mt Mang at Luoyang in Henan; 
彩,[cǎi] (bright) color; variety; applause; applaud; lottery prize; 
得,[dé] to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished; [de] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; [děi] to have to; must; ought to; to need to; 
色,[sè] color; CL:種|种[zhong3]; look; appearance; sex; [shǎi] color; dice; 
心,[xīn] heart; mind; intention; center; core; CL:顆|颗[ke1],個|个[ge4]; 
艰,[jiān] difficult; hard; hardship; 
性,[xìng] nature; character; property; quality; attribute; sexuality; sex; gender; suffix forming adjective from verb; suffix forming noun from adjective, corresponding to -ness or -ity; essence; CL:個|个[ge4]; 
至,[zhì] to arrive; most; to; until; 
怨,[yuàn] to blame; to complain; 
总,[zǒng] always; to assemble; gather; total; overall; head; chief; general; in every case; 
自,[zì] from; self; oneself; since; 
恨,[hèn] to hate; to regret; 
情,[qíng] feeling; emotion; passion; situation; 
脱,[tuō] to shed; to take off; to escape; to get away from; 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
意,[Yì] Italy; Italian; abbr. for 意大利[Yi4 da4 li4]; [yì] idea; meaning; thought; to think; wish; desire; intention; to expect; to anticipate; 
胞,[bāo] placenta; womb; born of the same parents; 
感,[gǎn] to feel; to move; to touch; to affect; feeling; emotion; (suffix) sense of ~; 
胎,[tāi] fetus; litter; tire; abbr. of 輪胎|轮胎; 
愿,[yuàn] to hope; to wish; to desire; hoped-for; ready; willing; sincere; 
背,[bēi] to be burdened; to carry on the back or shoulder; [bèi] the back of a body or object; to turn one's back; to hide something from; to learn by heart; to recite from memory; unlucky (slang); hard of hearing; 
慕,[mù] to admire; 
憾,[hàn] regret (sense of loss or dissatisfaction); 
成,[Chéng] surname Cheng; [chéng] to succeed; to finish; to complete; to accomplish; to become; to turn into; to be all right; OK!; one tenth; 
职,[zhí] office; duty; 
我,[wǒ] I; me; my; 
所,[suǒ] actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive; CL:個|个[ge4]; 
打,[dá] dozen (loanword); [dǎ] to beat; to strike; to hit; to break; to type; to mix up; to build; to fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to play (a game); since; from; 
而,[ér] and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast); 
