一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
间,[jiān] between; among; within a definite time or space; room; section of a room or lateral space between two pairs of pillars; classifier for rooms; [jiàn] gap; to separate; to thin out (seedlings); to sow discontent; 
下,[xià] down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action; 
长,[cháng] length; long; forever; always; constantly; [zhǎng] chief; head; elder; to grow; to develop; to increase; to enhance; 
与,[yú] variant of 歟|欤[yu2]; [yǔ] and; to give; together with; [yù] to take part in; 
且,[qiě] and; moreover; yet; for the time being; to be about to; both (... and...); 
主,[zhǔ] owner; master; host; individual or party concerned; God; Lord; main; to indicate or signify; trump card (in card games); 
量,[liáng] to measure; [liàng] capacity; quantity; amount; to estimate; abbr. for 量詞|量词[liang4 ci2], classifier (in Chinese grammar); measure word; 
事,[shì] matter; thing; item; work; affair; CL:件[jian4],樁|桩[zhuang1]; 
二,[èr] two; 2; (Beijing dialect) stupid; 
京,[Jīng] abbr. for Beijing; surname Jing; Jing ethnic minority; [jīng] capital city of a country; big; algebraic term for a large number (old); artificial mound (old); 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
亿,[yì] 100 million; 
以,[Yǐ] abbr. for Israel 以色列[Yi3 se4 lie4]; [yǐ] to use; according to; so as to; by means of; in order to; by; with; because; 
但,[dàn] but; yet; however; only; merely; still; 
使,[shǐ] to make; to cause; to enable; to use; to employ; to send; to instruct sb to do sth; envoy; messenger; 
采,[cǎi] to pick; to pluck; to collect; to select; to choose; to gather; [cǎi] color; complexion; looks; variant of 彩[cai3]; variant of 採|采[cai3]; [cài] allotment to a feudal noble; 
信,[xìn] letter; mail; CL:封[feng1]; to trust; to believe; to profess faith in; truthful; confidence; trust; at will; at random; 
克,[kè] to be able to; to subdue; to restrain; to overcome; gram; Tibetan unit of land area, about 6 ares; 
入,[rù] to enter; to go into; to join; to become a member of; to confirm or agree with; abbr. for 入聲|入声[ru4 sheng1]; 
全,[Quán] surname Quan; [quán] all; whole; entire; every; complete; 
还,[Huán] surname Huan; [hái] still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else; [huán] to pay back; to return; 
前,[qián] front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly; 
北,[běi] north; to be defeated (classical); 
距,[jù] at a distance of; distance; to be apart; 
午,[wǔ] 7th earthly branch: 11 a.m.-1 p.m., noon, 5th solar month (6th June-6th July), year of the Horse; 
受,[shòu] to receive; to accept; to suffer; subjected to; to bear; to stand; pleasant; (passive marker); 
