挥,[huī] to wave; to brandish; to command; to conduct; to scatter; to disperse; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
魏,[Wèi] surname Wei; name of vassal state of Zhou dynasty from 661 BC in Shanxi, one of the Seven Hero Warring States; Wei state, founded by Cao Cao 曹操, one of the Three Kingdoms from the fall of the Han; the Wei dynasty 221-265; Wei prefecture and Wei county at different historical periods; [wèi] tower over a palace gateway (old); 
高,[Gāo] surname Gao; [gāo] high; tall; above average; loud; your (honorific); 
骏,[jùn] spirited horse; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
驾,[Jià] surname Jia; [jià] to harness; to draw (a cart etc); to drive; to pilot; to sail; to ride; your good self; prefixed word denoting respect (polite 敬辞); 
马,[Mǎ] surname Ma; abbr. for Malaysia 馬來西亞|马来西亚[Ma3 lai2 xi1 ya4]; [mǎ] horse; CL:匹[pi3]; horse or cavalry piece in Chinese chess; knight in Western chess; 
不,[bù] (negative prefix); not; no; 
首,[shǒu] head; chief; first (occasion, thing etc); classifier for poems, songs etc; 
领,[lǐng] neck; collar; to lead; to receive; classifier for clothes, mats, screens etc; 
面,[miàn] face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc; 
青,[Qīng] abbr. for 青海[Qing1 hai3], Qinghai Province; [qīng] nature's color; green or blue; greenish black; youth; young (of people); 
雇,[gù] variant of 雇[gu4]; [gù] to employ; to hire; to rent; 
难,[nán] difficult (to...); problem; difficulty; difficult; not good; [nàn] disaster; distress; to scold; 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
么,[má] exclamatory final particle; [ma] interrogative final particle; [me] suffix, used to form interrogative 甚麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc; [me] variant of 麼|么[me5]; 
乎,[hū] (classical particle similar to 於|于[yu2]) in; at; from; because; than; (classical final particle similar to 嗎|吗[ma5], 吧[ba5], 呢[ne5], expressing question, doubt or astonishment); 
也,[Yě] surname Ye; [yě] also; too; (in Classical Chinese) final particle implying affirmation; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
事,[shì] matter; thing; item; work; affair; CL:件[jian4],樁|桩[zhuang1]; 
些,[xiē] some; few; several; measure word indicating a small amount or small number (greater than 1); 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
什,[shén] what; [shí] ten (used in fractions, writing checks etc); assorted; miscellaneous; 
阻,[zǔ] to hinder; to block; to obstruct; 
问,[wèn] to ask; 
