度,[dù] to pass; to spend (time); measure; limit; extent; degree of intensity; degree (angles, temperature etc); kilowatt-hour; classifier for events and occurrences; [duó] to estimate; Taiwan pr. [duo4]; 
万,[Mò] see 万俟[Mo4 qi2]; [Wàn] surname Wan; [wàn] ten thousand; a great number; 
举,[jǔ] variant of 舉|举[ju3]; [jǔ] to lift; to hold up; to cite; to enumerate; to act; to raise; to choose; to elect; act; move; deed; 
面,[miàn] face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc; 
乃,[nǎi] to be; thus; so; therefore; then; only; thereupon; 
书,[Shū] abbr. for 書經|书经[Shu1 jing1]; [shū] book; letter; document; CL:本[ben3],冊|册[ce4],部[bu4]; to write; 
院,[yuàn] courtyard; institution; CL:個|个[ge4]; 
争,[zhēng] to strive for; to vie for; to argue or debate; deficient or lacking (dialect); how or what (literary); 
重,[chóng] to repeat; repetition; again; re-; classifier: layer; [zhòng] heavy; serious; to attach importance to; 
五,[wǔ] five; 5; 
亚,[yà] Asia; Asian; second; next to; inferior; sub-; Taiwan pr. [ya3]; 
亩,[mǔ] old variant of 畝|亩[mu3]; [mǔ] old variant of 畝|亩[mu3]; [mǔ] classifier for fields; unit of area equal to one fifteenth of a hectare; [mǔ] old variant of 畝|亩[mu3]; 
仪,[yí] apparatus; rites; appearance; present; ceremony; 
部,[bù] ministry; department; section; part; division; troops; board; classifier for works of literature, films, machines etc; 
价,[jià] price; value; valence (on an atom); [jie] great; good; middleman; servant; 
仿,[fǎng] to imitate; to copy; 
超,[chāo] to exceed; to overtake; to surpass; to transcend; to pass; to cross; ultra-; super-; 
伊,[Yī] surname Yi; abbr. for 伊拉克[Yi1 la1 ke4], Iraq; abbr. for 伊朗[Yi1 lang3], Iran; [yī] he; she; 
会,[huì] can; to be possible; to be able to; will; to be likely to; to be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is [hui3]); [kuài] to balance an account; accountancy; accounting; 
元,[Yuán] surname Yuan; the Yuan or Mongol dynasty (1279-1368); [yuán] unit of money (in PRC: Chinese yuan, in USA: dollar, etc); primary; first; 
入,[rù] to enter; to go into; to join; to become a member of; to confirm or agree with; abbr. for 入聲|入声[ru4 sheng1]; 
起,[qǐ] to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group; 
公,[gōng] public; collectively owned; common; international (e.g. high seas, metric system, calendar); make public; fair; just; Duke, highest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; honorable (gentlemen); father-in-law; male (animal); 
赛,[sài] to compete; competition; match; to surpass; better than; superior to; to excel; 
减,[jiǎn] to lower; to decrease; to reduce; to subtract; to diminish; 
说,[shuì] to persuade; [shuō] to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory); 
办,[bàn] to do; to manage; to handle; to go about; to run; to set up; to deal with; 
千,[qiān] thousand; 
卖,[mài] to sell; to betray; to spare no effort; to show off or flaunt; 
卦,[guà] divinatory trigram; one of the eight divinatory trigrams of the Book of Changes 易經|易经; 
印,[Yìn] surname Yin; abbr. for 印度[Yin4 du4]; [yìn] to print; to mark; to engrave; a seal; a print; a stamp; a mark; a trace; image; 
话,[huà] dialect; language; spoken words; speech; talk; words; conversation; what sb said; CL:種|种[zhong3],席[xi2],句[ju4],口[kou3],番[fan1]; [huà] old variant of 話|话[hua4]; 
原,[yuán] former; original; primary; raw; level; cause; source; 
西,[Xī] the West; abbr. for Spain 西班牙[Xi1 ban1 ya2]; Spanish; [xī] west; 
发,[fā] to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds); [fà] hair; Taiwan pr. [fa3]; 
行,[háng] a row; series; age order (of brothers); profession; professional; relating to company; [xíng] to walk; to go; to travel; a visit; temporary; makeshift; current; in circulation; to do; to perform; capable; competent; effective; all right; OK!; will do; behavior; conduct; Taiwan pr. [xing4] for the behavior-conduct sense; 
古,[Gǔ] surname Gu; [gǔ] ancient; old; paleo-; 
董,[Dǒng] surname Dong; [dǒng] to supervise; to direct; director; 
吉,[Jí] surname Ji; abbr. for Jilin Province 吉林省[Ji2 lin2 Sheng3]; [jí] lucky; giga- (meaning billion or 10^9); 
落,[là] to leave out; to be missing; to leave behind or forget to bring; to lag or fall behind; [lào] see 落枕[lao4 zhen3] and 落炕[lao4 kang4]; [luò] to fall or drop; (of the sun) to set; (of a tide) to go out; to lower; to decline or sink; to lag or fall behind; to fall onto; to rest with; to get or receive; to write down; whereabouts; settlement; 
园,[Yuán] surname Yuan; [yuán] land used for growing plants; site used for public recreation; 
国,[Guó] surname Guo; [guó] country; nation; state; national; CL:個|个[ge4]; 
美,[Měi] the Americas; abbr. for 美洲[Mei3 zhou1]; USA; abbr. for 美國|美国[Mei3 guo2]; [měi] beautiful; very satisfactory; good; to be pleased with oneself; 
地,[de] -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; [dì] earth; ground; field; place; land; CL:片[pian4]; 
天,[tiān] day; sky; heaven; 
级,[jí] level; grade; rank; step (of stairs); CL:個|个[ge4]; classifier: step, level; 
夺,[duó] to seize; to take away forcibly; to wrest control of; to compete or strive for; to force one's way through; to leave out; to lose; 
始,[shǐ] to begin; to start; then; only then; 
,
家,[Jiā] surname Jia; [jiā] home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]; 
将,[jiāng] will; shall; to use; to take; to checkmate; just a short while ago; [jiàng] general; commander-in-chief (military); king (chess piece); to command; to lead; [qiāng] to desire; to invite; to request; 
尼,[ní] Buddhist nun; (often used in phonetic spellings); 
州,[zhōu] prefecture; (old) province; (old) administrative division; state (e.g. of US); oblast (Russia); canton (Switzerland); 
已,[yǐ] already; to stop; then; afterwards; 
年,[Nián] surname Nian; [nián] year; CL:個|个[ge4]; 
庆,[qìng] to celebrate; 
府,[fǔ] seat of government; government repository (archive); official residence; mansion; presidential palace; (honorific) Your home; prefecture (from Tang to Qing times); 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
式,[shì] type; form; pattern; style; 
引,[yǐn] to draw (e.g. a bow); to pull; to stretch sth; to extend; to lengthen; to involve or implicate in; to attract; to lead; to guide; to leave; to provide evidence or justification for; old unit of distance equal to 10 丈[zhang4], one-thirtieth of a km or 33.33 meters; 
