手,[shǒu] hand; (formal) to hold; person engaged in certain types of work; person skilled in certain types of work; personal(ly); convenient; classifier for skill; CL:雙|双[shuang1],隻|只[zhi1]; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
高,[Gāo] surname Gao; [gāo] high; tall; above average; loud; your (honorific); 
验,[yàn] variant of 驗|验[yan4]; [yàn] to examine; to test; to check; 
驳,[bó] variegated; heterogeneous; to refute; to contradict; to ship by barge; a barge; a lighter (ship); [bó] variant of 駁|驳[bo2]; 
韩,[Hán] Han, one of the Seven Hero States of the Warring States 戰國七雄|战国七雄; Korea from the fall of the Joseon dynasty in 1897; Korea, esp. South Korea 大韓民國|大韩民国; surname Han; 
静,[jìng] still; calm; quiet; not moving; 
七,[qī] seven; 7; 
三,[Sān] surname San; [sān] three; 3; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
下,[xià] down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action; 
不,[bù] (negative prefix); not; no; 
霉,[méi] bacteria; fungi; moldy; 
需,[xū] to require; to need; to want; necessity; need; 
难,[nán] difficult (to...); problem; difficulty; difficult; not good; [nàn] disaster; distress; to scold; 
随,[Suí] surname Sui; [suí] to follow; to comply with; varying according to...; to allow; 
除,[chú] to get rid of; to remove; to exclude; to eliminate; to wipe out; to divide; except; not including; 
且,[qiě] and; moreover; yet; for the time being; to be about to; both (... and...); 
丛,[cóng] cluster; collection; collection of books; thicket; 
限,[xiàn] limit; bound; to set a limit (on); 
丝,[sī] silk; thread; trace; CL:條|条[tiao2]; 
两,[liǎng] two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old); 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
阵,[zhèn] disposition of troops; wave; spate; burst; spell; short period of time; classifier for events or states of short duration; 
中,[Zhōng] China; Chinese; surname Zhong; [zhōng] within; among; in; middle; center; while (doing sth); during; (dialect) OK; all right; [zhòng] to hit (the mark); to be hit by; to suffer; to win (a prize, a lottery); 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
么,[má] exclamatory final particle; [ma] interrogative final particle; [me] suffix, used to form interrogative 甚麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc; [me] variant of 麼|么[me5]; 
乎,[hū] (classical particle similar to 於|于[yu2]) in; at; from; because; than; (classical final particle similar to 嗎|吗[ma5], 吧[ba5], 呢[ne5], expressing question, doubt or astonishment); 
也,[Yě] surname Ye; [yě] also; too; (in Classical Chinese) final particle implying affirmation; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
五,[wǔ] five; 5; 
,
队,[duì] squadron; team; group; CL:個|个[ge4]; 
亡,[wáng] to die; to lose; to be gone; to flee; deceased; 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
从,[Cóng] surname Cong; [cōng] lax; yielding; unhurried; [cóng] from; via; passing through; through (a gap); past; ever (followed by negative, meaning never); (formerly pr. [zong4] and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; [zòng] second cousin; 
他,[tā] he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another; 
闷,[mēn] stuffy; shut indoors; to smother; to cover tightly; [mèn] bored; depressed; melancholy; sealed; airtight; tightly closed; 
令,[Líng] see 令狐[Ling2 hu2]; [líng] see 脊令[ji2 ling2]; [lǐng] classifier for a ream of paper; [lìng] to order; to command; an order; warrant; writ; to cause; to make sth happen; virtuous; honorific title; season; government position (old); 
长,[cháng] length; long; forever; always; constantly; [zhǎng] chief; head; elder; to grow; to develop; to increase; to enhance; 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
仿,[fǎng] to imitate; to copy; 
