惨,[cǎn] miserable; wretched; cruel; inhuman; disastrous; tragic; dim; gloomy; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
专,[zhuān] for a particular person, occasion, purpose; focused on one thing; special; expert; particular (to sth); concentrated; specialized; [zhuān] variant of 專|专[zhuan1]; 
鬼,[guǐ] ghost; sly; crafty; CL:個|个[ge4]; 
业,[Yè] surname Ye; [yè] line of business; industry; occupation; job; employment; school studies; enterprise; property; (Buddhism) karma; deed; to engage in; already; 
两,[liǎng] two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old); 
丧,[sāng] to make funeral arrangements; to be in mourning; corpse (old); [sàng] to lose; to flee; to be defeated; to die; 
霍,[Huò] surname Huo; [huò] suddenly; 
久,[jiǔ] (long) time; (long) duration of time; 
之,[zhī] (possessive particle, literary equivalent of 的[de5]); him; her; it; 
也,[Yě] surname Ye; [yě] also; too; (in Classical Chinese) final particle implying affirmation; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
霉,[méi] bacteria; fungi; moldy; 
会,[huì] can; to be possible; to be able to; will; to be likely to; to be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is [hui3]); [kuài] to balance an account; accountancy; accounting; 
传,[chuán] to pass on; to spread; to transmit; to infect; to transfer; to circulate; to conduct (electricity); [zhuàn] biography; historical narrative; commentaries; relay station; 
附,[fù] to add; to attach; to be close to; to be attached; 
何,[Hé] surname He; [hé] what; how; why; which; carry; 
倒,[dǎo] to fall; to collapse; to topple; to fail; to go bankrupt; to change (trains or buses); to move around; to sell; to speculate (buying and selling, also 搗|捣); profiteer; [dào] to place upside down; to invert; to pour; to throw out; to move backwards; however; actually; as a matter of fact; contrary to expectation; 
间,[jiān] between; among; within a definite time or space; room; section of a room or lateral space between two pairs of pillars; classifier for rooms; [jiàn] gap; to separate; to thin out (seedlings); to sow discontent; 
僵,[jiāng] rigid; deadlock; stiff (corpse); 
重,[chóng] to repeat; repetition; again; re-; classifier: layer; [zhòng] heavy; serious; to attach importance to; 
出,[chū] to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc; 
切,[qiē] to cut; to slice; tangent (math); [qiè] definitely; absolutely (not); (scoffing or dismissive interjection) Yeah, right.; Tut!; to grind; close to; eager; to correspond to; see also 反切[fan3 qie4]; 
利,[Lì] surname Li; [lì] sharp; favorable; advantage; benefit; profit; interest; to do good to; to benefit; 
到,[dào] to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action); 
博,[bó] extensive; ample; rich; obtain; aim; to win; to get; plentiful; to gamble; 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
印,[Yìn] surname Yin; abbr. for 印度[Yin4 du4]; [yìn] to print; to mark; to engrave; a seal; a print; a stamp; a mark; a trace; image; 
遭,[zāo] to meet by chance (usually with misfortune); classifier for events: time, turn, incident; 
历,[lì] old variant of 曆|历[li4]; old variant of 歷|历[li4]; [lì] calendar; [lì] old variant of 歷|历[li4]; [lì] to experience; to undergo; to pass through; all; each; every; history; 
连,[Lián] surname Lian; [lián] to link; to join; to connect; continuously; in succession; including; (used with 也, 都 etc) even; company (military); 
发,[fā] to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds); [fà] hair; Taiwan pr. [fa3]; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
古,[Gǔ] surname Gu; [gǔ] ancient; old; paleo-; 
近,[jìn] near; close to; approximately; 
史,[Shǐ] surname Shi; [shǐ] history; annals; title of an official historian in ancient China; 
吉,[Jí] surname Ji; abbr. for Jilin Province 吉林省[Ji2 lin2 Sheng3]; [jí] lucky; giga- (meaning billion or 10^9); 
同,[tóng] like; same; similar; together; alike; with; 
辣,[là] hot (spicy); pungent; 
吸,[xī] to breathe; to suck in; to absorb; to inhale; 
轻,[qīng] light; easy; gentle; soft; reckless; unimportant; frivolous; small in number; unstressed; neutral; to disparage; 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
团,[tuán] round; lump; ball; to roll into a ball; to gather; regiment; group; society; [tuán] dumpling; 
墓,[mù] grave; tomb; mausoleum; 
士,[Shì] surname Shi; [shì] member of the senior ministerial class (old); scholar (old); bachelor; honorific; first class military rank; specialist worker; 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
踪,[zōng] footprint; trace; tracks; 
失,[shī] to lose; to miss; to fail; 
起,[qǐ] to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group; 
契,[qì] to carve; carved words; to agree; a contract; a deed; 
如,[rú] as; as if; such as; 
贼,[zéi] thief; traitor; wily; deceitful; evil; extremely; 
妻,[qī] wife; [qì] to marry off (a daughter); 
姆,[mǔ] female tutor (old); woman who looks after small children; 
,
安,[An1] surname An; [ān] content; calm; still; quiet; safe; secure; in good health; to find a place for; to install; to fix; to fit; to bring (a charge against sb); to pacify; security; safety; peace; ampere; 
家,[Jiā] surname Jia; [jiā] home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]; 
将,[jiāng] will; shall; to use; to take; to checkmate; just a short while ago; [jiàng] general; commander-in-chief (military); king (chess piece); to command; to lead; [qiāng] to desire; to invite; to request; 
谜,[mèi] see 謎兒|谜儿[mei4 r5], riddle; [mí] riddle; 
