万,[Mò] see 万俟[Mo4 qi2]; [Wàn] surname Wan; [wàn] ten thousand; a great number; 
震,[zhèn] to shake; to vibrate; to jolt; to quake; excited; shocked; one of the Eight Trigrams 八卦[ba1 gua4], symbolizing thunder; ☳; 
难,[nán] difficult (to...); problem; difficulty; difficult; not good; [nàn] disaster; distress; to scold; 
不,[bù] (negative prefix); not; no; 
长,[cháng] length; long; forever; always; constantly; [zhǎng] chief; head; elder; to grow; to develop; to increase; to enhance; 
严,[Yán] surname Yan; [yán] tight (closely sealed); stern; strict; rigorous; severe; father; 
重,[chóng] to repeat; repetition; again; re-; classifier: layer; [zhòng] heavy; serious; to attach importance to; 
中,[Zhōng] China; Chinese; surname Zhong; [zhōng] within; among; in; middle; center; while (doing sth); during; (dialect) OK; all right; [zhòng] to hit (the mark); to be hit by; to suffer; to win (a prize, a lottery); 
都,[Dū] surname Du; [dōu] all; both; entirely; (used for emphasis) even; already; (not) at all; [dū] capital city; metropolis; 
避,[bì] to avoid; to shun; to flee; to escape; to keep away from; to leave; to hide from; 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
遭,[zāo] to meet by chance (usually with misfortune); classifier for events: time, turn, incident; 
也,[Yě] surname Ye; [yě] also; too; (in Classical Chinese) final particle implying affirmation; 
于,[Yú] surname Yu; [yú] to go; to take; sentence-final interrogative particle; variant of 於|于[yu2]; [Yú] surname Yu; [yú] in; at; to; from; by; than; out of; 
亡,[wáng] to die; to lose; to be gone; to flee; deceased; 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
道,[dào] direction; way; road; path; CL:條|条[tiao2],股[gu3]; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; province (of Korea or Japan); 
今,[jīn] today; modern; present; current; this; now; 
遍,[biàn] everywhere; all over; classifier for actions: one time; 
仍,[réng] still; yet; to remain; 
依,[yī] to depend on; to comply with or listen to sb; according to; in the light of; 
通,[tōng] to go through; to know well; (suffix) expert; to connect; to communicate; open; to clear; classifier for letters, telegrams, phone calls etc; [tòng] classifier for an activity, taken in its entirety (tirade of abuse, stint of music playing, bout of drinking etc); 
侵,[qīn] to invade; to encroach; to infringe; to approach; 
迈,[mài] to take a step; to stride; 
健,[jiàn] healthy; to invigorate; to strengthen; to be good at; to be strong in; 
达,[Dá] surname Da; [dá] to attain; to reach; to amount to; to communicate; eminent; 
入,[rù] to enter; to go into; to join; to become a member of; to confirm or agree with; abbr. for 入聲|入声[ru4 sheng1]; 
其,[qí] his; her; its; their; that; such; it (refers to sth preceding it); 
身,[shēn] body; life; oneself; personally; one's morality and conduct; the main part of a structure or body; pregnant; classifier for sets of clothes: suit, twinset; Kangxi radical 158; 
况,[kuàng] moreover; situation; 
出,[chū] to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc; 
化,[huā] variant of 花[hua1]; [huà] to make into; to change into; -ization; to ... -ize; to transform; abbr. for 化學|化学[hua4 xue2]; 
区,[Oū] surname Ou; [qū] area; region; district; small; distinguish; CL:個|个[ge4]; 
厅,[tīng] (reception) hall; living room; office; provincial government department; 
县,[xiàn] county; 
另,[lìng] other; another; separate; separately; 
踪,[zōng] footprint; trace; tracks; 
合,[gě] 100 ml; one-tenth of a peck; measure for dry grain equal to one-tenth of sheng 升 or liter, or one-hundredth dou 斗; [hé] to close; to join; to fit; to be equal to; whole; together; round (in battle); conjunction (astronomy); 1st note of pentatonic scale; old variant of 盒[he2]; 
认,[rèn] to recognize; to know; to admit; 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
啸,[xiào] to hiss; to whistle; 
因,[yīn] cause; reason; because; 
地,[de] -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; [dì] earth; ground; field; place; land; CL:片[pian4]; 
城,[chéng] city walls; city; town; CL:座[zuo4],道[dao4],個|个[ge4]; 
增,[zēng] to increase; to expand; to add; 
处,[chǔ] to reside; to live; to dwell; to be in; to be situated at; to stay; to get along with; to be in a position of; to deal with; to discipline; to punish; [chù] place; location; spot; point; office; department; bureau; respect; classifier for locations or items of damage: spot, point; 
计,[Jì] surname Ji; [jì] to calculate; to compute; to count; to regard as important; to plan; ruse; meter; gauge; 
外,[wài] outside; in addition; foreign; external; 
多,[duō] many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"; 
夜,[yè] night; 
天,[tiān] day; sky; heaven; 
央,[yāng] center; end; to beg; to plead; 
失,[shī] to lose; to miss; to fail; 
警,[jǐng] to alert; to warn; police; 
宫,[Gōng] surname Gong; [gōng] palace; temple; castration (as corporal punishment); first note in pentatonic scale; 
袭,[xí] to attack; to inherit; classifier for suits (esp. of funeral robes); 
察,[Chá] short name for Chahar Province 察哈爾|察哈尔[Cha2 ha1 er3]; [chá] to examine; to inquire; to observe; to inspect; to look into; obvious; clearly evident; 
岛,[dǎo] variant of 島|岛[dao3]; [dǎo] island; CL:個|个[ge4],座[zuo4]; 
岩,[yán] cliff; rock; 
行,[háng] a row; series; age order (of brothers); profession; professional; relating to company; [xíng] to walk; to go; to travel; a visit; temporary; makeshift; current; in circulation; to do; to perform; capable; competent; effective; all right; OK!; will do; behavior; conduct; Taiwan pr. [xing4] for the behavior-conduct sense; 
峻,[jùn] (of mountains) high; harsh or severe; 
布,[bù] cloth; to declare; to announce; to spread; to make known; 
康,[Kāng] surname Kang; [kāng] healthy; peaceful; abundant; 
强,[Qiáng] surname Qiang; [jiàng] stubborn; unyielding; [qiáng] strong; powerful; better; slightly more than; vigorous; violent; best in their category, e.g. see 百強|百强[bai3 qiang2]; [qiǎng] to force; to compel; to strive; to make an effort; [jiàng] variant of 強|强[jiang4]; [qiáng] variant of 強|强[qiang2]; [qiǎng] variant of 強|强[qiang3]; 
落,[là] to leave out; to be missing; to leave behind or forget to bring; to lag or fall behind; [lào] see 落枕[lao4 zhen3] and 落炕[lao4 kang4]; [luò] to fall or drop; (of the sun) to set; (of a tide) to go out; to lower; to decline or sink; to lag or fall behind; to fall onto; to rest with; to get or receive; to write down; whereabouts; settlement; 
很,[hěn] (adverb of degree); quite; very; awfully; 
总,[zǒng] always; to assemble; gather; total; overall; head; chief; general; in every case; 
获,[huò] to catch; to obtain; to capture; [huò] to reap; to harvest; 
恶,[ě] variant of 惡|恶[e3], esp. used in names of chemical components; [ě] see 惡心|恶心[e3 xin1]; [è] evil; fierce; vicious; ugly; coarse; to harm; [wù] to hate; to loathe; ashamed; to fear; to slander; 
至,[zhì] to arrive; most; to; until; 
情,[qíng] feeling; emotion; passion; situation; 
惨,[cǎn] miserable; wretched; cruel; inhuman; disastrous; tragic; dim; gloomy; 
而,[ér] and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast); 
截,[jié] to cut off (a length); to stop; to intercept; section; chunk; length; 
者,[zhě] (after a verb or adjective) one who (is) ...; (after a noun) person involved in ...; -er; -ist; (used after a number or 後|后[hou4] or 前[qian2] to refer to sth mentioned previously); (used after a term, to mark a pause before defining the term); (old) (used at the end of a command); (old) this; 
所,[suǒ] actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive; CL:個|个[ge4]; 
手,[shǒu] hand; (formal) to hold; person engaged in certain types of work; person skilled in certain types of work; personal(ly); convenient; classifier for skill; CL:雙|双[shuang1],隻|只[zhi1]; 
报,[bào] to announce; to inform; report; newspaper; recompense; revenge; CL:份[fen4],張|张[zhang1]; 
罹,[lí] happen to; sorrow; suffer from; 
指,[zhǐ] finger; to point at or to; to indicate or refer to; to depend on; to count on; (of hair) to stand on end; 
网,[wǎng] net; network; 
据,[jù] variant of 據|据[ju4]; [jū] see 拮据[jie2 ju1]; [jù] variant of 據|据[ju4]; [jù] according to; to act in accordance with; to depend on; to seize; to occupy; 
接,[jiē] to receive; to answer (the phone); to meet or welcome sb; to connect; to catch; to join; to extend; to take one's turn on duty; to take over for sb; 
下,[xià] down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action; 
数,[shǔ] to count; to enumerate; to criticize (i.e. enumerate shortcomings); [shù] number; figure; several; CL:個|个[ge4]; [shuò] frequently; repeatedly; 
新,[Xīn] abbr. for Xinjiang 新疆[Xin1 jiang1] or Singapore 新加坡[Xin1 jia1 po1]; surname Xin; [xīn] new; newly; meso- (chemistry); 
方,[Fāng] surname Fang; [fāng] square; power or involution (mathematics); upright; honest; fair and square; direction; side; party (to a contract, dispute etc); place; method; prescription (medicine); just when; only or just; classifier for square things; abbr. for square or cubic meter; 
日,[Rì] abbr. for 日本[Ri4 ben3], Japan; [rì] sun; day; date, day of the month; 
约,[yāo] to weigh in a balance or on a scale; [yuē] to make an appointment; to invite; approximately; pact; treaty; to economize; to restrict; to reduce (a fraction); concise; 
第,[dì] (prefix indicating ordinal number, e.g. first, number two etc); 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
明,[Míng] Ming Dynasty (1368-1644); surname Ming; Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God; [míng] bright; opposite: dark 暗[an4]; (of meaning) clear; to understand; next; public or open; wise; generic term for a sacrifice to the gods; 
最,[zuì] most; the most; -est (superlative suffix); 
月,[yuè] moon; month; monthly; CL:個|个[ge4],輪|轮[lun2]; 
有,[yǒu] to have; there is; there are; to exist; to be; 
福,[Fú] surname Fu; abbr. for Fujian province 福建省[Fu2 jian4 sheng3]; [fú] good fortune; happiness; luck; 
期,[qī] a period of time; phase; stage; (used for issue of a periodical, courses of study); time; term; period; to hope; Taiwan pr. [qi2]; 
本,[běn] roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally; 
,
社,[shè] society; group; club; agency; (old) god of the land; 
止,[zhǐ] to stop; to prohibit; until; only; 
此,[cǐ] this; these; 
确,[què] variant of 確|确[que4]; variant of 埆[que4]; [què] authenticated; solid; firm; real; true; 
死,[sǐ] to die; impassable; uncrossable; inflexible; rigid; extremely; damned; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
电,[diàn] electric; electricity; electrical; 
民,[Mín] surname Min; [mín] the people; nationality; citizen; 
沿,[yán] along; to follow (a line, tradition etc); to carry on; to trim (a border with braid, tape etc); border; edge; 
生,[shēng] to be born; to give birth; life; to grow; raw; uncooked; student; 
活,[huó] to live; alive; living; work; workmanship; 
海,[Hǎi] surname Hai; [hǎi] ocean; sea; CL:個|个[ge4],片[pian4]; great number of people or things; (dialect) numerous; 
状,[zhuàng] accusation; suit; state; condition; strong; great; -shaped; 
深,[shēn] close; deep; late; profound; dark (of color, water etc); 
然,[rán] correct; right; so; thus; like this; -ly; 
