心,[xīn] heart; mind; intention; center; core; CL:顆|颗[ke1],個|个[ge4]; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
麻,[Má] surname Ma; [má] generic name for hemp, flax etc; hemp or flax fiber for textile materials; sesame; CL:縷|缕[lu:3]; (of materials) rough or coarse; pocked; pitted; to have pins and needles or tingling; to feel numb; 
与,[yú] variant of 歟|欤[yu2]; [yǔ] and; to give; together with; [yù] to take part in; 
世,[Shì] surname Shi; [shì] life; age; generation; era; world; lifetime; epoch; descendant; noble; 
鲁,[Lǔ] surname Lu; Shandong Province 山東省|山东省[Shan1 dong1 Sheng3]; vassal state during the Zhou Dynasty (1066-221 BC) in modern day Shandong Province; [lǔ] crass; stupid; rude; 
高,[Gāo] surname Gao; [gāo] high; tall; above average; loud; your (honorific); 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
中,[Zhōng] China; Chinese; surname Zhong; [zhōng] within; among; in; middle; center; while (doing sth); during; (dialect) OK; all right; [zhòng] to hit (the mark); to be hit by; to suffer; to win (a prize, a lottery); 
主,[zhǔ] owner; master; host; individual or party concerned; God; Lord; main; to indicate or signify; trump card (in card games); 
饰,[shì] decoration; ornament; to decorate; to adorn; to hide; to conceal (a fault); excuse (to hide a fault); to play a role (in opera); to impersonate; 
久,[jiǔ] (long) time; (long) duration of time; 
之,[zhī] (possessive particle, literary equivalent of 的[de5]); him; her; it; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
争,[zhēng] to strive for; to vie for; to argue or debate; deficient or lacking (dialect); how or what (literary); 
颖,[Yǐng] surname Ying; [yǐng] head of grain; husk; tip; point; clever; gifted; outstanding; 
亲,[qīn] parent; one's own (flesh and blood); relative; related; marriage; bride; close; intimate; in person; first-hand; in favor of; pro-; to kiss; [qìng] parents-in-law of one's offspring; 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
霸,[bà] hegemon; tyrant; lord; feudal chief; to rule by force; to usurp; (in modern advertising) master; 
介,[jiè] to introduce; to lie between; between; shell; armor; 
他,[tā] he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another; 
代,[dài] to substitute; to act on behalf of others; to replace; generation; dynasty; age; period; (historical) era; (geological) eon; 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
传,[chuán] to pass on; to spread; to transmit; to infect; to transfer; to circulate; to conduct (electricity); [zhuàn] biography; historical narrative; commentaries; relay station; 
险,[xiǎn] danger; dangerous; rugged; 
位,[wèi] position; location; place; seat; classifier for people (honorific); classifier for binary bits (e.g. 十六位 16-bit or 2 bytes); 
际,[jì] border; edge; boundary; interval; between; inter-; to meet; time; occasion; to meet with (circumstances); 
体,[tǐ] body; form; style; system; 
作,[zuò] to do; to grow; to write or compose; to pretend; to regard as; to feel; writings or works; 
儿,[ér] son; [r] non-syllabic diminutive suffix; retroflex final; 
阴,[Yīn] surname Yin; [yīn] overcast (weather); cloudy; shady; Yin (the negative principle of Yin and Yang); negative (electric.); feminine; moon; implicit; hidden; genitalia; [yīn] variant of 陰|阴[yin1]; 
充,[chōng] to fill; to satisfy; to fulfill; to act in place of; substitute; sufficient; full; 
间,[jiān] between; among; within a definite time or space; room; section of a room or lateral space between two pairs of pillars; classifier for rooms; [jiàn] gap; to separate; to thin out (seedlings); to sow discontent; 
克,[kè] to be able to; to subdue; to restrain; to overcome; gram; Tibetan unit of land area, about 6 ares; 
入,[rù] to enter; to go into; to join; to become a member of; to confirm or agree with; abbr. for 入聲|入声[ru4 sheng1]; 
全,[Quán] surname Quan; [quán] all; whole; entire; every; complete; 
野,[yě] field; plain; open space; limit; boundary; rude; feral; 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
公,[gōng] public; collectively owned; common; international (e.g. high seas, metric system, calendar); make public; fair; just; Duke, highest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; honorable (gentlemen); father-in-law; male (animal); 
邪,[xié] demonic; iniquitous; nefarious; evil; unhealthy influences that cause disease (Chinese medicine); 
兰,[Lán] surname Lan; abbr. for Lanzhou 蘭州|兰州[Lan2 zhou1], Gansu; [lán] orchid (蘭花|兰花 Cymbidium goeringii); fragrant thoroughwort (蘭草|兰草 Eupatorium fortunei); lily magnolia (木蘭|木兰); 
其,[qí] his; her; its; their; that; such; it (refers to sth preceding it); 
迫,[pò] to force; to compel; to approach or go towards; urgent; pressing; 
内,[nèi] inside; inner; internal; within; interior; 
冒,[Mào] surname Mao; [mào] to emit; to give off; to send out (or up, forth); brave; bold; to cover; to act under false pretences; 
进,[jìn] to advance; to enter; to come (or go) into; to receive or admit; to eat or drink; to submit or present; (used after a verb) into, in; to score a goal; 
凯,[Kǎi] surname Kai; [kǎi] triumphant; victorious; chi (Greek letter Χχ); 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
则,[zé] conjunction used to express contrast with a previous sentence or clause; standard; norm; rule; to imitate; to follow; then; principle; classifier for written items (such as an official statement); 
创,[chuàng] variant of 創|创[chuang4]; [chuàng] variant of 創|创[chuang4]; [chuāng] a wound; cut; injury; trauma; [chuàng] to begin; to initiate; to inaugurate; to start; to create; 
辉,[huī] splendor; to shine upon; 
前,[qián] front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly; 
剧,[jù] drama; play; show; severe; 
软,[ruǎn] soft; flexible; [ruǎn] variant of 軟|软[ruan3]; 
加,[Jiā] abbr. for Canada 加拿大[Jia1 na2 da4]; [jiā] to add; plus; (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned); to apply (restrictions etc) to (sb); to give (support, consideration etc) to (sth); 
勃,[bó] flourishing; prosperous; suddenly; abruptly; 
踪,[zōng] footprint; trace; tracks; 
化,[huā] variant of 花[hua1]; [huà] to make into; to change into; -ization; to ... -ize; to transform; abbr. for 化學|化学[hua4 xue2]; 
却,[què] old variant of 卻|却[que4]; [què] but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though; 
卷,[juǎn] to roll up; roll; classifier for small rolled things (wad of paper money, movie reel etc); [juàn] scroll; book; volume; chapter; examination paper; classifier for books, paintings: volume, scroll; 
赫,[Hè] surname He; abbr. for Herz Hz 赫茲|赫兹[He4 zi1]; [hè] awe-inspiring; hertz; abbr. for herz hz 赫茲|赫兹[He4 zi1] (cycles per second); 
去,[qù] to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed; 
可,[kě] can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very; [kè] see 可汗[ke4 han2]; 
资,[zī] resources; capital; to provide; to supply; to support; money; expense; 
司,[Sī] surname Si; [sī] to take charge of; to manage; department (under a ministry); 
吉,[Jí] surname Ji; abbr. for Jilin Province 吉林省[Ji2 lin2 Sheng3]; [jí] lucky; giga- (meaning billion or 10^9); 
同,[tóng] like; same; similar; together; alike; with; 
貌,[mào] appearance; 
后,[Hòu] surname Hou; [hòu] empress; queen; [hòu] back; behind; rear; afterwards; after; later; 
员,[yuán] person; employee; member; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
谋,[móu] to plan; to seek; scheme; 
场,[cháng] threshing floor; classifier for events and happenings: spell, episode, bout; [chǎng] large place used for a specific purpose; stage; scene (of a play); classifier for sporting or recreational activities; classifier for number of exams; [cháng] variant of 場|场[chang2]; [chǎng] variant of 場|场[chang3]; 
天,[tiān] day; sky; heaven; 
,
被,[bèi] quilt; by; (indicates passive-voice clauses); (literary) to cover; to meet with; 
夫,[fū] husband; man; manual worker; conscripted laborer (old); [fú] (classical) this, that; he, she, they; (exclamatory final particle); (initial particle, introduces an opinion); 
失,[shī] to lose; to miss; to fail; 
虚,[xū] emptiness; void; abstract theory or guiding principles; empty or unoccupied; diffident or timid; false; humble or modest; (of health) weak; virtual; in vain; 
姆,[mǔ] female tutor (old); woman who looks after small children; 
子,[zǐ] son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; [zi] (noun suffix); 
字,[zì] letter; symbol; character; word; CL:個|个[ge4]; courtesy or style name traditionally given to males aged 20 in dynastic China; 
实,[shí] real; true; honest; really; solid; fruit; seed; definitely; 
萨,[Sà] Bodhisattva; surname Sa; 
室,[Shì] surname Shi; [shì] room; work unit; grave; scabbard; family or clan; one of the 28 constellations of Chinese astronomy; 
容,[Róng] surname Rong; [róng] to hold; to contain; to allow; to tolerate; appearance; look; countenance; 
荒,[huāng] desolate; shortage; scarce; out of practice; absurd; uncultivated; to neglect; 
将,[jiāng] will; shall; to use; to take; to checkmate; just a short while ago; [jiàng] general; commander-in-chief (military); king (chess piece); to command; to lead; [qiāng] to desire; to invite; to request; 
层,[céng] layer; stratum; laminated; floor (of a building); storey; classifier for layers; repeated; sheaf (math.); 
工,[gōng] work; worker; skill; profession; trade; craft; labor; 
英,[Yīng] United Kingdom; British; England; English; abbr. for 英國|英国[Ying1 guo2]; [yīng] brave; 
聪,[cōng] quick at hearing; wise; clever; sharp-witted; intelligent; acute; 
者,[zhě] (after a verb or adjective) one who (is) ...; (after a noun) person involved in ...; -er; -ist; (used after a number or 後|后[hou4] or 前[qian2] to refer to sth mentioned previously); (used after a term, to mark a pause before defining the term); (old) (used at the end of a command); (old) this; 
已,[yǐ] already; to stop; then; afterwards; 
置,[zhì] to install; to place; to put; to buy; 
布,[bù] cloth; to declare; to announce; to spread; to make known; 
带,[dài] band; belt; girdle; ribbon; tire; area; zone; region; CL:條|条[tiao2]; to wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; to look after; to raise; 
常,[Cháng] surname Chang; [cháng] always; ever; often; frequently; common; general; constant; 
年,[Nián] surname Nian; [nián] year; CL:個|个[ge4]; 
继,[jì] to continue; to follow after; to go on with; to succeed; to inherit; then; afterwards; 
给,[gěi] to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle); [jǐ] to supply; to provide; 
幼,[yòu] young; 
废,[fèi] to abolish; to abandon; to abrogate; to discard; to depose; to oust; crippled; abandoned; waste; [fèi] variant of 廢|废[fei4]; disabled; 
康,[Kāng] surname Kang; [kāng] healthy; peaceful; abundant; 
建,[jiàn] to establish; to found; to set up; to build; to construct; 
开,[kāi] to open; to start; to turn on; to boil; to write out (a prescription, check, invoice etc); to operate (vehicle); abbr. for 開爾文|开尔文 degrees Kelvin; 
结,[jiē] to bear fruit; to produce; firm; solid; [jié] knot; sturdy; bond; to tie; to bind; to check out (of a hotel); 
弗,[fú] not; 
得,[dé] to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished; [de] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; [děi] to have to; must; ought to; to need to; 
经,[Jīng] surname Jing; [jīng] classics; sacred book; scripture; to pass through; to undergo; to bear; to endure; warp (textile); longitude; menstruation; channel (TCM); abbr. for economics 經濟|经济[jing1 ji4]; 
德,[Dé] Germany; German; abbr. for 德國|德国[De2 guo2]; [dé] virtue; goodness; morality; ethics; kindness; favor; character; kind; 
不,[bù] (negative prefix); not; no; 
息,[xī] breath; news; interest (on an investment or loan); to cease; to stop; to rest; Taiwan pr. [xi2]; 
恶,[ě] variant of 惡|恶[e3], esp. used in names of chemical components; [ě] see 惡心|恶心[e3 xin1]; [è] evil; fierce; vicious; ugly; coarse; to harm; [wù] to hate; to loathe; ashamed; to fear; to slander; 
情,[qíng] feeling; emotion; passion; situation; 
惹,[rě] to provoke; to irritate; to vex; to stir up; to anger; to attract (troubles); to cause (problems); 
战,[zhàn] to fight; fight; war; battle; 
才,[cái] ability; talent; sb of a certain type; a capable individual; only; only then; just now; 
承,[Chéng] surname Cheng; Cheng (c. 2000 BC), third of the legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God; [chéng] to bear; to carry; to hold; to continue; to undertake; to take charge; owing to; due to; to receive; 
拟,[nǐ] doubtful; suspicious; variant of 擬|拟[ni3]; to emulate; to imitate; [nǐ] to plan to; to draft (a plan); to imitate; to assess; to compare; pseudo-; 
持,[chí] to hold; to grasp; to support; to maintain; to persevere; to manage; to run (i.e. administer); to control; 
掌,[zhǎng] palm of the hand; sole of the foot; paw; horseshoe; to slap; to hold in one's hand; to wield; 
纪,[Jǐ] surname Ji; also pr. [Ji4]; [jì] order; discipline; age; era; period; to chronicle; 
探,[tàn] to explore; to search out; to scout; to visit; to stretch forward; 
精,[jīng] essence; extract; vitality; energy; semen; sperm; mythical goblin spirit; highly perfected; elite; the pick of sth; proficient (refined ability); extremely (fine); selected rice (archaic); 
控,[kòng] to control; to accuse; to charge; to sue; to invert a container to empty it; (suffix) (slang) buff; enthusiast; devotee; -phile or -philia; 
数,[shǔ] to count; to enumerate; to criticize (i.e. enumerate shortcomings); [shù] number; figure; several; CL:個|个[ge4]; [shuò] frequently; repeatedly; 
文,[Wén] surname Wen; [wén] language; culture; writing; formal; literary; gentle; (old) classifier for coins; Kangxi radical 118; 
斯,[Sī] Slovakia; Slovak; abbr. for 斯洛伐克[Si1 luo4 fa2 ke4]; [sī] (phonetic); this; 
新,[Xīn] abbr. for Xinjiang 新疆[Xin1 jiang1] or Singapore 新加坡[Xin1 jia1 po1]; surname Xin; [xīn] new; newly; meso- (chemistry); 
无,[wú] not to have; no; none; not; to lack; un-; -less; 
类,[lèi] kind; type; class; category; similar; like; to resemble; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
简,[jiǎn] simple; uncomplicated; letter; to choose; to select; bamboo strips used for writing (old); 
是,[shì] is; are; am; yes; to be; 
有,[yǒu] to have; there is; there are; to exist; to be; 
竟,[jìng] unexpectedly; actually; to go so far as to; indeed; 
来,[lái] to come; to arrive; to come round; ever since; next; 
杰,[jié] hero; heroic; outstanding person; prominent; distinguished; [jié] variant of 傑|杰[jie2]; 
秘,[bì] see 秘魯|秘鲁[Bi4 lu3]; [mì] secret; secretary; 
林,[Lín] surname Lin; [lín] woods; forest; CL:片[pian4]; circle(s) (i.e. specific group of people); a collection (of similar things); 
果,[guǒ] fruit; result; resolute; indeed; if really; 
查,[Zhā] surname Zha; [chá] to research; to check; to investigate; to examine; to refer to; to look up (e.g. a word in a dictionary); [zhā] see 山查[shan1 zha1]; 
样,[yàng] manner; pattern; way; appearance; shape; CL:個|个[ge4]; 
此,[cǐ] this; these; 
比,[Bǐ] Belgium; Belgian; abbr. for 比利時|比利时[Bi3 li4 shi2]; [bǐ] (particle used for comparison and "-er than"); to compare; to contrast; to gesture (with hands); ratio; [bì] to associate with; to be near; 
满,[Mǎn] Manchu ethnic group; [mǎn] to fill; full; filled; packed; fully; completely; quite; to reach the limit; to satisfy; satisfied; contented; 
烦,[fán] to feel vexed; to bother; to trouble; superfluous and confusing; edgy; 
煌,[huáng] brilliant; 
父,[fù] father; 
神,[Shén] God; abbr. for 神舟[Shen2 zhou1]; [shén] deity; soul; spirit; unusual; mysterious; lively; expressive; expression; look; CL:個|个[ge4]; (slang) awesome; amazing; 
特,[tè] special; unique; distinguished; especially; unusual; very; 
由,[yóu] to follow; from; it is for...to; reason; cause; because of; due to; to; to leave it (to sb); by (introduces passive verb); 
电,[diàn] electric; electricity; electrical; 
知,[zhī] to know; to be aware; 
界,[jiè] boundary; scope; extent; circles; group; kingdom (taxonomy); 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
着,[zhāo] (chess) move; trick; all right!; (dialect) to add; [zháo] to touch; to come in contact with; to feel; to be affected by; to catch fire; to fall asleep; to burn; [zhe] aspect particle indicating action in progress; [zhuó] to wear (clothes); to contact; to use; to apply; 
电子,[diàn zǐ] electronic; electron (particle physics); 
麻烦,[má fan] inconvenient; troublesome; annoying; to trouble or bother sb; to put sb to trouble; 
神秘,[shén mì] mysterious; mystery; 
杰夫,[Jié fū] Jeff or Geoff (name); 
有着,[yǒu zhe] to have; to possess; 
时代,[Shí dài] Time, US weekly news magazine; [shí dài] age; era; epoch; period; CL:個|个[ge4]; 
简介,[jiǎn jiè] summary; brief introduction; 
无比,[wú bǐ] incomparable; matchless; 
探查,[tàn chá] to examine; to probe; to scout out; to nose around; 
精神,[jīng shén] spirit; mind; consciousness; thought; mental; psychological; essence; gist; CL:個|个[ge4]; [jīng shen] vigor; vitality; drive; spiritual; 
掌控,[zhǎng kòng] to control; in control of; 
得知,[dé zhī] to find out; to know; to learn about; 
经常,[jīng cháng] frequently; constantly; regularly; often; day-to-day; everyday; daily; 
开创,[kāi chuàng] to initiate; to start; to found; 
结果,[jiē guǒ] to bear fruit; CL:個|个[ge4]; [jié guǒ] outcome; result; conclusion; in the end; as a result; to kill; to dispatch; 
年幼,[nián yòu] young; underage; 
年代,[nián dài] a decade of a century (e.g. the Sixties); age; era; period; CL:個|个[ge4]; 
继承,[jì chéng] to inherit; to carry on; to succeed; 
已久,[yǐ jiǔ] already a long time; 
不久,[bù jiǔ] not long (after); before too long; soon; soon after; 
世界,[shì jiè] world; CL:個|个[ge4]; 
聪颖,[cōng yǐng] smart; intelligent; 
工作,[gōng zuò] to work; (of a machine) to operate; job; work; task; CL:個|个[ge4],份[fen4],項|项[xiang4]; 
容貌,[róng mào] one's appearance; one's aspect; looks; features; 
荒废,[huāng fèi] to abandon (cultivated fields); no longer cultivated; to lie waste; wasted; to neglect (one's work or study); 
实际,[shí jì] reality; practice; practical; realistic; real; actual; 
失踪,[shī zōng] to be missing; to disappear; unaccounted for; 
高层,[gāo céng] high level; high class; 
天资,[tiān zī] innate talent; gift; flair; native resource; dowry; 
被迫,[bèi pò] to be compelled; to be forced; 
天才,[tiān cái] talent; gift; genius; talented; gifted; 
,
父亲,[fù qīn] father; also pr. [fu4 qin5]; CL:個|个[ge4]; 
同样,[tóng yàng] same; equal; equivalent; 
可是,[kě shì] but; however; (used for emphasis) indeed; 
,
赫德,[Hè dé] Hart or Herd (name); Robert Hart (1835-1911), Englishman who served 1863-1911 in Qing dynasty customs office; 
勃勃,[bó bó] thriving; vigorous; exuberant; 
剧情,[jù qíng] story line; plot; 
软体,[ruǎn tǐ] software (Tw); soft-bodied (animal); 
创建,[chuàng jiàn] to found; to establish; 
辉煌,[huī huáng] splendid; glorious; 
凯文,[Kǎi wén] Kevin (person name); 
这个,[zhè ge] this; this one; 
冒险,[mào xiǎn] to take risks; to take chances; foray; adventure; 
进入,[jìn rù] to enter; to join; to go into; 
其他,[qí tā] other; (sth or sb) else; the rest; 
公司,[gōng sī] (business) company; company; firm; corporation; incorporated; CL:家[jia1]; 
邪恶,[xié è] sinister; vicious; wicked; evil; 
全新,[quán xīn] all new; completely new; 
全数,[quán shù] the entire sum; the whole amount; 
野心,[yě xīn] ambition; wild schemes; careerism; 
充满,[chōng mǎn] full of; brimming with; very full; permeated; 
儿子,[ér zi] son; 
阴谋,[yīn móu] plot; conspiracy; 
位置,[wèi zhi] position; place; seat; CL:個|个[ge4]; 
传来,[chuán lái] (of a sound) to come through; to be heard; (of news) to arrive; 
人类,[rén lèi] humanity; human race; mankind; 
争霸,[zhēng bà] to contend for hegemony; a power struggle; 
主持,[zhǔ chí] to take charge of; to manage or direct; to preside over; to uphold; to stand for (justice etc); to host (a TV or radio program etc); (TV) anchor; 
世纪,[shì jì] century; CL:個|个[ge4]; 
工作室,[gōng zuò shì] studio; workshop; 
虚拟世界,[xū nǐ shì jiè] virtual reality; web based fantasy world; 
工作人员,[gōng zuò rén yuán] staff member; 
在此之后,[zài cǐ zhī hòu] after this; afterwards; next; 
