控,[kòng] to control; to accuse; to charge; to sue; to invert a container to empty it; (suffix) (slang) buff; enthusiast; devotee; -phile or -philia; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
中,[Zhōng] China; Chinese; surname Zhong; [zhōng] within; among; in; middle; center; while (doing sth); during; (dialect) OK; all right; [zhòng] to hit (the mark); to be hit by; to suffer; to win (a prize, a lottery); 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
争,[zhēng] to strive for; to vie for; to argue or debate; deficient or lacking (dialect); how or what (literary); 
介,[jiè] to introduce; to lie between; between; shell; armor; 
他,[tā] he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another; 
代,[dài] to substitute; to act on behalf of others; to replace; generation; dynasty; age; period; (historical) era; (geological) eon; 
任,[Rèn] surname Ren; [rèn] to assign; to appoint; to take up a post; office; responsibility; to let; to allow; to give free rein to; no matter (how, what etc); classifier for the number of terms served in office, post, or rank; 
会,[huì] can; to be possible; to be able to; will; to be likely to; to be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is [hui3]); [kuài] to balance an account; accountancy; accounting; 
何,[Hé] surname He; [hé] what; how; why; which; carry; 
侵,[qīn] to invade; to encroach; to infringe; to approach; 
保,[Bǎo] Bulgaria; Bulgarian; abbr. for 保加利亞|保加利亚[Bao3 jia1 li4 ya4]; [bǎo] to defend; to protect; to keep; to guarantee; to ensure; 
黑,[Hēi] abbr. for Heilongjiang province 黑龍江|黑龙江[Hei1 long2 jiang1]; [hēi] black; dark; sinister; secret; shady; illegal; (loanword) to hack (computing); 
入,[rù] to enter; to go into; to join; to become a member of; to confirm or agree with; abbr. for 入聲|入声[ru4 sheng1]; 
风,[fēng] wind; news; style; custom; manner; CL:陣|阵[zhen4],絲|丝[si1]; 
到,[dào] to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action); 
雷,[Léi] surname Lei; [léi] thunder; mine (weapon); (Internet slang) terrifying; terrific; 
剧,[jù] drama; play; show; severe; 
雄,[xióng] male; staminate; grand; imposing; powerful; mighty; person or state having great power and influence; 
力,[Lì] surname Li; [lì] power; force; strength; ability; strenuously; 
阿,[A1] abbr. for Afghanistan 阿富汗[A1 fu4 han4]; [ā] prefix used before monosyllabic names, kinship terms etc to indicate familiarity; used in transliteration; also pr. [a4]; [ē] flatter; 
加,[Jiā] abbr. for Canada 加拿大[Jia1 na2 da4]; [jiā] to add; plus; (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned); to apply (restrictions etc) to (sb); to give (support, consideration etc) to (sth); 
势,[shì] power; influence; potential; momentum; tendency; trend; situation; conditions; outward appearance; sign; gesture; male genitals; 
北,[běi] north; to be defeated (classical); 
闪,[Shǎn] surname Shan; [shǎn] to dodge; to duck out of the way; to beat it; shaken (by a fall); to sprain; to pull a muscle; lightning; spark; a flash; to flash (across one's mind); to leave behind; 
却,[què] old variant of 卻|却[que4]; [què] but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though; 
发,[fā] to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds); [fà] hair; Taiwan pr. [fa3]; 
量,[liáng] to measure; [liàng] capacity; quantity; amount; to estimate; abbr. for 量詞|量词[liang4 ci2], classifier (in Chinese grammar); measure word; 
古,[Gǔ] surname Gu; [gǔ] ancient; old; paleo-; 
重,[chóng] to repeat; repetition; again; re-; classifier: layer; [zhòng] heavy; serious; to attach importance to; 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
因,[yīn] cause; reason; because; 
国,[Guó] surname Guo; [guó] country; nation; state; national; CL:個|个[ge4]; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
地,[de] -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; [dì] earth; ground; field; place; land; CL:片[pian4]; 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
如,[rú] as; as if; such as; 
配,[pèi] to join; to fit; to mate; to mix; to match; to deserve; to make up (a prescription); 
,
遭,[zāo] to meet by chance (usually with misfortune); classifier for events: time, turn, incident; 
尔,[ěr] variant of 爾|尔[er3]; [ěr] thus; so; like that; you; thou; 
德,[Dé] Germany; German; abbr. for 德國|德国[De2 guo2]; [dé] virtue; goodness; morality; ethics; kindness; favor; character; kind; 
恶,[ě] variant of 惡|恶[e3], esp. used in names of chemical components; [ě] see 惡心|恶心[e3 xin1]; [è] evil; fierce; vicious; ugly; coarse; to harm; [wù] to hate; to loathe; ashamed; to fear; to slander; 
述,[shù] to state; to tell; to narrate; to relate; 
情,[qíng] feeling; emotion; passion; situation; 
成,[Chéng] surname Cheng; [chéng] to succeed; to finish; to complete; to accomplish; to become; to turn into; to be all right; OK!; one tenth; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
战,[zhàn] to fight; fight; war; battle; 
负,[fù] to bear; to carry (on one's back); to turn one's back on; to be defeated; negative (math. etc); 
话,[huà] dialect; language; spoken words; speech; talk; words; conversation; what sb said; CL:種|种[zhong3],席[xi2],句[ju4],口[kou3],番[fan1]; [huà] old variant of 話|话[hua4]; 
托,[tuō] prop; support (for weight); rest (e.g. arm rest); thanks to; to hold in one's hand; to support in one's palm; to give; to base; to commit; to set; Torr (unit of pressure); 
护,[hù] to protect; 
掌,[zhǎng] palm of the hand; sole of the foot; paw; horseshoe; to slap; to hold in one's hand; to wield; 
讲,[jiǎng] to speak; to explain; to negotiate; to emphasise; to be particular about; as far as sth is concerned; speech; lecture; 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
斯,[Sī] Slovakia; Slovak; abbr. for 斯洛伐克[Si1 luo4 fa2 ke4]; [sī] (phonetic); this; 
暗,[àn] dark; gloomy; hidden; secret; muddled; obscure; in the dark; 
暴,[Bào] surname Bao; [bào] sudden; violent; cruel; to show or expose; to injure; 
被,[bèi] quilt; by; (indicates passive-voice clauses); (literary) to cover; to meet with; 
来,[lái] to come; to arrive; to come round; ever since; next; 
欧,[Oū] Europe; abbr. for 歐洲|欧洲[Ou1 zhou1]; surname Ou; [ōu] (used for transliteration); old variant of 謳|讴[ou1]; 
正,[zhēng] first month of the lunar year; [zhèng] just (right); main; upright; straight; correct; positive; greater than zero; principle; to correct; to rectify; 
活,[huó] to live; alive; living; work; workmanship; 
派,[pài] clique; school; group; faction; to dispatch; to send; to assign; to appoint; pi (Greek letter Ππ); the circular ratio pi = 3.1415926; (loanword) pie; 
火,[Huǒ] surname Huo; [huǒ] fire; urgent; ammunition; fiery or flaming; internal heat (Chinese medicine); hot (popular); classifier for military units (old); 
点,[diǎn] point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; (old) one fifth of a two-hour watch 更[geng1]; dot stroke in Chinese characters; classifier for items; 
英,[Yīng] United Kingdom; British; England; English; abbr. for 英國|英国[Ying1 guo2]; [yīng] brave; 
然,[rán] correct; right; so; thus; like this; -ly; 
肩,[jiān] shoulder; to shoulder (responsibilities etc); 
燃,[rán] to burn; to ignite; to light; fig. to spark off (hopes); to start (debate); to raise (hopes); 
王,[Wáng] surname Wang; [wáng] king or monarch; best or strongest of its type; grand; great; [wàng] to rule; to reign over; 
而,[ér] and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast); 
球,[qiú] ball; sphere; globe; CL:個|个[ge4]; ball game; match; CL:場|场[chang3]; 
生,[shēng] to be born; to give birth; life; to grow; raw; uncooked; student; 
简,[jiǎn] simple; uncomplicated; letter; to choose; to select; bamboo strips used for writing (old); 
电,[diàn] electric; electricity; electrical; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
真,[zhēn] really; truly; indeed; real; true; genuine; 
神,[Shén] God; abbr. for 神舟[Shen2 zhou1]; [shén] deity; soul; spirit; unusual; mysterious; lively; expressive; expression; look; CL:個|个[ge4]; (slang) awesome; amazing; 
着,[zhāo] (chess) move; trick; all right!; (dialect) to add; [zháo] to touch; to come in contact with; to feel; to be affected by; to catch fire; to fall asleep; to burn; [zhe] aspect particle indicating action in progress; [zhuó] to wear (clothes); to contact; to use; to apply; 
这里,[zhè lǐ] variant of 這裡|这里[zhe4 li3]; [zhè lǐ] here; 
真正,[zhēn zhèng] genuine; real; true; genuinely; 
生活,[shēng huó] life; activity; to live; livelihood; 
简介,[jiǎn jiè] summary; brief introduction; 
王国,[wáng guó] kingdom; realm; 
然而,[rán ér] however; yet; but; 
肩负,[jiān fù] to shoulder (a burden); to bear; to suffer (a disadvantage); 
点燃,[diǎn rán] to ignite; to set on fire; aflame; 
英雄,[yīng xióng] hero; CL:個|个[ge4]; 
暴风,[bào fēng] storm wind; storm (force 11 wind); 
掌控,[zhǎng kòng] to control; in control of; 
讲述,[jiǎng shù] to talk about; to narrate; to give an account; 
战火,[zhàn huǒ] conflagration; the fire of war; 
战争,[zhàn zhēng] war; conflict; CL:場|场[chang2],次[ci4]; 
成为,[chéng wéi] to become; to turn into; 
神话,[shén huà] legend; fairy tale; myth; mythology; 
保护,[bǎo hù] to protect; to defend; to safeguard; protection; CL:種|种[zhong3]; 
学会,[xué huì] to learn; to master; institute; learned society; (scholarly) association; 
如何,[rú hé] how; what way; what; 
地球,[dì qiú] the earth; CL:個|个[ge4]; 
古代,[gǔ dài] ancient times; olden times; 
重任,[zhòng rèn] heavy responsibility; 
发配,[fā pèi] to send away to serve a penal sentence; 
北欧,[Běi Oū] north Europe; Scandinavia; 
闪电,[shǎn diàn] lightning; CL:道[dao4]; 
力量,[lì liang] power; force; strength; 
剧情,[jù qíng] story line; plot; 
