undefinedमहंगा;expensive - mahangaa 
बस;bus - bas
फ़िल्म ;film - film
देर;late - Der
क्या;what - kyaa
कहाँ;where - kahaan
दिन;day - din
चाहती;to want (when said by a female) - chahTii
भी;also - bhee
अच्छा;nice - achhaa
आपका;your (formal) - aap kaa
मेरा;my (masculine) - meraa
नाम;name - naam
है;is - hai
शुक्रिया;thank you - shukriyaa
मैं;I - mai
में;in - men
कैसे ;how - kaise
के साथ;with - ke saath
में;at, in - mein
माता;mother - maataa
रहती;to live (said by a female) - rahTii
अपने;my own - apne
अकेली;alone, single (said by a female) - akelii
मुंबई;Mumbai - mumbai
आप  ;you (formal) - aap
पिता;father - piTaa
से;from - se 	
वह ;he,she,it,that - voh
बहुत अच्छा;very good - bahut achhaa 	
आप;you (formal) - aap
कैसी;how (female) 	  - kaisii
हूँ;am  (infinitive- to be) 	   - hoon
हैं;are (infinitive- to be)  - hain
ठीक;okay - theek
धन्यवाद;thank you - dhanyavaad
बेटा;child, son - beTaa
क्या ;what - kyaa 	
आगे;ahead, in front - aage
तरफ;way,direction - taraf
इस;this - is
सीधे;straight - siiDHe
कितने;how much,how many - kitne
बजे;time, o'clock - baje
बजा;time, o'clock - bajaa
हमारा;our - hamaara
टीवी कार्यक्रम;TV program 	 - tii vii kaaryakram 	
शुरू;start - shuroo
साढ़े;half - saarhe
तीन;three 	 - teen
आपकी;your  - aapkii
कितनी;how many - kitnee
बिल्लियाँ;cats - billiyaan 	
हैं;are (infinitive to-be) - hain
मेरी ;my (feminine) - meree
बिल्ली;cat - billii
कुत्ते;dogs - kutte
कितने ;how many - kitne
आप कैसी हैं? (to a female);How are you? - Aap kaisee hain?
इसलिये;so,that's why - isliye
कर रही हूँ (female);am doing - kar rahee hoon
व्रत;to fast - vrat
थक गई (female);tired - thak gaee 
हूँ;am (infinitive to-be) - hoon
अच्छी (female);good 	 - achhee
भूखी (female);hungry - bhookhee
कृपया;please - kripyaa
नमस्ते;hello - namasTe
खाती हूँ;(I) eat - khaatee hoon
गोमांस;beef - gomaans
सिर्फ ;only - sirf
लेकिन;but - lekin
जी हाँ;yes (formal) - jee haan
मांसाहारी;non-vegetarian - maansaahaaree
तो;so - to
नहीं;no,not - naheen
आप ;you (formal) - aap
शाकाहारी;vegetarian - shaakaahaarii
आती;to come - aaTii
सवा;quarter past - sawaa
अभी ;now - abhee
दो बजकर बीस मिनट;two twenty - do bajkar bees minat
थोड़ी;little - thoree
बस ;bus - bas
मैं ;I - main
अमेरिका;America - amerikaa
तो ;so - to
अमेरिकी;American - amerikee
तुम्हारे;your  - tumhaare
कितने;how many - kiTne
तुम्हारी;your - tumhaaree
भाई;brother - bhaai
मेरे;my (plural) - mere
और;and - aur
कितनी 	;how many - 	  kitnee
बहनें ;sisters - bahanen
केवल;only, just - kewal
कौनसा ;which - kaunsaa 	
मंगलवार 	;Tuesday 	 - mangalvaar
सोचा था 	;thought 	 - sochhaa thaa 	
कि 	;that - ki
बुधवार 	;Wednesday 	 - budhvaar 	
वह;that - voh
कल 	;yesterday 	 - kal 	
आज 	;today 	 - aaj 	
तुम;you - tum
नहीं ;not - naheen 	
गुरुजी 	;teacher - gurujee
कर रही;doing (female) - kar rahee 	
बोल रही;speaking - bol rahee 	
अंग्रेजी 	;English - angrejii
सुन रहे 	;listening - sun rahe 	
ओह;oh - oha 	
मुझे;to me - mujhe
यह;this 	 - yeh
सब कुछ 	;everything - sab kuch 	
की 	;of - kee 	
पैटर्न 	;pattern - paitarn
सोने;gold - sone
सुंदर 	;beautiful 	 - sundar
बहुत;very, a lot 	 - bahut 	
साड़ी 	;sari - saarii
लाल 	;red - laal
बिल्कुल;totally, absolutely 	 - bilkul 	
उम्र;age - umR
साल;years - saal
तीस ;thirty - tees
मकान;house - makaan
नम्बर;number - nambar 	
थोड़ा;little - thodaa
जाएगा;(will) go - jaaegaa
लीजिए;(please) take - leejie
बच्चे ;children - bachhe
हाँ;yes 	 - haan
दीदी;big sister - DiiDii
जोड़ी;pair - jodii
कौनसा;which 	 - kaunsaa
मोज़े;socks - moje
हूँ;am (infinitive- to be) - hoon
काले;black - kaale
हिन्दी ;Hindi 	 - hindee
कहते;say - kahte 	
बार;time - baar
और;and,more 	 - aur
फिर;again 	 - fir 	
थीं;was - theen
आपको ;to you - aapko 	
पसंद;preference - pasanD	
आप;you(formal) 	 - aap 
ठीक;alright,well 	 - theek
गर्मी ;hot weather  - garmii
धन्यवाद 	;thank you 	 - dhanyavaad 	
बहुत 	;very, a lot - bahuT
मदद;help - maDaD
ठंडा पानी;cold water - thandaa paanii	
सकती;can (female) 	 - saktee 	
आपके 	;your - aapke
भारतीय करी 	;Indian curry 	 - bhaarateeya karee 	
आपको;to you  - aapko
मुझको 	;to me 	 - mujhko
बिल्कुल 	;absolutely 	 - bilkul
लेकिन;but 	 - lekin
तीखा खाना 	;spicy,hot food 	 - teekhaa khaanaa 	
सच में 	;really 	 - sach mein
पास;to have, to posses - paas 
पास 	;with - paas
मुझे ;to me 	 - mujhe
अफसोस 	;sorry 	 - afsos
जल्दी;hurry - jalDii
कोई बात नहीं 	;no problem, no worries 	 - koi baat naheen 	
माफ किजिए 	;please forgive me,excuse me.  - maaf kijie 	
सास 	;mother-in-law - saas 	
रात का खाना 	;dinner - raat kaa khaanaa
अभी तक नहीं;not yet, not till now 	 - abhee tak naheen 	
देखी है;seen (female) 	 - dekhee hai 	
कौनसा;which (masculine) 	 - kaunsaa
दिखा रहा 	;showing - dikhaa rahaa 	
जानती 	;know (feminine) 	 - jaantee
कौनसी;which (feminine) - kaunsee
फोन;phone - fon
कैमरा 	;camera 	 - kaimara 	
वास्तव में 	;actually 	 - vaastav men 	
अरे वा;wow - are vaa
था;was - thaa
वीडियो;video - veediyo
सकता;can - saktaa
रिक्शावाला 	;rickshaw driver 	 - rikshaavaalaa
के;of - ke
उसको 	;to him,her - usko
जूते 	;shoes - joote 	
शायद;maybe - shaayad 	
उसे 	;to him,her - use
अच्छे वाले ;nice  - achhe vaale 	
जोड़ी 	;pair - joree 	
लखनऊ वाले 	;from Lucknow 	 - lakhnau vaale 	
चाहिए;need - caahie
तुम ;you - tum	
कल;tomorrow or yesterday - kal
क्रिकेट;cricket - kriket
देख रही 	;watching - dekh rahee
तुम्हारा 	;your (informal) - tumhaaraa
नहीं;no - naheen
ग्यारह;eleven - gyaarah
तेरह;thirteen - terah
चौदह;fourteen - chaudah
पन्द्रह;fifteen - pandrah
सोलह;sixteen - solah
सत्रह;seventeen - satrah
अठारह;eighteen - athaarah
उन्नीस;nineteen - unnees
चिड़ियाघर;zoo - chidiyaaghar 	
बीमार;sick - beemaar
रंग;color - rang
ताज महल;Taj Mahal - taaj mahal
क्यों;why - kyon
महंगा;expensive - mahangaa
