undefinedदुकान;shop, factory, stall, store - dukaan
मेला;fair - mela
समय;time, period, duration - samay
देश;territory, nation, region, country - Desh
पर्वत;hill, mountain - parvat
प्राकृतिक;natural, physical, normal - praakritik
जल  ;liquid, water - jal
बाल;child - baal
स्नेह;affection, love - sneh
श्रम;labour - SHram
विकास;development, growth - vikaas
कल्याण;welfare, weal - kalyaan
विवाह ;marriage, wedding, wedlock - vivaah
बचपन;childhood, infancy - bachpan
छूट;discount - choot
ऋण;loan, due, discount - RiNn
ब्याज;interest - byaaj
आभूषण;ornaments, jewellery - aabhooshan
ग्राहक;customer, buyer, client - ghraahak
आज़ादी;freedom, liberty - aazaDii
भ्रष्टाचार;corruption, malpractice - bhrashTaachaar
श्रद्धांजली;tribute,homage - shraddhanjalee
पौधा;plant - paudhaa
स्वतंत्रता-सैनानी;freedom fighters - svaatantrataa-sainaanee
सुन्दर;beautiful, pretty - sundar
फूल;flower, blossom - phool
नौका;boat - nauka
चप्पू;paddle, oar - chappoo
माला;garland, necklace - maalaa
वचन;promise, commitment - vachan
हल्दी;turmeric - haldee
तोहफ़ा;gift, present - tohfaa
डाक;post - daak
राष्ट्रपति;president of the nation - raashtrapaTi
शासन;rule, regime - Shaasan
घोषणा;declaration, announcement - Ghoshna
सम्राट;king, emperor - Samraat
राष्ट्रीय;national - raashtreeya
सदस्य;member - sadasya
शिक्षक ;teacher, coach, master - shikshak
विषय;subject, context, topic, text - Vishay
सरल;easy, simple - saral
समाज;society, community, club - samaj
ऋणी;indebted  - RiNi
उज्ज्वल;bright, lustrous - ujjwal
जगत ;world - jagaT
स्वर्ग;paradise, heaven - swarg
सज़ा ;punishment, penalty - saza
गायक;singer, vocalist - gayak
औरत;ladies, female - auraT
सुंदर;beautiful, jolly, well - sunDar
टोकरी;basket, hamper - tokrii
प्रथम;first, foremost, prime - praTHam
बसंत ;spring - basant
आश्रय ;shelter - aashray
रहस्य;mystery, secret - rahasya
गुफा;cave - gufa
अनमोल;precious, invaluable - anmol
एकता;unity, oneness - ekTaa
पुत्र;son - puTra
ध्यान;meditation - DHyaaN
धरती;earth, ground, soil - DHarTii
समस्या;problem, issue, difficulties - samasyaa
मूर्ति;idol, statue - murTii
तनाव;tension - Tanaav
रेत;sand - reT
बहन;sister - bahan
पक्षी;bird, fowl - pakshee
राजा;king, emperor, power - raajaa
प्राचीन;ancient, old - praacheen
मसाले;spices, ingredients - maSaaLe
इतिहास;history, record - iTihaas
लोग ;People - Log
सूरज ;sun - suraj
भाई;brother - bhaai
शिक्षा ;education, school, teaching, tuition - shiksha
छात्र;student, scholar - chhaaTra
किताब;book, tome - kitaab
तेज़ी;rapidly, hurry - Tezi
बड़ी;large, big, gross - badi
सकारात्मक;positive - SakaaraaTmak
रंग;color, complexion - raNg
गुड़;jaggery, molasses - gud
गन्ना;sugarcane - gannaa
सींग ;horn - seeng
कीमती;expensive, rich, worthy - keematee
पत्थर;stone, concrete, hail - patthar
गुब्बारा ;balloon - gubbaaraa
अनजान;stranger, unaware, unknown - anjaan
रंग;color, dye - raNg
चंदन;sandal - chandan
नदी;river, stream - naDii
बाजार;market, mart, bazaar - baajaar
उम्र;age - umR
सपना ;dream - sapna
ज़िन्दगी;life - zindagi
प्रेम;love, affection, attachment - prem
विशेषता ;speciality, characteristic, quality - visheshataa
ज़री-जर्दोज़ी ;brocade work - zari-jardozii
विश्व धरोहर;world heritage - visva DHarohar
किला;castle, fort - kilaa
मशहूर;to be famous, to be renowned - mashhoor
ऋणी ;indebted, debtor - RiNii
पतंग;kite - paTang
आसमान;sky - aasmaan
मोमबत्ती;candle, light - mombaTTi
व्यायाम;exercise, athletics, gymnastics - vyaayaam
स्वास्थ्य;health, cure - swaasTHya
सत्य;true, truth, reality - saTya
वर्तमान;present, current, instant - varTmaan
समुद्रतट;beach, shore, coast - samuDraTat
जंगल;forest, desert, wild - jangal
गणतंत्र दिवस;Republic Day - ganTanTra Divas 
हस्तशिल्प;handicraft - hastashilp
आकर्षण;attractions - aakarshaN
राजनैतिक;political - raajnaitik
आभूषण;jewellery, ornament, garnish - aabhooshan
राजधानी ;capital - raajdhaanee
ऐतिहासिक;historical - eitihaasik
घर;home, house, bungalow - GHar
जूता;shoes - jooTa
ऊंट;camel - oont
अमृत;nectar - amriT
द्वार;gate - Dwaar
दिशा;direction, way - Disha
रोशनी;light, shine - roshni
मुकुट;crown - mukut
आदर;respect, esteem - aadar
पूरा;full, whole - poora
तस्वीर;picture, photo, painting, portrait - Tasveer
पुजारी;priest - pujaari
शांति;peace, calm - shaanTi
नीव;base, foundation, establishment - neev
जीवन;life, existence - jeevan
रेलगाड़ी;train - relgaadi
प्रमुख;conspicuous, only, chief, first - pramukhya
मजदूर;laborer, workman - mazDuur
सांप;snake, viper - saanp
हवा;air, wind - hawa
रक्षा;protect, safety, care - rakshaa
रानी;queen - raani
रक्त;blood - rakT
निर्माण;built, construction - nirmaaN
गेहूँ;wheat - gehun
घोड़ा;horse - GHoda
चाय;tea - chaay
चावल ;rice - caavaL
जन्मदिन;birthday - jaNmaDiN
दीवार;wall - Diivaar
दूध;milk - DooDH
धर्म;religion - dharm
मंदिर;temple - manDir
शाम;evening - shaam
संगीत;music - sangeeT              
सत्य;truth - saTya
हवा;wind, air, gas - hava
सोना;gold, to rest or sleep - SoNaa
गरीब;poor, needy, low - gariib
घंटी;bell - ghantee
पानी ;water - paanii
रविवार ;Sunday - ravivaar
आक्रमण ;attack - aakraman
तैरना;swim - tairna
चाँद;Moon - chaanD
रात;night - raaT
